Season,Team,Points
2018-2019,chievo,20
2018-2019,juventus,90
2018-2019,lazio,59
2018-2019,napoli,79
2018-2019,torino,63
2018-2019,roma,66
2018-2019,sassuolo,43
2018-2019,inter,69
2018-2019,empoli,38
2018-2019,cagliari,41
2018-2019,parma,41
2018-2019,udinese,43
2018-2019,bologna,44
2018-2019,spal,42
2018-2019,atalanta,69
2018-2019,frosinone,25
2018-2019,milan,68
2018-2019,genoa,38
2018-2019,sampdoria,53
2018-2019,fiorentina,41
2019-2020,parma,49
2019-2020,juventus,83
2019-2020,fiorentina,49
2019-2020,napoli,62
2019-2020,udinese,45
2019-2020,milan,66
2019-2020,spal,20
2019-2020,atalanta,78
2019-2020,roma,70
2019-2020,genoa,39
2019-2020,torino,40
2019-2020,sassuolo,51
2019-2020,hellas verona,49
2019-2020,bologna,47
2019-2020,sampdoria,42
2019-2020,lazio,78
2019-2020,cagliari,45
2019-2020,brescia,25
2019-2020,inter,82
2019-2020,lecce,35
2020-2021,fiorentina,40
2020-2021,torino,37
2020-2021,hellas verona,45
2020-2021,roma,62
2020-2021,parma,20
2020-2021,napoli,77
2020-2021,genoa,42
2020-2021,crotone,23
2020-2021,sassuolo,62
2020-2021,cagliari,37
2020-2021,juventus,78
2020-2021,sampdoria,52
2020-2021,milan,79
2020-2021,bologna,41
2020-2021,atalanta,78
2020-2021,benevento,33
2020-2021,lazio,68
2020-2021,inter,91
2020-2021,spezia,39
2020-2021,udinese,40
2021-2022,inter,84
2021-2022,genoa,28
2021-2022,hellas verona,53
2021-2022,sassuolo,50
2021-2022,torino,50
2021-2022,atalanta,59
2021-2022,empoli,41
2021-2022,lazio,64
2021-2022,bologna,46
2021-2022,salernitana,31
2021-2022,udinese,47
2021-2022,juventus,70
2021-2022,napoli,79
2021-2022,venezia,27
2021-2022,roma,63
2021-2022,fiorentina,62
2021-2022,cagliari,30
2021-2022,spezia,36
2021-2022,sampdoria,36
2021-2022,milan,86
2022-2023,sampdoria,19
2022-2023,atalanta,64
2022-2023,milan,70
2022-2023,udinese,46
2022-2023,monza,52
2022-2023,torino,53
2022-2023,lecce,36
2022-2023,inter,72
2022-2023,fiorentina,56
2022-2023,cremonese,27
2022-2023,lazio,74
2022-2023,bologna,54
2022-2023,spezia,31
2022-2023,empoli,43
2022-2023,salernitana,42
2022-2023,roma,63
2022-2023,hellas verona,34
2022-2023,napoli,90
2022-2023,juventus,72
2022-2023,sassuolo,45
2023-2024,frosinone,35
2023-2024,napoli,53
2023-2024,empoli,36
2023-2024,hellas verona,38
2023-2024,inter,94
2023-2024,monza,45
2023-2024,genoa,49
2023-2024,fiorentina,60
2023-2024,sassuolo,30
2023-2024,atalanta,69
2023-2024,roma,63
2023-2024,salernitana,17
2023-2024,lecce,38
2023-2024,lazio,61
2023-2024,udinese,37
2023-2024,juventus,71
2023-2024,torino,53
2023-2024,cagliari,36
2023-2024,bologna,68
2023-2024,milan,75
