Player,Season,Team,Valor_Mercado,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
pierre hojbjerg,2020-2021,tottenham-hotspur,54536999.999999985,1.6560166985055689,12.55631114740448,-2.738721807402243,-0.5575600886497566,1.5438252308064306,-1.4739827998698096,2.7670094663609732,-0.9579319609876211,0.4223099261673822,-0.8268914486866517,0.30573890319431324,-1.9026139288214137,-0.6667432410838973,-0.3468128931883571,-0.8839989678500944,-0.7291706124940938,-0.3044336266359073,-0.5276813820592611,1.0130006854437867,1.9587140069524103
junior hoilett,2018-2019,cardiff,31117000.000000007,-0.6769381334085118,3.378668636202845,0.37042071485663763,-1.856611933822094,1.4912254063138082,-1.3529567225104013,0.2934956015173911,-0.2918888714573739,1.2187625210770963,-0.6990262813805649,-0.26403287485478527,0.3277992850616685,-0.706129438435909,0.03334634222456386,-0.1883333309475603,-1.9225444152514761,0.07342305538699151,1.099219078013897,-1.115162470003346,0.8104098974266649
etrit berisha,2023-2024,empoli,13120000.0,-4.185417112297355,-4.771425608319482,1.393204134762515,-1.313874895942985,-0.1595228448048947,0.05861874163735138,1.796339156114161,0.363807275602853,1.191896984442974,-0.2574974635861253,0.40275240826411385,0.20755763761001836,-0.5008159798182695,0.06577723818291825,-0.1546645358424033,0.06675814447912047,0.42181585953086703,0.028046031545233406,-0.021305557678935876,-0.5852080180527622
charalambos lykogiannis,2018-2019,cagliari,17616600.0,-3.638330856167757,-2.0653858501118045,-0.6368690867468246,-0.5736196920266883,1.1766814252200124,0.5360419887092608,-1.2738997419185714,-0.49617960720772963,0.13811771398109413,-0.3864002104496573,0.2889945753723871,0.2007622857824246,-0.4638084314126015,0.4582398469067146,0.5266213293198151,0.16684317475839952,-0.2425037534438095,0.4763555418596783,-0.4294250074271446,0.3207363586000665
calum chambers,2021-2022,aston-villa,15694000.0,-3.5194976374953377,-2.9702096019410056,-0.29863857970335095,1.0638884263865804,0.937989715000551,0.5607041261164974,-1.0628883156896753,-0.5622480837714329,0.4089942947872091,0.18610853215689357,0.7395894237647838,-0.4091331965281909,-0.43210866348295374,-0.21524575688530193,0.45204503670481655,-0.2000275238022118,-0.47432205395115073,-0.3233065690624386,0.22491574066843578,-0.2726924225772473
joel matip,2023-2024,liverpool,11135000.0,-3.956493727449539,-2.638794578091169,-0.19330121877358644,0.9474501852219162,0.9379817481206509,1.1485446628348592,-0.6544868980751576,-0.21840830186544805,1.2230283532792168,0.6067368099695952,0.01757850445255935,0.38878431292355614,0.06452234591361135,0.42531131142773726,0.24594908986761013,-0.049565082931052745,-0.32392465948912386,-0.3781510077994217,0.6483718993730562,0.2778074841769291
oliver norwood,2019-2020,sheffield-united,44847000.0,0.8277111254922273,8.433038191620852,-0.6915470333098264,-0.77615374997069,0.4365018281906244,0.09688816498715506,3.863971566132105,-0.31557043118740113,0.08720942501879844,-0.8715329945781375,-1.005020167647949,0.32935940231356536,-0.27644678461670896,-1.1939409239618615,-0.39128335844798623,0.8422377508067446,-0.8582698538503282,-1.8982918566347147,0.2677939437542475,2.094793904653921
sofyan amrabat,2022-2023,fiorentina,32404999.999999996,-1.7208444798557103,2.819128025035654,-0.3017444913942115,-0.6264274847824529,-0.407108266779246,-0.35617306834485474,0.982067941160151,-0.06718128866349866,-1.152066044622052,0.5457565494508256,0.4964513424366139,0.2740717155879374,2.1586015361857993,-0.0666631535797259,1.4444350751676092,1.0859453875802123,-0.4202605286127017,0.2108383777387312,0.6924223949952256,-0.4550402309889607
joel ward,2021-2022,crystal-palace,33213000.0,-2.6482212125997378,4.492182389424568,0.591345993793731,0.9999424115480685,-0.17496426519447084,0.23203334290016842,1.0990514968607565,-0.25050800346746094,0.8079973772275362,0.5019847290958285,-0.13636132450246047,0.3837866459296435,0.4870803897680736,-0.9893781040799419,-0.2628659486487072,-0.5913974900755615,0.9223831647807761,-0.5018366628775283,0.4541175749436423,0.9726073954106955
marash kumbulla,2019-2020,hellas verona,38150000.0,-2.502729460259995,3.5238985711489472,1.045401317518824,3.067840375372918,-0.281844099290061,-0.5148296265760609,-0.12212551634877326,1.3276122325596664,-2.135257279021785,-1.1167243167781526,1.2996444681869568,1.5756643050028012,-0.005250230835339716,0.5652198402585142,-0.45113818651726806,0.5707745550146259,0.07934743270050947,-0.11884463814750626,0.024038476484328497,0.34970966264128417
brandon soppy,2021-2022,udinese,22604000.0,-3.2028891386952334,-1.9739825729813751,-0.7743064128682351,-0.37473383112544817,0.6577614387706293,-0.624602679431152,-0.9000073514994441,-0.8526954397066382,-1.8209415566496951,0.5571216544260347,0.1386609177877176,0.33102729777158485,0.837992725832681,0.10275339463837514,0.08691948969339992,-0.35081762947564205,-0.3504896613687184,0.0025013876707807576,0.04109219439856729,0.04346926958451081
manolo gabbiadini,2018-2019,sampdoria,14784500.000000004,-2.250315788355807,-3.467481304500766,0.6226726300068695,-1.770540893793839,1.3147937441720758,-0.15405066518407776,-0.8026804826999597,0.5333879012071944,0.741928085989126,-0.7752567978332923,0.8100449352254346,-0.18490498591031984,1.1315470949475184,-0.274992057773435,-0.08980093259963509,-0.19363130751373275,-0.19832661743212907,-0.22081501710240153,-0.1731067828888461,0.11082530173266736
matt doherty,2020-2021,tottenham-hotspur,20467000.000000004,-1.914102513947026,0.20684020860720784,-1.4733550052064588,-0.15203868712093715,0.5305447283690025,0.8666278091425552,0.052942474058899805,1.9446732609439943,0.13551880220416418,-0.33549705744459957,0.18050014163520214,-0.5380619512746226,-0.6068392876332133,0.7368943196776503,-0.27305813328056794,-0.43410861582636495,0.6085193579873693,0.5040811076245375,-0.15609334101299946,0.5386147738486619
