Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1.0,sáb,2021-08-21,18:30,Inter,1.6,4–0,1.1,Genoa,27.402,Stadio Giuseppe Meazza,Valerio Marini,Relatório da Partida,
1.0,sáb,2021-08-21,18:30,Hellas Verona,2.4,2–3,1.6,Sassuolo,5.448,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Relatório da Partida,
1.0,sáb,2021-08-21,20:45,Torino,1.3,1–2,0.7,Atalanta,3.475,Stadio Olimpico di Torino,Daniele Chiffi,Relatório da Partida,
1.0,sáb,2021-08-21,20:45,Empoli,1.2,1–3,1.5,Lazio,3.655,Stadio Carlo Castellani,Simone Sozza,Relatório da Partida,
1.0,dom,2021-08-22,18:30,Bologna,1.6,3–2,1.5,Salernitana,8.375,Stadio Renato Dall'Ara,Antonio Rapuano,Relatório da Partida,
1.0,dom,2021-08-22,18:30,Udinese,1.6,2–2,0.8,Juventus,9.66,Dacia Arena,Ivan Pezzuto,Relatório da Partida,
1.0,dom,2021-08-22,20:45,Napoli,2.2,2–0,0.6,Venezia,20.0,Stadio Diego Armando Maradona,Gianluca Aureliano,Relatório da Partida,
1.0,dom,2021-08-22,20:45,Roma,2.7,3–1,1.3,Fiorentina,26.997,Stadio Olimpico,Luca Pairetto,Relatório da Partida,
1.0,seg,2021-08-23,18:30,Cagliari,2.8,2–2,0.8,Spezia,5.387,Unipol Domus,Francesco Fourneau,Relatório da Partida,
1.0,seg,2021-08-23,20:45,Sampdoria,1.1,0–1,0.9,Milan,5.0,Stadio Comunale Luigi Ferraris,Marco Guida,Relatório da Partida,
,,,,,,,,,,,,,
2.0,sex,2021-08-27,18:30,Udinese,2.2,3–0,1.2,Venezia,8.274,Dacia Arena,Livio Marinelli,Relatório da Partida,
2.0,sex,2021-08-27,20:45,Hellas Verona,1.0,1–3,1.5,Inter,11.214,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Relatório da Partida,
2.0,sáb,2021-08-28,18:30,Atalanta,0.9,0–0,0.3,Bologna,7.912,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Relatório da Partida,
2.0,sáb,2021-08-28,18:30,Lazio,3.0,6–1,1.0,Spezia,20.0,Stadio Olimpico,Federico Dionisi,Relatório da Partida,
2.0,sáb,2021-08-28,20:45,Fiorentina,0.8,2–1,0.4,Torino,12.592,Stadio Artemio Franchi,Maurizio Mariani,Relatório da Partida,
2.0,sáb,2021-08-28,20:45,Juventus,1.2,0–1,0.7,Empoli,17.584,Allianz Stadium,Davide Ghersini,Relatório da Partida,
2.0,dom,2021-08-29,18:30,Sassuolo,1.6,0–0,0.5,Sampdoria,3.309,Mapei Stadium - Città del Tricolore,Juan Sacchi,Relatório da Partida,
2.0,dom,2021-08-29,18:30,Genoa,0.4,1–2,1.1,Napoli,20.0,Stadio Comunale Luigi Ferraris,Marco Di Bello,Relatório da Partida,
2.0,dom,2021-08-29,20:45,Milan,2.7,4–1,0.6,Cagliari,31.946,Stadio Giuseppe Meazza,Marco Serra,Relatório da Partida,
2.0,dom,2021-08-29,20:45,Salernitana,0.3,0–4,2.1,Roma,12.5,Stadio Arechi,Rosario Abisso,Relatório da Partida,
,,,,,,,,,,,,,
3.0,sáb,2021-09-11,15:00,Empoli,1.9,1–2,1.7,Venezia,2.511,Stadio Carlo Castellani,Antonio Rapuano,Relatório da Partida,
3.0,sáb,2021-09-11,18:00,Napoli,2.1,2–1,1.2,Juventus,23.5,Stadio Diego Armando Maradona,Massimiliano Irrati,Relatório da Partida,
3.0,sáb,2021-09-11,20:45,Atalanta,2.2,1–2,1.8,Fiorentina,9.162,Stadio Atleti Azzurri d'Italia,Valerio Marini,Relatório da Partida,
3.0,dom,2021-09-12,12:30,Sampdoria,1.1,2–2,1.1,Inter,7.441,Stadio Comunale Luigi Ferraris,Daniele Orsato,Relatório da Partida,
3.0,dom,2021-09-12,15:00,Cagliari,1.6,2–3,1.2,Genoa,6.423,Unipol Domus,Luca Pairetto,Relatório da Partida,
3.0,dom,2021-09-12,15:00,Torino,2.4,4–0,0.3,Salernitana,9.082,Stadio Olimpico di Torino,Gianluca Aureliano,Relatório da Partida,
3.0,dom,2021-09-12,15:00,Spezia,1.0,0–1,0.9,Udinese,5.162,Stadio Alberto Picco,Marco Guida,Relatório da Partida,
3.0,dom,2021-09-12,18:00,Milan,2.9,2–0,0.3,Lazio,36.207,Stadio Giuseppe Meazza,Daniele Chiffi,Relatório da Partida,
3.0,dom,2021-09-12,20:45,Roma,2.1,2–1,2.0,Sassuolo,29.604,Stadio Olimpico,Simone Sozza,Relatório da Partida,
3.0,seg,2021-09-13,20:45,Bologna,1.1,1–0,0.3,Hellas Verona,10.218,Stadio Renato Dall'Ara,Ivan Pezzuto,Relatório da Partida,
,,,,,,,,,,,,,
4.0,sex,2021-09-17,20:45,Sassuolo,0.7,0–1,2.0,Torino,20.0,Mapei Stadium - Città del Tricolore,Marco Piccinini,Relatório da Partida,
4.0,sáb,2021-09-18,15:00,Genoa,1.1,1–2,0.9,Fiorentina,6.269,Stadio Comunale Luigi Ferraris,Livio Marinelli,Relatório da Partida,
4.0,sáb,2021-09-18,18:00,Inter,2.8,6–1,0.5,Bologna,35.278,Stadio Giuseppe Meazza,Giovanni Ayroldi,Relatório da Partida,
4.0,sáb,2021-09-18,20:45,Salernitana,0.7,0–1,1.6,Atalanta,11.949,Stadio Arechi,Paolo Valeri,Relatório da Partida,
4.0,dom,2021-09-19,12:30,Empoli,1.4,0–3,1.0,Sampdoria,3.064,Stadio Carlo Castellani,Maurizio Mariani,Relatório da Partida,
4.0,dom,2021-09-19,15:00,Venezia,0.9,1–2,0.4,Spezia,3.688,Stadio Pierluigi Penzo,Rosario Abisso,Relatório da Partida,
4.0,dom,2021-09-19,18:00,Lazio,2.0,2–2,1.5,Cagliari,20.0,Stadio Olimpico,Davide Ghersini,Relatório da Partida,
4.0,dom,2021-09-19,18:00,Hellas Verona,0.9,3–2,0.7,Roma,10.148,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Relatório da Partida,
4.0,dom,2021-09-19,20:45,Juventus,1.3,1–1,0.8,Milan,18.785,Allianz Stadium,Daniele Doveri,Relatório da Partida,
4.0,seg,2021-09-20,20:45,Udinese,0.3,0–4,2.9,Napoli,11.484,Dacia Arena,Gianluca Manganiello,Relatório da Partida,
,,,,,,,,,,,,,
5.0,ter,2021-09-21,18:30,Bologna,2.3,2–2,1.5,Genoa,9.707,Stadio Renato Dall'Ara,Francesco Fourneau,Relatório da Partida,
5.0,ter,2021-09-21,20:45,Fiorentina,1.6,1–3,2.2,Inter,15.927,Stadio Artemio Franchi,Michael Fabbri,Relatório da Partida,
5.0,ter,2021-09-21,20:45,Atalanta,1.9,2–1,0.9,Sassuolo,7.353,Stadio Atleti Azzurri d'Italia,Davide Massa,Relatório da Partida,
5.0,qua,2021-09-22,18:30,Spezia,1.0,2–3,2.3,Juventus,5.7,Stadio Alberto Picco,Gianluca Aureliano,Relatório da Partida,
5.0,qua,2021-09-22,18:30,Salernitana,2.7,2–2,1.4,Hellas Verona,9.561,Stadio Arechi,Massimiliano Irrati,Relatório da Partida,
5.0,qua,2021-09-22,20:45,Cagliari,1.0,0–2,0.9,Empoli,7.226,Unipol Domus,Marco Di Bello,Relatório da Partida,
5.0,qua,2021-09-22,20:45,Milan,1.6,2–0,0.8,Venezia,26.185,Stadio Giuseppe Meazza,Ivan Pezzuto,Relatório da Partida,
5.0,qui,2021-09-23,18:30,Torino,0.8,1–1,0.9,Lazio,8.646,Stadio Olimpico di Torino,Rosario Abisso,Relatório da Partida,
5.0,qui,2021-09-23,18:30,Sampdoria,0.7,0–4,1.5,Napoli,4.596,Stadio Comunale Luigi Ferraris,Paolo Valeri,Relatório da Partida,
5.0,qui,2021-09-23,20:45,Roma,1.9,1–0,0.6,Udinese,29.593,Stadio Olimpico,Antonio Rapuano,Relatório da Partida,
,,,,,,,,,,,,,
6.0,sáb,2021-09-25,15:00,Spezia,1.1,1–2,1.3,Milan,3.618,Stadio Alberto Picco,Gianluca Manganiello,Relatório da Partida,
6.0,sáb,2021-09-25,18:00,Inter,3.9,2–2,1.9,Atalanta,36.517,Stadio Giuseppe Meazza,Fabio Maresca,Relatório da Partida,
6.0,sáb,2021-09-25,20:45,Genoa,1.7,3–3,2.1,Hellas Verona,13.478,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
6.0,dom,2021-09-26,12:30,Juventus,2.7,3–2,0.4,Sampdoria,15.381,Allianz Stadium,Giovanni Ayroldi,Relatório da Partida,
6.0,dom,2021-09-26,15:00,Sassuolo,1.4,1–0,1.1,Salernitana,5.177,Mapei Stadium - Città del Tricolore,Antonio Giua,Relatório da Partida,
6.0,dom,2021-09-26,15:00,Udinese,0.8,0–1,1.1,Fiorentina,7.208,Dacia Arena,Davide Ghersini,Relatório da Partida,
6.0,dom,2021-09-26,15:00,Empoli,1.7,4–2,2.9,Bologna,5.022,Stadio Carlo Castellani,Piero Giacomelli,Relatório da Partida,
6.0,dom,2021-09-26,18:00,Lazio,1.8,3–2,2.1,Roma,32.0,Stadio Olimpico,Marco Guida,Relatório da Partida,
6.0,dom,2021-09-26,20:45,Napoli,1.7,2–0,0.1,Cagliari,20.0,Stadio Diego Armando Maradona,Marco Piccinini,Relatório da Partida,
6.0,seg,2021-09-27,20:45,Venezia,1.5,1–1,1.1,Torino,4.888,Stadio Pierluigi Penzo,Lorenzo Maggioni,Relatório da Partida,
,,,,,,,,,,,,,
7.0,sex,2021-10-01,20:45,Cagliari,0.5,1–1,0.7,Venezia,8.135,Unipol Domus,Manuel Volpi,Relatório da Partida,
7.0,sáb,2021-10-02,15:00,Salernitana,0.5,1–0,1.5,Genoa,10.077,Stadio Arechi,Maurizio Mariani,Relatório da Partida,
7.0,sáb,2021-10-02,18:00,Torino,0.9,0–1,1.0,Juventus,12.073,Stadio Olimpico di Torino,Paolo Valeri,Relatório da Partida,
7.0,sáb,2021-10-02,20:45,Sassuolo,1.4,1–2,2.2,Inter,10.4,Mapei Stadium - Città del Tricolore,Luca Pairetto,Relatório da Partida,
7.0,dom,2021-10-03,12:30,Bologna,0.6,3–0,0.6,Lazio,12.975,Stadio Renato Dall'Ara,Davide Massa,Relatório da Partida,
7.0,dom,2021-10-03,15:00,Sampdoria,1.5,3–3,2.3,Udinese,4.292,Stadio Comunale Luigi Ferraris,Daniele Orsato,Relatório da Partida,
7.0,dom,2021-10-03,15:00,Hellas Verona,0.7,4–0,2.0,Spezia,8.398,Stadio Marc'Antonio Bentegodi,Giacomo Camplone,Relatório da Partida,
7.0,dom,2021-10-03,18:00,Fiorentina,0.4,1–2,1.7,Napoli,15.264,Stadio Artemio Franchi,Simone Sozza,Relatório da Partida,
7.0,dom,2021-10-03,18:00,Roma,1.3,2–0,0.7,Empoli,31.946,Stadio Olimpico,Giovanni Ayroldi,Relatório da Partida,
7.0,dom,2021-10-03,20:45,Atalanta,2.1,2–3,2.7,Milan,9.363,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,
8.0,sáb,2021-10-16,15:00,Spezia,1.5,2–1,1.7,Salernitana,6.023,Stadio Alberto Picco,Davide Massa,Relatório da Partida,
8.0,sáb,2021-10-16,18:00,Lazio,2.5,3–1,1.4,Inter,42.0,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
8.0,sáb,2021-10-16,20:45,Milan,1.7,3–2,1.6,Hellas Verona,40.128,Stadio Giuseppe Meazza,Alessandro Prontera,Relatório da Partida,
8.0,dom,2021-10-17,12:30,Cagliari,1.2,3–1,1.2,Sampdoria,9.923,Unipol Domus,Matteo Marchetti,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Genoa,1.3,2–2,2.3,Sassuolo,10.37,Stadio Comunale Luigi Ferraris,Daniele Chiffi,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Empoli,0.6,1–4,3.9,Atalanta,6.214,Stadio Carlo Castellani,Marco Serra,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Udinese,0.8,1–1,1.4,Bologna,10.627,Dacia Arena,Rosario Abisso,Relatório da Partida,
8.0,dom,2021-10-17,18:00,Napoli,1.4,1–0,1.0,Torino,27.579,Stadio Diego Armando Maradona,Juan Sacchi,Relatório da Partida,
8.0,dom,2021-10-17,20:45,Juventus,1.2,1–0,1.6,Roma,20.239,Allianz Stadium,Daniele Orsato,Relatório da Partida,
