Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Marten de Roon,LT,31.0,35,34,2.964,32.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,1.8,29.0,18.0,171.0,23.0,9.0,3.0,12.0,9.0,12.0,3.0,6.0,9.0,3.0,9.0,77.0,39.0,37.0,35.0,5.0,37.0,81.0,457.0,44.0,37.0,4.0,33.0,36.0,113.0,58.0,0.0
Teun Koopmeiners,LT,24.0,33,32,2.858,31.8,10.0,4.0,14.0,8.0,2.0,4.0,7.0,0.0,7.6,4.3,6.4,107.0,60.0,186.0,106.0,31.0,13.0,44.0,25.0,38.0,24.0,20.0,44.0,14.0,34.0,46.0,26.0,15.0,24.0,7.0,28.0,55.0,509.0,27.0,41.0,5.0,36.0,19.0,65.0,36.0,2.0
Rafael Tolói,ZG,31.0,32,32,2.784,30.9,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.8,2.8,1.2,40.0,21.0,148.0,29.0,6.0,3.0,10.0,6.0,10.0,9.0,4.0,13.0,9.0,13.0,69.0,44.0,37.0,32.0,0.0,35.0,64.0,547.0,29.0,42.0,18.0,24.0,57.0,126.0,88.0,1.0
Giorgio Scalvini,ZG,18.0,32,29,2.335,25.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.4,24.0,22.0,158.0,34.0,8.0,8.0,15.0,8.0,15.0,8.0,1.0,9.0,8.0,9.0,54.0,29.0,30.0,18.0,6.0,29.0,55.0,527.0,26.0,36.0,13.0,23.0,56.0,110.0,57.0,2.0
Éderson,LT,23.0,35,25,2.215,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,42.0,37.0,93.0,62.0,4.0,4.0,8.0,4.0,8.0,8.0,9.0,17.0,8.0,17.0,67.0,34.0,18.0,42.0,7.0,29.0,66.0,439.0,37.0,56.0,7.0,49.0,36.0,103.0,31.0,0.0
Joakim Mæhle,"ZG,LT",25.0,34,25,2.209,24.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,3.0,3.0,2.9,59.0,81.0,137.0,186.0,12.0,12.0,24.0,12.0,24.0,12.0,12.0,24.0,12.0,24.0,32.0,18.0,12.0,7.0,13.0,22.0,39.0,564.0,17.0,29.0,6.0,23.0,24.0,56.0,26.0,0.0
Juan Musso,G,28.0,24,24,2.077,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0
Mario Pašalić,"LT,AT",27.0,32,24,1.769,19.7,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,5.7,5.7,2.2,79.0,24.0,82.0,83.0,25.0,10.0,36.0,25.0,36.0,29.0,11.0,40.0,29.0,40.0,22.0,10.0,6.0,14.0,2.0,6.0,23.0,261.0,17.0,22.0,4.0,18.0,21.0,43.0,13.0,0.0
Rasmus Højlund,AT,19.0,32,20,1.834,20.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,9.5,9.5,2.4,118.0,40.0,37.0,224.0,44.0,10.0,54.0,44.0,54.0,47.0,12.0,58.0,47.0,58.0,4.0,3.0,0.0,2.0,2.0,1.0,6.0,167.0,5.0,9.0,1.0,8.0,1.0,5.0,5.0,0.0
Berat Djimsiti,ZG,29.0,24,20,1.797,20.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,8.0,7.0,45.0,9.0,0.0,5.0,5.0,0.0,5.0,3.0,1.0,4.0,3.0,4.0,34.0,19.0,21.0,13.0,0.0,17.0,25.0,680.0,8.0,17.0,7.0,10.0,36.0,70.0,74.0,1.0
Ademola Lookman,"AT,LT",24.0,31,20,1.729,19.2,13.0,6.0,19.0,10.0,3.0,3.0,3.0,0.0,9.1,6.7,6.6,133.0,73.0,79.0,185.0,68.0,31.0,99.0,52.0,83.0,47.0,34.0,82.0,35.0,69.0,13.0,5.0,2.0,6.0,5.0,3.0,15.0,200.0,12.0,18.0,0.0,18.0,4.0,17.0,1.0,0.0
Davide Zappacosta,ZG,30.0,21,18,1.471,16.3,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,1.5,1.5,1.6,32.0,48.0,55.0,101.0,24.0,12.0,37.0,24.0,37.0,9.0,10.0,20.0,9.0,20.0,34.0,18.0,17.0,12.0,5.0,15.0,22.0,682.0,7.0,23.0,2.0,21.0,9.0,43.0,16.0,0.0
Hans Hateboer,ZG,28.0,17,17,1.397,15.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,1.5,28.0,16.0,55.0,73.0,6.0,6.0,13.0,6.0,13.0,9.0,10.0,18.0,9.0,18.0,21.0,13.0,11.0,8.0,2.0,11.0,27.0,407.0,16.0,23.0,4.0,19.0,12.0,33.0,25.0,0.0
Duván Zapata,AT,31.0,25,16,1.39,15.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,3.9,3.9,1.1,51.0,35.0,40.0,140.0,13.0,13.0,26.0,13.0,26.0,25.0,7.0,33.0,25.0,33.0,8.0,4.0,1.0,3.0,4.0,3.0,5.0,600.0,2.0,6.0,2.0,4.0,4.0,12.0,17.0,1.0
Merih Demiral,ZG,24.0,28,14,1.536,17.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.5,12.0,3.0,26.0,4.0,6.0,0.0,6.0,6.0,6.0,4.0,3.0,7.0,4.0,7.0,41.0,29.0,30.0,11.0,0.0,26.0,36.0,722.0,10.0,24.0,7.0,17.0,24.0,65.0,57.0,1.0
Marco Sportiello,G,30.0,15,14,1.339,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,333.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Luis Muriel,"AT,LT",31.0,29,10,1.073,11.9,3.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.8,2.0,3.5,56.0,53.0,71.0,124.0,25.0,25.0,50.0,17.0,42.0,24.0,30.0,53.0,17.0,47.0,9.0,6.0,2.0,3.0,4.0,5.0,16.0,313.0,11.0,9.0,0.0,9.0,2.0,11.0,2.0,0.0
Caleb Okoli,ZG,21.0,17,9,960.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,5.0,4.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,21.0,17.0,14.0,6.0,1.0,10.0,25.0,400.0,15.0,10.0,5.0,5.0,30.0,51.0,44.0,3.0
Matteo Ruggeri,"ZG,LT",20.0,15,8,829.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.9,15.0,22.0,55.0,65.0,0.0,11.0,11.0,0.0,11.0,6.0,10.0,16.0,6.0,16.0,17.0,12.0,5.0,9.0,3.0,8.0,16.0,500.0,8.0,14.0,3.0,11.0,12.0,29.0,16.0,0.0
José Luis Palomino,ZG,32.0,15,8,759.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,8.0,3.0,29.0,3.0,12.0,0.0,12.0,12.0,12.0,6.0,3.0,10.0,6.0,10.0,23.0,14.0,16.0,7.0,0.0,11.0,19.0,579.0,8.0,11.0,4.0,7.0,28.0,51.0,20.0,0.0
Brandon Soppy,ZG,20.0,15,8,643.0,7.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.6,20.0,23.0,33.0,35.0,0.0,42.0,42.0,0.0,42.0,5.0,23.0,27.0,5.0,27.0,8.0,5.0,4.0,4.0,0.0,3.0,9.0,333.0,6.0,10.0,0.0,10.0,3.0,11.0,7.0,0.0
