Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Łukasz Skorupski,G,32.0,32,32,2.88,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,667.0,1.0,0.0,0.0,0.0,1.0,3.0,11.0,3.0
Joshua Zirkzee,AT,22.0,34,32,2.759,30.7,11.0,4.0,15.0,9.0,2.0,2.0,8.0,0.0,9.0,7.4,5.2,126.0,53.0,86.0,182.0,36.0,13.0,49.0,29.0,42.0,29.0,17.0,46.0,24.0,41.0,32.0,20.0,8.0,15.0,9.0,13.0,24.0,542.0,11.0,25.0,2.0,23.0,3.0,35.0,36.0,0.0
Lewis Ferguson,LT,23.0,31,31,2.712,30.1,6.0,3.0,9.0,6.0,0.0,0.0,8.0,0.0,5.4,5.4,2.3,77.0,57.0,142.0,138.0,20.0,10.0,30.0,20.0,30.0,18.0,8.0,26.0,18.0,26.0,37.0,21.0,16.0,17.0,4.0,16.0,37.0,432.0,21.0,25.0,8.0,17.0,17.0,54.0,27.0,1.0
Remo Freuler,LT,31.0,32,30,2.624,29.2,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.2,1.2,1.1,23.0,37.0,165.0,48.0,3.0,3.0,7.0,3.0,7.0,4.0,4.0,8.0,4.0,8.0,78.0,50.0,41.0,32.0,5.0,38.0,69.0,551.0,31.0,37.0,9.0,28.0,36.0,114.0,53.0,2.0
Sam Beukema,ZG,24.0,30,29,2.547,28.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.9,1.9,0.8,27.0,14.0,76.0,5.0,4.0,4.0,7.0,4.0,7.0,7.0,3.0,10.0,7.0,10.0,27.0,11.0,14.0,11.0,2.0,16.0,25.0,640.0,9.0,35.0,21.0,14.0,15.0,42.0,99.0,2.0
Stefan Posch,ZG,26.0,31,29,2.409,26.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,2.1,33.0,44.0,123.0,64.0,4.0,7.0,11.0,4.0,11.0,4.0,8.0,12.0,4.0,12.0,77.0,46.0,35.0,38.0,4.0,49.0,88.0,557.0,39.0,27.0,8.0,19.0,18.0,95.0,72.0,0.0
Riccardo Calafiori,ZG,21.0,30,26,2.349,26.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,1.2,26.0,28.0,96.0,23.0,8.0,19.0,27.0,8.0,27.0,5.0,5.0,10.0,5.0,10.0,47.0,32.0,28.0,16.0,3.0,22.0,32.0,688.0,10.0,38.0,13.0,25.0,50.0,97.0,74.0,3.0
Victor Bernth Kristiansen,ZG,20.0,32,26,2.307,25.6,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,2.4,26.0,23.0,123.0,74.0,0.0,12.0,12.0,0.0,12.0,1.0,9.0,10.0,1.0,10.0,52.0,34.0,23.0,22.0,7.0,20.0,35.0,571.0,15.0,35.0,8.0,27.0,12.0,64.0,45.0,1.0
Michel Aebischer,LT,26.0,36,26,2.23,24.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.5,26.0,26.0,125.0,55.0,0.0,4.0,4.0,0.0,4.0,4.0,6.0,11.0,4.0,11.0,35.0,20.0,9.0,20.0,6.0,15.0,34.0,441.0,19.0,28.0,6.0,22.0,12.0,47.0,22.0,0.0
Jhon Lucumí,ZG,25.0,29,23,2.217,24.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,11.0,28.0,93.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,48.0,29.0,31.0,17.0,0.0,27.0,36.0,750.0,9.0,32.0,17.0,15.0,16.0,64.0,68.0,2.0
Alexis Saelemaekers,"AT,LT",24.0,30,21,1.887,21.0,4.0,2.0,6.0,4.0,0.0,0.0,7.0,1.0,2.6,2.6,2.8,55.0,65.0,77.0,180.0,19.0,10.0,29.0,19.0,29.0,13.0,14.0,26.0,13.0,26.0,32.0,22.0,13.0,14.0,5.0,12.0,27.0,444.0,15.0,13.0,1.0,12.0,13.0,45.0,10.0,1.0
Dan Ndoye,"AT,LT",22.0,32,20,1.771,19.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,4.9,4.9,1.8,66.0,88.0,36.0,173.0,5.0,5.0,10.0,5.0,10.0,25.0,9.0,34.0,25.0,34.0,30.0,15.0,17.0,11.0,2.0,17.0,39.0,436.0,22.0,20.0,1.0,19.0,10.0,40.0,14.0,0.0
Riccardo Orsolini,"AT,LT",26.0,33,19,1.792,19.9,10.0,2.0,12.0,8.0,2.0,3.0,2.0,0.0,7.4,5.0,4.4,94.0,51.0,71.0,175.0,50.0,10.0,60.0,40.0,50.0,37.0,22.0,59.0,25.0,47.0,23.0,14.0,13.0,4.0,6.0,9.0,30.0,300.0,21.0,25.0,3.0,22.0,8.0,31.0,19.0,1.0
Giovanni Fabbian,"LT,AT",20.0,27,11,1.057,11.7,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,4.2,4.2,1.9,60.0,11.0,17.0,41.0,43.0,17.0,60.0,43.0,60.0,35.0,16.0,51.0,35.0,51.0,17.0,10.0,9.0,7.0,1.0,7.0,12.0,583.0,5.0,5.0,2.0,3.0,7.0,24.0,11.0,0.0
Charalambos Lykogiannis,ZG,29.0,22,10,904.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,1.6,29.0,36.0,35.0,41.0,20.0,10.0,30.0,20.0,30.0,13.0,16.0,29.0,13.0,29.0,10.0,6.0,5.0,4.0,1.0,5.0,10.0,500.0,5.0,15.0,5.0,10.0,5.0,15.0,30.0,0.0
Nikola Moro,LT,25.0,23,10,840.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,11.0,21.0,58.0,38.0,11.0,0.0,11.0,11.0,11.0,8.0,4.0,12.0,8.0,12.0,21.0,16.0,8.0,12.0,1.0,8.0,15.0,533.0,7.0,14.0,1.0,13.0,7.0,28.0,10.0,0.0
Kacper Urbanski,"LT,AT",18.0,22,9,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.8,19.0,25.0,31.0,78.0,0.0,10.0,10.0,0.0,10.0,10.0,8.0,19.0,10.0,19.0,16.0,10.0,5.0,10.0,1.0,6.0,13.0,462.0,7.0,15.0,1.0,14.0,4.0,20.0,14.0,0.0
Lorenzo De Silvestri,ZG,35.0,15,7,674.0,7.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,14.0,27.0,12.0,27.0,0.0,27.0,27.0,27.0,3.0,0.0,3.0,3.0,3.0,10.0,8.0,5.0,2.0,3.0,4.0,7.0,571.0,3.0,9.0,4.0,5.0,6.0,16.0,27.0,0.0
Federico Ravaglia,G,23.0,6,6,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Oussama El Azzouzi,LT,22.0,18,5,547.0,6.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,0.6,10.0,4.0,19.0,8.0,33.0,33.0,66.0,33.0,66.0,8.0,9.0,17.0,8.0,17.0,12.0,7.0,4.0,5.0,3.0,7.0,14.0,500.0,7.0,8.0,2.0,6.0,6.0,18.0,12.0,0.0
Jens Odgaard,"AT,LT",24.0,10,5,431.0,4.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.1,15.0,9.0,9.0,30.0,42.0,0.0,42.0,42.0,42.0,31.0,1.0,32.0,31.0,32.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,333.0,2.0,9.0,0.0,9.0,1.0,5.0,3.0,0.0
Jesper Karlsson,AT,25.0,7,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,7.0,13.0,16.0,35.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,19.0,11.0,19.0,3.0,3.0,2.0,1.0,0.0,2.0,8.0,250.0,6.0,4.0,0.0,4.0,4.0,7.0,1.0,0.0
Santiago Castro,AT,18.0,8,2,242.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,15.0,1.0,1.0,15.0,37.0,37.0,74.0,37.0,74.0,35.0,20.0,55.0,35.0,55.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,333.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0
Sydney van Hooijdonk,AT,23.0,9,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,7.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,31.0,26.0,31.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,500.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0
Tommaso Corazza,ZG,19.0,9,1,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,2.0,10.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,4.0,7.0,10.0,4.0,9.0,1.0,0.0,4.0,9.0,444.0,5.0,2.0,0.0,2.0,5.0,15.0,3.0,0.0
Nicolás Domínguez,LT,25.0,2,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0
Kevin Bonifazi,ZG,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0
Nicola Bagnolini,G,19.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tito Gasperini,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.0,385.0,299.0,267.0,67.0,303.0,579.0,523.0,276.0,426.0,113.0,313.0,258.0,891.0,677.0,17.0
Mihajlo Ilić,ZG,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.0,377.0,282.0,259.0,92.0,322.0,615.0,524.0,293.0,514.0,131.0,383.0,306.0,939.0,554.0,15.0
Joaquin Sosa,ZG,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama Soumaoro,ZG,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
