Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Boris Radunović,G,26.0,38,38,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2.0,2.0,14.0,0.0
Antoine Makoumbou,LT,24.0,36,33,2.981,33.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,1.7,21.0,42.0,174.0,53.0,3.0,0.0,3.0,3.0,3.0,1.0,5.0,6.0,1.0,6.0,43.0,28.0,19.0,19.0,5.0,16.0,32.0,500.0,16.0,30.0,7.0,23.0,31.0,74.0,39.0,0.0
Gianluca Lapadula,AT,32.0,36,33,2.882,32.0,21.0,4.0,25.0,18.0,3.0,5.0,6.0,1.0,19.0,14.9,3.3,181.0,34.0,31.0,150.0,66.0,12.0,78.0,56.0,69.0,59.0,10.0,69.0,46.0,57.0,17.0,12.0,2.0,10.0,5.0,7.0,16.0,438.0,9.0,7.0,2.0,5.0,2.0,19.0,18.0,0.0
Nahitan Nández,"LT,AT",26.0,33,30,2.539,28.2,0.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,1.9,1.9,5.4,74.0,113.0,141.0,232.0,0.0,14.0,14.0,0.0,14.0,7.0,19.0,26.0,7.0,26.0,52.0,34.0,23.0,20.0,9.0,30.0,69.0,435.0,39.0,26.0,3.0,23.0,16.0,68.0,19.0,0.0
Gabriele Zappa,ZG,22.0,29,27,2.347,26.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,2.1,2.1,2.0,41.0,75.0,149.0,112.0,12.0,4.0,15.0,12.0,15.0,8.0,8.0,16.0,8.0,16.0,51.0,37.0,23.0,24.0,4.0,31.0,57.0,544.0,26.0,23.0,8.0,15.0,33.0,84.0,57.0,0.0
Adam Obert,ZG,19.0,29,23,2.066,23.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.1,1.1,1.3,24.0,27.0,86.0,22.0,0.0,4.0,4.0,0.0,4.0,5.0,6.0,11.0,5.0,11.0,20.0,8.0,8.0,10.0,2.0,12.0,23.0,522.0,11.0,34.0,15.0,19.0,24.0,44.0,74.0,0.0
Giorgio Altare,ZG,23.0,26,21,1.921,21.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.4,1.4,0.7,21.0,14.0,88.0,7.0,5.0,0.0,5.0,5.0,5.0,7.0,3.0,10.0,7.0,10.0,36.0,25.0,24.0,10.0,2.0,19.0,23.0,826.0,4.0,22.0,13.0,9.0,34.0,70.0,93.0,1.0
Marco Mancosu,"LT,AT",33.0,23,21,1.617,18.0,5.0,4.0,9.0,4.0,1.0,1.0,1.0,0.0,3.7,2.9,4.0,69.0,46.0,104.0,116.0,28.0,22.0,50.0,22.0,45.0,20.0,22.0,43.0,16.0,38.0,20.0,15.0,7.0,9.0,4.0,7.0,20.0,350.0,13.0,5.0,0.0,5.0,7.0,27.0,9.0,0.0
Alberto Dossena,ZG,23.0,23,19,1.703,18.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.2,12.0,5.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,6.0,6.0,33.0,17.0,25.0,8.0,0.0,11.0,22.0,500.0,11.0,29.0,14.0,15.0,30.0,63.0,105.0,0.0
Alessandro Deiola,"LT,ZG",26.0,26,16,1.522,16.9,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.3,3.3,1.4,47.0,7.0,62.0,44.0,18.0,12.0,30.0,18.0,30.0,19.0,9.0,28.0,19.0,28.0,24.0,12.0,11.0,11.0,2.0,14.0,30.0,467.0,16.0,10.0,2.0,8.0,16.0,40.0,29.0,0.0
Edoardo Goldaniga,ZG,28.0,18,16,1.376,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.1,6.0,5.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,14.0,10.0,10.0,3.0,1.0,2.0,10.0,200.0,8.0,10.0,7.0,3.0,33.0,47.0,61.0,0.0
Zito Luvumbo,"AT,LT",20.0,36,15,1.56,17.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.3,3.3,2.8,61.0,70.0,39.0,202.0,17.0,12.0,29.0,17.0,29.0,19.0,16.0,35.0,19.0,35.0,22.0,13.0,7.0,9.0,6.0,5.0,18.0,278.0,13.0,12.0,0.0,12.0,1.0,23.0,3.0,0.0
Marko Rog,LT,27.0,21,14,1.038,11.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,2.0,2.0,0.5,24.0,18.0,45.0,28.0,9.0,9.0,17.0,9.0,17.0,17.0,4.0,21.0,17.0,21.0,21.0,13.0,9.0,11.0,1.0,13.0,27.0,481.0,14.0,11.0,1.0,10.0,7.0,28.0,10.0,0.0
Christos Kourfalidis,LT,19.0,21,13,1.262,14.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.4,26.0,23.0,43.0,67.0,7.0,21.0,29.0,7.0,29.0,9.0,10.0,18.0,9.0,18.0,24.0,13.0,8.0,13.0,3.0,12.0,28.0,429.0,16.0,15.0,4.0,11.0,12.0,36.0,20.0,1.0
Paulo Azzi,ZG,28.0,16,13,1.144,12.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,20.0,50.0,46.0,45.0,16.0,8.0,24.0,16.0,24.0,7.0,9.0,16.0,7.0,16.0,30.0,20.0,17.0,12.0,1.0,17.0,32.0,531.0,15.0,17.0,4.0,13.0,10.0,40.0,28.0,0.0
Elio Capradossi,ZG,26.0,16,13,1.133,12.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.6,15.0,9.0,50.0,4.0,0.0,8.0,8.0,0.0,8.0,7.0,5.0,12.0,7.0,12.0,24.0,16.0,14.0,10.0,0.0,8.0,11.0,727.0,3.0,17.0,12.0,5.0,21.0,45.0,42.0,1.0
Alessandro Di Pardo,ZG,23.0,16,12,986.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.8,10.0,30.0,77.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,2.0,9.0,18.0,13.0,9.0,8.0,1.0,9.0,15.0,600.0,6.0,16.0,6.0,10.0,12.0,30.0,30.0,0.0
Leonardo Pavoletti,AT,33.0,23,10,989.0,11.0,6.0,0.0,6.0,6.0,0.0,1.0,3.0,0.0,5.2,4.4,0.6,50.0,5.0,25.0,56.0,55.0,0.0,55.0,55.0,55.0,47.0,5.0,52.0,40.0,45.0,3.0,1.0,0.0,1.0,2.0,1.0,5.0,200.0,4.0,3.0,1.0,2.0,1.0,4.0,10.0,0.0
Nicolas Viola,LT,32.0,16,9,847.0,9.4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.8,1.1,1.8,28.0,13.0,56.0,32.0,11.0,0.0,11.0,0.0,0.0,20.0,19.0,39.0,11.0,30.0,10.0,7.0,1.0,9.0,0.0,7.0,12.0,583.0,5.0,7.0,0.0,7.0,11.0,21.0,9.0,0.0
Filippo Falco,"LT,AT",30.0,14,9,736.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,2.1,36.0,30.0,62.0,100.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,44.0,18.0,44.0,6.0,3.0,1.0,4.0,1.0,2.0,4.0,500.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0
Antonio Barreca,ZG,27.0,22,8,878.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,5.0,25.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,5.0,13.0,10.0,7.0,4.0,2.0,5.0,9.0,556.0,4.0,4.0,2.0,2.0,6.0,19.0,14.0,0.0
Nunzio Lella,LT,22.0,18,8,737.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.1,18.0,9.0,19.0,33.0,12.0,0.0,12.0,12.0,12.0,21.0,1.0,22.0,21.0,22.0,15.0,9.0,3.0,10.0,2.0,4.0,14.0,286.0,10.0,19.0,0.0,19.0,14.0,29.0,15.0,0.0
Nik Prelec,"AT,LT",21.0,12,6,618.0,6.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.7,20.0,5.0,11.0,30.0,0.0,29.0,29.0,0.0,29.0,20.0,10.0,30.0,20.0,30.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,7.0,3.0,4.0,1.0,4.0,1.0,0.0
Franco Carboni,ZG,19.0,13,5,463.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,7.0,15.0,19.0,11.0,0.0,19.0,19.0,0.0,19.0,2.0,11.0,14.0,2.0,14.0,12.0,8.0,8.0,4.0,0.0,9.0,16.0,563.0,7.0,6.0,0.0,6.0,2.0,14.0,14.0,0.0
Gastón Pereiro,"LT,AT",27.0,9,3,241.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,12.0,9.0,14.0,18.0,37.0,37.0,75.0,37.0,75.0,11.0,35.0,45.0,11.0,45.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0
