Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Marco Carnesecchi,G,21.0,36,36,3.173,35.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,4.0,750.0,1.0,0.0,0.0,0.0,1.0,4.0,24.0,2.0
Leonardo Sernicola,ZG,24.0,33,31,2.803,31.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.6,0.6,1.1,17.0,51.0,108.0,67.0,0.0,3.0,3.0,0.0,3.0,2.0,4.0,6.0,2.0,6.0,59.0,37.0,30.0,22.0,7.0,38.0,48.0,792.0,10.0,26.0,6.0,20.0,60.0,119.0,80.0,0.0
Gianluca Gaetano,"LT,AT",21.0,35,28,2.437,27.1,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,7.2,7.2,2.7,99.0,66.0,140.0,126.0,26.0,18.0,44.0,26.0,44.0,26.0,10.0,36.0,26.0,36.0,37.0,28.0,11.0,21.0,5.0,22.0,60.0,367.0,38.0,30.0,1.0,29.0,26.0,63.0,25.0,0.0
Caleb Okoli,ZG,20.0,27,27,2.385,26.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.1,5.0,9.0,73.0,2.0,0.0,4.0,4.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,22.0,15.0,16.0,6.0,0.0,9.0,16.0,563.0,7.0,25.0,18.0,7.0,40.0,62.0,141.0,0.0
Matteo Bianchetti,ZG,28.0,27,27,2.379,26.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,1.3,19.0,16.0,85.0,2.0,0.0,4.0,4.0,0.0,4.0,2.0,5.0,7.0,2.0,7.0,33.0,21.0,22.0,10.0,1.0,17.0,30.0,567.0,13.0,32.0,20.0,12.0,36.0,69.0,116.0,1.0
Michele Castagnetti,LT,31.0,30,26,2.183,24.3,0.0,3.0,3.0,0.0,0.0,0.0,10.0,0.0,0.9,0.9,1.7,27.0,18.0,177.0,23.0,0.0,12.0,12.0,0.0,12.0,4.0,7.0,11.0,4.0,11.0,51.0,32.0,15.0,34.0,2.0,22.0,55.0,400.0,33.0,29.0,6.0,23.0,29.0,80.0,39.0,0.0
Nicolò Fagioli,LT,20.0,33,26,2.182,24.2,3.0,7.0,10.0,3.0,0.0,1.0,6.0,0.0,3.2,2.4,3.4,58.0,45.0,123.0,53.0,12.0,29.0,41.0,12.0,41.0,13.0,14.0,27.0,10.0,24.0,49.0,25.0,13.0,27.0,9.0,27.0,62.0,435.0,35.0,25.0,3.0,22.0,24.0,73.0,10.0,1.0
Emanuele Valeri,ZG,22.0,29,25,2.249,25.0,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.4,1.4,2.5,39.0,80.0,98.0,114.0,12.0,4.0,16.0,12.0,16.0,6.0,10.0,16.0,6.0,16.0,35.0,20.0,25.0,8.0,2.0,20.0,35.0,571.0,15.0,17.0,6.0,11.0,48.0,83.0,35.0,1.0
Luca Zanimacchia,AT,23.0,36,25,2.184,24.3,8.0,5.0,13.0,8.0,0.0,1.0,4.0,0.0,6.4,5.7,4.2,99.0,103.0,61.0,193.0,33.0,21.0,54.0,33.0,54.0,27.0,17.0,44.0,23.0,41.0,45.0,31.0,21.0,14.0,10.0,24.0,58.0,414.0,34.0,21.0,2.0,19.0,17.0,62.0,14.0,1.0
Cristian Buonaiuto,"AT,LT",28.0,30,20,1.725,19.2,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,6.1,6.1,5.3,114.0,80.0,66.0,154.0,42.0,21.0,63.0,42.0,63.0,32.0,28.0,60.0,32.0,60.0,31.0,16.0,15.0,10.0,6.0,16.0,41.0,390.0,25.0,28.0,3.0,25.0,11.0,42.0,9.0,1.0
