Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Pietro Terracciano,G,33.0,33,33,2.97,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,333.0,2.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0
Nikola Milenković,ZG,25.0,34,27,2.51,27.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.7,11.0,8.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,4.0,41.0,21.0,24.0,14.0,3.0,22.0,36.0,611.0,14.0,22.0,14.0,8.0,27.0,68.0,95.0,1.0
Cristiano Biraghi,ZG,30.0,29,27,2.356,26.2,2.0,5.0,7.0,2.0,0.0,1.0,8.0,0.0,1.6,0.8,3.6,44.0,55.0,129.0,109.0,8.0,19.0,27.0,8.0,27.0,6.0,14.0,20.0,3.0,17.0,47.0,28.0,20.0,24.0,3.0,28.0,52.0,538.0,24.0,30.0,5.0,25.0,14.0,61.0,43.0,0.0
Giacomo Bonaventura,LT,33.0,31,27,2.277,25.3,8.0,3.0,11.0,8.0,0.0,1.0,6.0,0.0,5.7,4.4,3.6,80.0,60.0,140.0,107.0,32.0,12.0,43.0,32.0,43.0,22.0,14.0,36.0,18.0,32.0,26.0,13.0,6.0,10.0,10.0,9.0,21.0,429.0,12.0,16.0,1.0,15.0,14.0,40.0,10.0,0.0
Lucas Martínez Quarta,ZG,27.0,29,26,2.291,25.5,5.0,1.0,6.0,5.0,0.0,0.0,9.0,0.0,2.7,2.7,1.8,46.0,23.0,177.0,16.0,20.0,4.0,24.0,20.0,24.0,11.0,7.0,18.0,11.0,18.0,75.0,47.0,43.0,28.0,4.0,36.0,54.0,667.0,18.0,38.0,14.0,24.0,30.0,105.0,69.0,4.0
Alfred Duncan,LT,30.0,30,24,1.888,21.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.0,35.0,23.0,133.0,47.0,10.0,24.0,33.0,10.0,33.0,7.0,10.0,17.0,7.0,17.0,35.0,22.0,13.0,15.0,7.0,15.0,35.0,429.0,20.0,27.0,5.0,22.0,11.0,46.0,13.0,0.0
Luca Ranieri,ZG,24.0,26,23,2.065,22.9,2.0,1.0,3.0,2.0,0.0,0.0,14.0,0.0,0.9,0.9,0.4,13.0,17.0,99.0,5.0,9.0,4.0,13.0,9.0,13.0,4.0,2.0,6.0,4.0,6.0,14.0,10.0,11.0,1.0,2.0,8.0,13.0,615.0,5.0,25.0,11.0,14.0,29.0,43.0,64.0,0.0
Arthur Melo,LT,26.0,33,23,1.986,22.1,2.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,0.3,1.7,20.0,21.0,133.0,27.0,9.0,14.0,23.0,5.0,18.0,5.0,8.0,13.0,1.0,9.0,45.0,30.0,17.0,24.0,4.0,26.0,42.0,619.0,16.0,27.0,3.0,24.0,18.0,63.0,8.0,0.0
Michael Kayode,ZG,19.0,26,22,2.058,22.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,16.0,45.0,80.0,102.0,4.0,4.0,9.0,4.0,9.0,2.0,5.0,7.0,2.0,7.0,53.0,30.0,27.0,15.0,11.0,35.0,48.0,729.0,13.0,25.0,12.0,13.0,18.0,71.0,46.0,2.0
Nicolás González,AT,25.0,29,21,1.913,21.3,12.0,2.0,14.0,11.0,1.0,3.0,1.0,0.0,10.4,8.0,1.6,96.0,53.0,100.0,190.0,56.0,9.0,66.0,52.0,61.0,49.0,7.0,56.0,38.0,45.0,28.0,18.0,15.0,8.0,5.0,8.0,28.0,286.0,20.0,26.0,1.0,25.0,12.0,40.0,9.0,0.0
Lucas Beltrán,"AT,LT",22.0,32,21,1.692,18.8,6.0,2.0,8.0,5.0,1.0,1.0,6.0,0.0,3.8,3.0,1.5,45.0,12.0,49.0,113.0,32.0,11.0,43.0,27.0,37.0,20.0,8.0,28.0,16.0,24.0,27.0,14.0,4.0,18.0,5.0,11.0,20.0,550.0,9.0,29.0,3.0,26.0,2.0,29.0,11.0,0.0
Jonathan Ikone,AT,25.0,28,18,1.682,18.7,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,4.6,4.6,2.0,66.0,51.0,58.0,154.0,16.0,5.0,21.0,16.0,21.0,25.0,10.0,35.0,25.0,35.0,22.0,11.0,7.0,9.0,6.0,10.0,17.0,588.0,7.0,12.0,0.0,12.0,3.0,25.0,8.0,0.0
