Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Francesco Bardi,G,28.0,34,34,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,4.0,500.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0
Francesco Zampano,ZG,26.0,35,29,2.604,28.9,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.8,0.8,2.8,36.0,119.0,94.0,191.0,3.0,3.0,7.0,3.0,7.0,3.0,10.0,13.0,3.0,13.0,57.0,36.0,31.0,20.0,6.0,25.0,31.0,806.0,6.0,26.0,1.0,25.0,22.0,79.0,47.0,0.0
Raffaele Maiello,LT,29.0,33,29,2.552,28.4,2.0,3.0,5.0,1.0,1.0,1.0,3.0,0.0,1.4,0.6,5.3,60.0,42.0,240.0,43.0,7.0,11.0,18.0,4.0,14.0,5.0,19.0,24.0,2.0,21.0,65.0,43.0,35.0,26.0,4.0,18.0,39.0,462.0,21.0,24.0,4.0,20.0,53.0,118.0,65.0,0.0
Nicolò Brighenti,ZG,30.0,30,29,2.473,27.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,0.5,20.0,21.0,132.0,11.0,4.0,4.0,7.0,4.0,7.0,6.0,2.0,7.0,6.0,7.0,38.0,28.0,17.0,20.0,1.0,19.0,31.0,613.0,12.0,31.0,17.0,14.0,65.0,103.0,98.0,1.0
Przemysław Szymiński,ZG,26.0,30,28,2.53,28.1,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.6,0.6,1.3,19.0,8.0,81.0,2.0,7.0,7.0,14.0,7.0,14.0,2.0,5.0,7.0,2.0,7.0,28.0,16.0,13.0,13.0,2.0,9.0,16.0,563.0,7.0,27.0,17.0,10.0,40.0,68.0,113.0,0.0
Marcus Rohdén,LT,29.0,32,28,2.167,24.1,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,5.5,5.5,4.7,102.0,63.0,100.0,186.0,8.0,17.0,25.0,8.0,25.0,23.0,19.0,42.0,23.0,42.0,44.0,25.0,15.0,23.0,6.0,25.0,42.0,595.0,17.0,25.0,3.0,22.0,11.0,55.0,14.0,0.0
Grigoris Kastanos,LT,22.0,34,26,2.397,26.6,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,2.3,2.3,2.8,50.0,65.0,145.0,87.0,8.0,4.0,11.0,8.0,11.0,8.0,10.0,19.0,8.0,19.0,60.0,35.0,19.0,35.0,6.0,25.0,53.0,472.0,28.0,29.0,3.0,26.0,32.0,92.0,21.0,0.0
Andrija Novakovich,AT,23.0,33,25,2.19,24.3,11.0,5.0,16.0,10.0,1.0,1.0,1.0,0.0,8.7,8.0,1.9,99.0,28.0,43.0,152.0,45.0,21.0,66.0,41.0,62.0,36.0,8.0,44.0,33.0,41.0,9.0,4.0,2.0,5.0,2.0,3.0,9.0,333.0,6.0,16.0,3.0,13.0,1.0,10.0,20.0,0.0
Alessandro Salvi,ZG,32.0,28,25,2.16,24.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.8,1.8,2.3,40.0,44.0,64.0,83.0,8.0,0.0,8.0,8.0,8.0,7.0,9.0,17.0,7.0,17.0,29.0,20.0,11.0,15.0,3.0,17.0,29.0,586.0,12.0,29.0,13.0,16.0,33.0,62.0,46.0,0.0
Lorenzo Ariaudo,ZG,31.0,20,17,1.457,16.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,15.0,3.0,36.0,1.0,6.0,0.0,6.0,6.0,6.0,9.0,0.0,9.0,9.0,9.0,12.0,7.0,8.0,4.0,0.0,4.0,9.0,444.0,5.0,15.0,10.0,5.0,18.0,30.0,55.0,0.0
Camillo Ciano,AT,30.0,26,16,1.442,16.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,4.6,4.6,4.4,90.0,30.0,57.0,120.0,19.0,12.0,31.0,19.0,31.0,29.0,27.0,56.0,29.0,56.0,19.0,10.0,8.0,8.0,3.0,4.0,21.0,190.0,17.0,14.0,1.0,13.0,3.0,22.0,4.0,0.0
Marcos Curado,ZG,25.0,16,15,1.4,15.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.0,8.0,21.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,25.0,18.0,21.0,4.0,0.0,10.0,14.0,714.0,4.0,22.0,16.0,6.0,27.0,52.0,51.0,0.0
Piotr Parzyszek,AT,26.0,28,14,1.235,13.7,5.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,4.8,4.0,0.5,44.0,6.0,21.0,73.0,36.0,7.0,44.0,29.0,36.0,35.0,3.0,38.0,29.0,32.0,8.0,4.0,2.0,4.0,2.0,6.0,15.0,400.0,9.0,10.0,2.0,8.0,6.0,14.0,16.0,0.0
Marco Capuano,ZG,28.0,14,14,1.138,12.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,10.0,9.0,70.0,1.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,2.0,6.0,333.0,4.0,7.0,5.0,2.0,8.0,16.0,46.0,0.0
Andrea Beghetto,"ZG,AT",25.0,15,13,1.097,12.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.9,22.0,18.0,43.0,77.0,0.0,8.0,8.0,0.0,8.0,2.0,16.0,18.0,2.0,18.0,9.0,4.0,6.0,3.0,0.0,5.0,9.0,556.0,4.0,9.0,0.0,9.0,8.0,17.0,25.0,0.0
Pietro Iemmello,AT,28.0,17,11,1.053,11.7,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,5.8,5.1,1.7,68.0,19.0,34.0,65.0,26.0,0.0,26.0,26.0,26.0,50.0,15.0,65.0,43.0,58.0,5.0,1.0,0.0,2.0,3.0,1.0,4.0,250.0,3.0,5.0,1.0,4.0,0.0,5.0,3.0,0.0
