Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Josep Martinez,G,25.0,36,36,3.239,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,3.0
Morten Frendrup,LT,22.0,37,36,3.145,34.9,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,1.7,1.7,1.6,33.0,36.0,105.0,69.0,6.0,14.0,20.0,6.0,20.0,5.0,5.0,9.0,5.0,9.0,133.0,72.0,47.0,70.0,16.0,55.0,91.0,604.0,36.0,55.0,14.0,41.0,51.0,184.0,42.0,1.0
Albert Guðmundsson,"AT,LT",26.0,35,34,3.016,33.5,14.0,4.0,18.0,10.0,4.0,5.0,4.0,0.0,9.9,5.8,5.2,110.0,82.0,120.0,168.0,42.0,12.0,54.0,30.0,42.0,30.0,16.0,45.0,17.0,33.0,23.0,10.0,8.0,10.0,5.0,12.0,44.0,273.0,32.0,15.0,2.0,13.0,11.0,34.0,13.0,0.0
Johan Vásquez,ZG,24.0,37,32,2.85,31.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.9,1.9,0.8,27.0,29.0,81.0,61.0,3.0,3.0,6.0,3.0,6.0,6.0,3.0,8.0,6.0,8.0,51.0,33.0,38.0,11.0,2.0,32.0,50.0,640.0,18.0,50.0,26.0,24.0,45.0,96.0,113.0,0.0
Milan Badelj,LT,34.0,33,32,2.535,28.2,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,1.1,25.0,18.0,151.0,36.0,4.0,11.0,14.0,4.0,14.0,5.0,4.0,9.0,5.0,9.0,51.0,27.0,23.0,24.0,4.0,24.0,61.0,393.0,37.0,45.0,13.0,32.0,50.0,101.0,54.0,1.0
Stefano Sabelli,ZG,30.0,32,30,2.429,27.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.9,27.0,69.0,88.0,101.0,0.0,4.0,4.0,0.0,4.0,3.0,7.0,10.0,3.0,10.0,50.0,24.0,28.0,19.0,3.0,15.0,46.0,326.0,31.0,27.0,6.0,21.0,23.0,73.0,35.0,0.0
Mattia Bani,ZG,29.0,27,27,2.306,25.6,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.2,1.2,0.1,13.0,5.0,37.0,4.0,8.0,0.0,8.0,8.0,8.0,5.0,0.0,5.0,5.0,5.0,26.0,10.0,18.0,7.0,1.0,11.0,22.0,500.0,11.0,51.0,31.0,20.0,22.0,48.0,116.0,1.0
Koni De Winter,ZG,21.0,29,26,2.38,26.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,1.0,18.0,21.0,76.0,15.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,7.0,3.0,7.0,44.0,25.0,26.0,13.0,5.0,21.0,31.0,677.0,10.0,30.0,10.0,20.0,21.0,65.0,78.0,0.0
Mateo Retegui,AT,24.0,29,26,2.216,24.6,7.0,2.0,9.0,6.0,1.0,1.0,5.0,0.0,5.8,5.0,0.7,58.0,18.0,17.0,112.0,28.0,8.0,37.0,24.0,32.0,24.0,3.0,27.0,20.0,24.0,17.0,9.0,7.0,8.0,2.0,6.0,20.0,300.0,14.0,18.0,2.0,16.0,0.0,17.0,30.0,0.0
Radu Drăgușin,ZG,21.0,19,19,1.71,19.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,19.0,6.0,29.0,13.0,11.0,5.0,16.0,11.0,16.0,5.0,4.0,10.0,5.0,10.0,16.0,11.0,9.0,6.0,1.0,8.0,9.0,889.0,1.0,18.0,12.0,6.0,21.0,37.0,87.0,3.0
