Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Marco Silvestri,G,29.0,34,34,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
Davide Faraoni,ZG,28.0,34,33,2.891,32.1,4.0,7.0,11.0,4.0,0.0,0.0,8.0,0.0,3.1,3.1,3.4,65.0,26.0,132.0,100.0,12.0,22.0,34.0,12.0,34.0,10.0,11.0,21.0,10.0,21.0,62.0,33.0,36.0,19.0,7.0,28.0,51.0,549.0,23.0,48.0,17.0,31.0,49.0,111.0,83.0,1.0
Mattia Zaccagni,LT,25.0,36,33,2.609,29.0,5.0,5.0,10.0,4.0,1.0,1.0,6.0,0.0,3.2,2.4,5.7,82.0,118.0,112.0,299.0,17.0,17.0,34.0,14.0,31.0,11.0,20.0,31.0,9.0,29.0,27.0,13.0,8.0,11.0,8.0,8.0,25.0,320.0,17.0,28.0,4.0,24.0,27.0,54.0,13.0,1.0
Antonín Barák,LT,25.0,34,32,2.765,30.7,7.0,3.0,10.0,7.0,0.0,0.0,5.0,1.0,6.8,6.8,2.2,91.0,64.0,147.0,101.0,23.0,10.0,33.0,23.0,33.0,22.0,7.0,30.0,22.0,30.0,30.0,19.0,8.0,16.0,6.0,14.0,47.0,298.0,33.0,26.0,7.0,19.0,12.0,42.0,38.0,1.0
Federico Dimarco,ZG,22.0,35,29,2.613,29.0,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,7.8,106.0,61.0,172.0,138.0,17.0,10.0,28.0,17.0,28.0,10.0,28.0,38.0,10.0,38.0,32.0,19.0,23.0,7.0,2.0,13.0,28.0,464.0,15.0,18.0,9.0,9.0,47.0,79.0,50.0,1.0
Adrien Tameze,LT,26.0,33,28,2.304,25.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,0.6,17.0,33.0,101.0,58.0,4.0,0.0,4.0,4.0,4.0,5.0,2.0,7.0,5.0,7.0,39.0,25.0,23.0,15.0,1.0,11.0,27.0,407.0,16.0,31.0,8.0,23.0,32.0,71.0,46.0,2.0
Darko Lazović,"ZG,LT",29.0,32,27,2.503,27.8,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,3.4,3.4,4.8,82.0,68.0,156.0,198.0,11.0,22.0,32.0,11.0,32.0,12.0,17.0,29.0,12.0,29.0,29.0,17.0,8.0,17.0,4.0,20.0,42.0,476.0,22.0,17.0,7.0,10.0,20.0,49.0,29.0,0.0
Federico Ceccherini,ZG,28.0,25,23,1.738,19.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,0.6,19.0,17.0,69.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,7.0,10.0,16.0,12.0,10.0,6.0,0.0,2.0,7.0,286.0,5.0,15.0,8.0,7.0,40.0,56.0,60.0,0.0
Paweł Dawidowicz,ZG,25.0,30,22,1.86,20.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.9,1.9,1.0,29.0,12.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,14.0,9.0,14.0,42.0,28.0,30.0,10.0,2.0,14.0,24.0,583.0,10.0,28.0,19.0,9.0,27.0,69.0,62.0,1.0
Koray Günter,ZG,25.0,27,21,1.768,19.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.5,8.0,5.0,77.0,1.0,0.0,10.0,10.0,0.0,10.0,2.0,3.0,4.0,2.0,4.0,20.0,10.0,10.0,9.0,1.0,4.0,9.0,444.0,5.0,27.0,21.0,6.0,70.0,90.0,87.0,0.0
Ivan Ilić,LT,19.0,29,19,1.835,20.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.9,26.0,38.0,134.0,31.0,10.0,0.0,10.0,10.0,10.0,8.0,5.0,13.0,8.0,13.0,26.0,14.0,11.0,11.0,4.0,7.0,21.0,333.0,14.0,17.0,5.0,12.0,27.0,53.0,26.0,0.0
Giangiacomo Magnani,ZG,24.0,25,15,1.51,16.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,10.0,5.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,26.0,15.0,14.0,9.0,3.0,9.0,16.0,563.0,7.0,25.0,16.0,9.0,44.0,70.0,105.0,1.0
Miguel Veloso,LT,34.0,21,15,1.316,14.6,2.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0,1.9,0.4,0.7,11.0,19.0,85.0,11.0,14.0,14.0,27.0,0.0,14.0,14.0,5.0,19.0,3.0,8.0,24.0,17.0,10.0,10.0,4.0,12.0,34.0,353.0,22.0,12.0,1.0,11.0,12.0,36.0,25.0,0.0
Nikola Kalinić,AT,32.0,19,15,1.063,11.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.1,4.1,0.4,45.0,7.0,19.0,77.0,17.0,0.0,17.0,17.0,17.0,35.0,3.0,38.0,35.0,38.0,5.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,6.0,0.0,6.0,1.0,6.0,7.0,0.0
Matteo Lovato,ZG,20.0,24,14,1.386,15.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,2.0,6.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,12.0,14.0,5.0,2.0,10.0,21.0,476.0,11.0,20.0,10.0,10.0,37.0,58.0,48.0,1.0
