Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Nicolò Barella,LT,25.0,35,31,2.613,29.0,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,3.2,3.2,5.6,88.0,76.0,214.0,162.0,21.0,21.0,41.0,21.0,41.0,11.0,19.0,30.0,11.0,30.0,49.0,25.0,17.0,26.0,6.0,28.0,53.0,528.0,25.0,29.0,5.0,24.0,12.0,61.0,12.0,0.0
Hakan Çalhanoğlu,LT,28.0,33,28,2.363,26.3,3.0,6.0,9.0,2.0,1.0,1.0,3.0,0.0,3.1,2.3,5.0,73.0,46.0,172.0,68.0,11.0,23.0,34.0,8.0,30.0,12.0,19.0,31.0,9.0,28.0,48.0,27.0,17.0,26.0,5.0,16.0,43.0,372.0,27.0,30.0,5.0,25.0,25.0,73.0,13.0,1.0
Lautaro Martínez,AT,24.0,38,27,2.576,28.6,21.0,6.0,27.0,20.0,1.0,2.0,3.0,0.0,18.1,16.5,5.4,219.0,49.0,83.0,172.0,73.0,21.0,94.0,70.0,91.0,63.0,19.0,82.0,58.0,76.0,25.0,14.0,3.0,15.0,7.0,7.0,23.0,304.0,16.0,31.0,1.0,30.0,13.0,38.0,16.0,1.0
Alessandro Bastoni,ZG,23.0,29,26,2.157,24.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.7,37.0,47.0,141.0,44.0,0.0,8.0,8.0,0.0,8.0,4.0,11.0,15.0,4.0,15.0,41.0,20.0,20.0,14.0,7.0,11.0,27.0,407.0,16.0,27.0,13.0,14.0,24.0,65.0,45.0,0.0
Federico Dimarco,ZG,24.0,33,26,2.069,23.0,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,3.1,3.1,6.9,99.0,45.0,88.0,189.0,17.0,13.0,30.0,17.0,30.0,13.0,30.0,43.0,13.0,43.0,31.0,25.0,6.0,18.0,7.0,9.0,19.0,474.0,10.0,15.0,4.0,11.0,18.0,49.0,20.0,0.0
Francesco Acerbi,ZG,34.0,31,25,2.425,26.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,21.0,39.0,100.0,32.0,0.0,7.0,7.0,0.0,7.0,4.0,4.0,8.0,4.0,8.0,33.0,19.0,22.0,7.0,4.0,20.0,27.0,741.0,7.0,25.0,18.0,7.0,41.0,74.0,85.0,2.0
Denzel Dumfries,ZG,26.0,34,25,2.218,24.6,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,3.6,3.6,4.9,85.0,62.0,59.0,172.0,4.0,16.0,20.0,4.0,20.0,15.0,20.0,35.0,15.0,35.0,35.0,18.0,17.0,13.0,5.0,22.0,34.0,647.0,12.0,33.0,9.0,24.0,12.0,47.0,26.0,0.0
André Onana,G,26.0,24,24,2.16,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Matteo Darmian,ZG,32.0,31,24,2.025,22.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.9,29.0,22.0,88.0,96.0,4.0,9.0,13.0,4.0,13.0,4.0,9.0,13.0,4.0,13.0,56.0,30.0,29.0,15.0,12.0,31.0,47.0,660.0,16.0,33.0,5.0,28.0,21.0,77.0,36.0,0.0
Henrikh Mkhitaryan,LT,33.0,31,24,1.986,22.1,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.8,2.8,2.1,49.0,48.0,133.0,74.0,14.0,9.0,23.0,14.0,23.0,13.0,10.0,22.0,13.0,22.0,41.0,26.0,13.0,22.0,6.0,14.0,41.0,341.0,27.0,27.0,4.0,23.0,21.0,62.0,18.0,0.0
