Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Wladimiro Falcone,G,28.0,38,38,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,21.0,2.0
Federico Baschirotto,ZG,26.0,37,37,3.294,36.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.7,1.5,0.7,21.0,28.0,96.0,3.0,0.0,3.0,3.0,0.0,3.0,5.0,2.0,7.0,4.0,6.0,21.0,12.0,16.0,5.0,0.0,8.0,15.0,533.0,7.0,42.0,26.0,16.0,23.0,44.0,144.0,1.0
Marin Pongračić,ZG,25.0,36,36,3.219,35.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.2,1.2,0.4,15.0,45.0,134.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,43.0,30.0,22.0,20.0,1.0,19.0,25.0,760.0,6.0,37.0,26.0,11.0,51.0,94.0,130.0,1.0
Valentin Gendrey,ZG,23.0,37,35,3.044,33.8,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,1.6,32.0,76.0,116.0,86.0,6.0,9.0,15.0,6.0,15.0,5.0,5.0,10.0,5.0,10.0,55.0,33.0,35.0,16.0,4.0,30.0,46.0,652.0,16.0,40.0,11.0,29.0,35.0,90.0,99.0,0.0
Ylber Ramadani,LT,27.0,34,34,2.97,33.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0,0.5,16.0,36.0,121.0,14.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,68.0,41.0,32.0,29.0,7.0,37.0,96.0,385.0,59.0,54.0,13.0,41.0,44.0,112.0,44.0,0.0
Antonino Gallo,ZG,23.0,35,30,2.49,27.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,4.5,50.0,69.0,125.0,101.0,0.0,11.0,11.0,0.0,11.0,2.0,16.0,18.0,2.0,18.0,43.0,27.0,31.0,11.0,1.0,31.0,49.0,633.0,18.0,34.0,9.0,25.0,25.0,68.0,67.0,0.0
Nikola Krstović,AT,23.0,35,30,2.373,26.4,7.0,1.0,8.0,6.0,1.0,3.0,4.0,1.0,11.6,9.2,3.0,123.0,32.0,52.0,126.0,27.0,4.0,30.0,23.0,27.0,44.0,11.0,55.0,35.0,46.0,17.0,6.0,3.0,9.0,5.0,6.0,10.0,600.0,4.0,12.0,4.0,8.0,4.0,21.0,22.0,0.0
Pontus Almqvist,"AT,LT",24.0,30,25,2.107,23.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.3,2.3,2.7,50.0,72.0,32.0,137.0,9.0,4.0,13.0,9.0,13.0,10.0,12.0,22.0,10.0,22.0,45.0,29.0,16.0,22.0,7.0,23.0,51.0,451.0,28.0,21.0,2.0,19.0,14.0,59.0,10.0,0.0
Remi Oudin,"LT,AT",26.0,31,21,1.819,20.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,1.8,1.8,5.7,74.0,19.0,79.0,82.0,15.0,10.0,25.0,15.0,25.0,9.0,28.0,37.0,9.0,37.0,26.0,14.0,12.0,12.0,2.0,12.0,19.0,632.0,7.0,13.0,1.0,12.0,20.0,46.0,22.0,0.0
Patrick Dorgu,"ZG,LT",18.0,32,17,1.564,17.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,1.6,36.0,37.0,49.0,86.0,12.0,0.0,12.0,12.0,12.0,11.0,9.0,21.0,11.0,21.0,43.0,22.0,22.0,17.0,4.0,22.0,34.0,647.0,12.0,16.0,5.0,11.0,9.0,52.0,45.0,2.0
Lameck Banda,AT,22.0,21,17,1.35,15.0,2.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0,3.6,3.6,1.9,55.0,70.0,22.0,136.0,13.0,27.0,40.0,13.0,40.0,24.0,13.0,37.0,24.0,37.0,27.0,23.0,11.0,12.0,4.0,7.0,21.0,333.0,14.0,18.0,0.0,18.0,3.0,30.0,7.0,0.0
Hamza Rafia,LT,24.0,28,17,1.204,13.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,16.0,15.0,46.0,37.0,7.0,0.0,7.0,7.0,7.0,6.0,6.0,12.0,6.0,12.0,44.0,31.0,13.0,27.0,4.0,13.0,30.0,433.0,17.0,27.0,1.0,26.0,11.0,55.0,13.0,0.0
Alexis Blin,LT,26.0,31,16,1.642,18.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.7,18.0,7.0,60.0,11.0,0.0,11.0,11.0,0.0,11.0,6.0,4.0,10.0,6.0,10.0,33.0,19.0,11.0,19.0,3.0,15.0,43.0,349.0,28.0,16.0,2.0,14.0,22.0,55.0,39.0,0.0
Mohamed Kaba,LT,21.0,23,15,1.378,15.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.2,1.2,0.9,20.0,14.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,13.0,8.0,13.0,39.0,23.0,15.0,16.0,8.0,17.0,34.0,500.0,17.0,22.0,4.0,18.0,12.0,51.0,13.0,0.0
Joan Gonzàlez,LT,21.0,29,13,1.291,14.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,1.0,22.0,25.0,49.0,41.0,7.0,7.0,14.0,7.0,14.0,8.0,7.0,15.0,8.0,15.0,31.0,18.0,16.0,12.0,3.0,17.0,28.0,607.0,11.0,20.0,3.0,17.0,5.0,36.0,9.0,0.0
Gabriel Strefezza,AT,26.0,19,13,1.112,12.4,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.5,1.7,1.2,28.0,34.0,54.0,81.0,8.0,0.0,8.0,0.0,0.0,20.0,9.0,29.0,14.0,23.0,24.0,17.0,8.0,7.0,9.0,14.0,20.0,700.0,6.0,17.0,0.0,17.0,7.0,31.0,11.0,0.0
Roberto Piccoli,AT,22.0,35,12,1.378,15.3,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,6.4,5.6,0.9,65.0,25.0,19.0,72.0,33.0,0.0,33.0,26.0,26.0,42.0,6.0,48.0,37.0,43.0,10.0,6.0,3.0,5.0,2.0,1.0,4.0,250.0,3.0,17.0,1.0,16.0,4.0,14.0,16.0,0.0
Nicola Sansone,"AT,LT",31.0,25,4,767.0,8.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,1.3,41.0,15.0,36.0,75.0,23.0,23.0,47.0,23.0,47.0,33.0,15.0,48.0,33.0,48.0,11.0,6.0,6.0,2.0,3.0,5.0,16.0,313.0,11.0,7.0,1.0,6.0,4.0,15.0,5.0,2.0
