Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Mike Maignan,G,26.0,32,32,2.88,32.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,4.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0
Rafael Leão,AT,22.0,34,31,2.605,28.9,11.0,10.0,21.0,11.0,0.0,0.0,4.0,0.0,8.8,8.8,6.8,155.0,161.0,101.0,218.0,38.0,35.0,73.0,38.0,73.0,30.0,23.0,54.0,30.0,54.0,17.0,7.0,3.0,9.0,5.0,10.0,20.0,500.0,10.0,12.0,1.0,11.0,12.0,29.0,8.0,0.0
Sandro Tonali,LT,21.0,36,31,2.6,28.9,5.0,2.0,7.0,5.0,0.0,0.0,9.0,0.0,4.1,4.1,4.0,81.0,51.0,141.0,46.0,17.0,7.0,24.0,17.0,24.0,14.0,14.0,28.0,14.0,28.0,54.0,37.0,23.0,25.0,6.0,21.0,41.0,512.0,20.0,26.0,8.0,18.0,34.0,88.0,19.0,0.0
Fikayo Tomori,ZG,23.0,31,30,2.718,30.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.1,12.0,14.0,82.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,73.0,44.0,36.0,34.0,3.0,18.0,26.0,692.0,8.0,37.0,23.0,14.0,45.0,118.0,84.0,1.0
Theo Hernández,ZG,23.0,32,30,2.711,30.1,5.0,5.0,10.0,4.0,1.0,2.0,7.0,2.0,3.7,2.8,5.8,86.0,120.0,116.0,140.0,17.0,17.0,33.0,13.0,30.0,12.0,19.0,32.0,9.0,29.0,53.0,35.0,34.0,14.0,5.0,29.0,40.0,725.0,11.0,16.0,3.0,13.0,23.0,76.0,29.0,3.0
Franck Kessié,LT,24.0,31,25,2.308,25.6,6.0,0.0,6.0,4.0,2.0,3.0,2.0,0.0,4.4,2.0,1.7,37.0,36.0,130.0,61.0,23.0,0.0,23.0,16.0,16.0,17.0,6.0,24.0,8.0,14.0,41.0,23.0,12.0,24.0,5.0,17.0,26.0,654.0,9.0,39.0,10.0,29.0,23.0,64.0,22.0,0.0
Brahim Díaz,LT,21.0,31,25,1.855,20.6,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,4.1,4.1,2.3,64.0,59.0,88.0,104.0,15.0,15.0,29.0,15.0,29.0,20.0,11.0,31.0,20.0,31.0,23.0,17.0,3.0,11.0,9.0,8.0,22.0,364.0,14.0,11.0,0.0,11.0,8.0,31.0,4.0,0.0
Davide Calabria,ZG,24.0,26,24,2.119,23.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,3.8,3.8,1.8,56.0,36.0,113.0,74.0,8.0,8.0,17.0,8.0,17.0,16.0,8.0,24.0,16.0,24.0,62.0,37.0,31.0,23.0,8.0,37.0,72.0,514.0,35.0,25.0,5.0,20.0,23.0,85.0,40.0,1.0
Olivier Giroud,AT,34.0,29,22,1.892,21.0,11.0,3.0,14.0,9.0,2.0,2.0,4.0,0.0,9.8,8.3,2.3,106.0,8.0,23.0,102.0,52.0,14.0,67.0,43.0,57.0,47.0,11.0,58.0,39.0,50.0,15.0,11.0,4.0,6.0,5.0,3.0,17.0,176.0,14.0,13.0,4.0,9.0,3.0,18.0,19.0,0.0
Alexis Saelemaekers,AT,22.0,36,22,1.865,20.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,3.3,61.0,63.0,54.0,161.0,5.0,14.0,19.0,5.0,19.0,14.0,16.0,30.0,14.0,30.0,43.0,22.0,12.0,17.0,14.0,15.0,51.0,294.0,36.0,19.0,0.0,19.0,15.0,58.0,8.0,0.0
Pierre Kalulu,ZG,21.0,28,21,1.944,21.6,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.6,10.0,21.0,78.0,35.0,5.0,9.0,14.0,5.0,14.0,2.0,3.0,5.0,2.0,5.0,61.0,36.0,36.0,21.0,4.0,17.0,22.0,773.0,5.0,36.0,15.0,21.0,26.0,87.0,54.0,0.0
Alessio Romagnoli,ZG,26.0,19,16,1.409,15.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,0.1,7.0,6.0,71.0,3.0,6.0,0.0,6.0,6.0,6.0,4.0,1.0,4.0,4.0,4.0,24.0,14.0,14.0,10.0,0.0,14.0,18.0,778.0,4.0,21.0,12.0,9.0,19.0,43.0,45.0,0.0
