Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Michele Di Gregorio,G,25.0,37,37,3.33,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,4.0,18.0,3.0
Carlos Augusto,ZG,23.0,35,35,3.083,34.3,6.0,5.0,11.0,6.0,0.0,0.0,4.0,0.0,4.4,4.4,3.7,81.0,87.0,101.0,151.0,18.0,15.0,32.0,18.0,32.0,13.0,11.0,24.0,13.0,24.0,73.0,38.0,42.0,23.0,8.0,33.0,54.0,611.0,21.0,24.0,6.0,18.0,24.0,97.0,85.0,1.0
Matteo Pessina,LT,25.0,35,34,2.932,32.6,5.0,3.0,8.0,2.0,3.0,3.0,6.0,0.0,5.1,2.8,2.1,49.0,77.0,193.0,88.0,15.0,9.0,25.0,6.0,15.0,16.0,6.0,22.0,8.0,15.0,57.0,36.0,28.0,21.0,8.0,26.0,62.0,419.0,36.0,50.0,15.0,35.0,37.0,94.0,33.0,1.0
Gianluca Caprari,"LT,AT",29.0,37,32,2.441,27.1,5.0,2.0,7.0,4.0,1.0,1.0,7.0,0.0,5.0,4.2,2.5,67.0,100.0,92.0,188.0,18.0,7.0,26.0,15.0,22.0,18.0,9.0,28.0,15.0,25.0,16.0,6.0,3.0,11.0,2.0,8.0,26.0,308.0,18.0,22.0,1.0,21.0,8.0,24.0,3.0,0.0
Patrick Ciurria,"ZG,LT",27.0,36,31,2.753,30.6,6.0,5.0,11.0,6.0,0.0,0.0,4.0,0.0,4.8,4.8,5.5,102.0,67.0,91.0,168.0,20.0,16.0,36.0,20.0,36.0,16.0,18.0,34.0,16.0,34.0,31.0,18.0,20.0,10.0,1.0,17.0,33.0,515.0,16.0,24.0,2.0,22.0,7.0,38.0,32.0,0.0
Armando Izzo,ZG,30.0,30,29,2.466,27.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.1,2.1,0.9,31.0,22.0,96.0,29.0,4.0,0.0,4.0,4.0,4.0,8.0,3.0,11.0,8.0,11.0,73.0,50.0,44.0,27.0,2.0,29.0,45.0,644.0,16.0,29.0,17.0,12.0,50.0,123.0,87.0,1.0
Pablo Marí,ZG,28.0,30,28,2.487,27.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.3,10.0,6.0,57.0,3.0,4.0,0.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,37.0,19.0,29.0,7.0,1.0,17.0,26.0,654.0,9.0,22.0,14.0,8.0,31.0,68.0,111.0,3.0
Luca Caldirola,ZG,31.0,31,27,2.353,26.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.5,16.0,12.0,63.0,13.0,8.0,0.0,8.0,8.0,8.0,4.0,2.0,6.0,4.0,6.0,26.0,14.0,19.0,4.0,3.0,13.0,26.0,500.0,13.0,32.0,18.0,14.0,25.0,51.0,66.0,1.0
Dany Mota,"AT,LT",24.0,29,21,1.912,21.2,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.1,5.1,2.1,73.0,66.0,34.0,166.0,24.0,5.0,28.0,24.0,28.0,24.0,10.0,34.0,24.0,34.0,8.0,7.0,1.0,3.0,4.0,2.0,10.0,200.0,8.0,5.0,1.0,4.0,6.0,14.0,25.0,0.0
Nicolò Rovella,LT,20.0,25,21,1.74,19.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,2.2,34.0,26.0,99.0,19.0,5.0,10.0,16.0,5.0,16.0,6.0,11.0,18.0,6.0,18.0,45.0,29.0,22.0,21.0,2.0,13.0,36.0,361.0,23.0,20.0,1.0,19.0,40.0,85.0,17.0,0.0
Stefano Sensi,LT,26.0,28,21,1.618,18.0,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.4,1.4,2.1,35.0,27.0,143.0,37.0,17.0,6.0,22.0,17.0,22.0,8.0,12.0,19.0,8.0,19.0,41.0,26.0,25.0,13.0,3.0,18.0,48.0,375.0,30.0,13.0,3.0,10.0,20.0,61.0,4.0,0.0
Andrea Petagna,AT,27.0,31,19,1.663,18.5,4.0,5.0,9.0,3.0,1.0,1.0,2.0,0.0,5.7,4.9,4.4,93.0,23.0,34.0,132.0,22.0,27.0,49.0,16.0,43.0,31.0,24.0,54.0,26.0,50.0,7.0,5.0,2.0,3.0,2.0,3.0,6.0,500.0,3.0,16.0,4.0,12.0,3.0,10.0,18.0,0.0
