Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Franco Vázquez,"LT,AT",33.0,36,36,3.142,34.9,11.0,7.0,18.0,5.0,6.0,7.0,7.0,0.0,12.9,7.5,4.9,124.0,107.0,282.0,273.0,32.0,20.0,52.0,14.0,34.0,37.0,14.0,51.0,21.0,36.0,52.0,31.0,14.0,27.0,11.0,20.0,43.0,465.0,23.0,31.0,5.0,26.0,30.0,82.0,30.0,0.0
Enrico Del Prato,ZG,22.0,34,33,2.936,32.6,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.9,0.9,1.9,27.0,34.0,216.0,90.0,9.0,0.0,9.0,9.0,9.0,3.0,6.0,8.0,3.0,8.0,53.0,32.0,30.0,22.0,1.0,35.0,53.0,660.0,18.0,38.0,18.0,20.0,51.0,104.0,74.0,0.0
Nahuel Estévez,LT,26.0,36,30,2.619,29.1,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,1.6,1.6,2.0,36.0,12.0,144.0,41.0,3.0,7.0,10.0,3.0,10.0,6.0,7.0,12.0,6.0,12.0,28.0,9.0,8.0,15.0,5.0,17.0,43.0,395.0,26.0,30.0,8.0,22.0,34.0,62.0,53.0,0.0
Yordan Osorio,ZG,28.0,28,27,2.351,26.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,3.0,10.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,25.0,13.0,22.0,3.0,0.0,14.0,22.0,636.0,8.0,20.0,14.0,6.0,37.0,62.0,104.0,1.0
Adrian Bernabe,LT,21.0,29,25,2.105,23.4,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,3.1,54.0,53.0,180.0,80.0,4.0,13.0,17.0,4.0,17.0,10.0,13.0,23.0,10.0,23.0,58.0,35.0,11.0,38.0,9.0,23.0,46.0,500.0,23.0,24.0,3.0,21.0,11.0,69.0,15.0,1.0
Lautaro Valenti,ZG,23.0,24,24,2.067,23.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,1.5,1.5,0.8,23.0,23.0,97.0,34.0,4.0,13.0,17.0,4.0,17.0,7.0,3.0,10.0,7.0,10.0,38.0,24.0,21.0,13.0,4.0,20.0,34.0,588.0,14.0,28.0,8.0,20.0,35.0,73.0,77.0,1.0
Stanko Jurić,LT,25.0,30,22,1.824,20.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,1.3,24.0,14.0,82.0,39.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,5.0,12.0,44.0,27.0,12.0,26.0,6.0,21.0,38.0,553.0,17.0,26.0,5.0,21.0,18.0,62.0,32.0,0.0
Dennis Man,"AT,LT",23.0,28,20,1.678,18.6,6.0,2.0,8.0,5.0,1.0,1.0,1.0,0.0,5.4,4.6,3.0,76.0,72.0,116.0,182.0,32.0,11.0,43.0,27.0,38.0,29.0,16.0,45.0,25.0,41.0,15.0,9.0,4.0,9.0,2.0,7.0,25.0,280.0,18.0,8.0,1.0,7.0,5.0,20.0,9.0,0.0
Adrian Benedyczak,"AT,LT",21.0,32,18,1.445,16.1,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,4.1,4.1,1.5,57.0,24.0,45.0,112.0,50.0,6.0,56.0,50.0,56.0,26.0,10.0,35.0,26.0,35.0,9.0,7.0,2.0,5.0,2.0,4.0,8.0,500.0,4.0,11.0,2.0,9.0,2.0,11.0,20.0,0.0
Gianluigi Buffon,G,44.0,17,17,1.529,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
Jayden Oosterwolde,ZG,21.0,18,17,1.524,16.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.6,0.6,0.8,14.0,60.0,90.0,57.0,6.0,0.0,6.0,6.0,6.0,4.0,5.0,8.0,4.0,8.0,44.0,31.0,19.0,17.0,8.0,23.0,28.0,821.0,5.0,16.0,3.0,13.0,24.0,68.0,26.0,0.0
Leandro Chichizola,G,32.0,17,16,1.441,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0
Roberto Inglese,AT,30.0,24,16,1.392,15.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,5.0,4.6,1.0,55.0,17.0,18.0,77.0,26.0,6.0,32.0,26.0,32.0,33.0,6.0,39.0,30.0,36.0,10.0,4.0,3.0,4.0,3.0,4.0,15.0,267.0,11.0,16.0,0.0,16.0,1.0,11.0,4.0,0.0
Simon Sohm,"LT,AT",21.0,27,16,1.368,15.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.4,31.0,33.0,88.0,97.0,0.0,20.0,20.0,0.0,20.0,4.0,16.0,20.0,4.0,20.0,25.0,11.0,8.0,10.0,7.0,12.0,20.0,600.0,8.0,13.0,2.0,11.0,5.0,30.0,8.0,0.0
Cristian Ansaldi,"ZG,AT",35.0,21,13,1.054,11.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,2.4,29.0,26.0,62.0,61.0,9.0,17.0,26.0,9.0,26.0,4.0,20.0,25.0,4.0,25.0,27.0,16.0,11.0,9.0,7.0,15.0,27.0,556.0,12.0,10.0,1.0,9.0,9.0,36.0,16.0,0.0
Luca Zanimacchia,"AT,LT",24.0,16,12,1.05,11.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.9,1.0,29.0,40.0,24.0,134.0,9.0,9.0,17.0,9.0,17.0,17.0,9.0,26.0,17.0,25.0,13.0,10.0,3.0,7.0,3.0,6.0,19.0,316.0,13.0,14.0,1.0,13.0,5.0,18.0,6.0,0.0
Botond Balogh,ZG,20.0,15,10,919.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,3.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,16.0,11.0,15.0,1.0,0.0,8.0,13.0,615.0,5.0,12.0,9.0,3.0,18.0,34.0,47.0,1.0
Alessandro Circati,ZG,18.0,14,10,890.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.1,5.0,3.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,5.0,6.0,5.0,2.0,4.0,0.0,1.0,4.0,250.0,3.0,11.0,7.0,4.0,11.0,17.0,39.0,0.0
Woyo Coulibaly,"ZG,AT",23.0,18,8,833.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.6,16.0,33.0,31.0,44.0,11.0,11.0,22.0,11.0,22.0,11.0,6.0,17.0,11.0,17.0,22.0,9.0,13.0,6.0,3.0,11.0,14.0,786.0,3.0,6.0,1.0,5.0,15.0,37.0,14.0,0.0
Gennaro Tutino,AT,25.0,17,8,718.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.9,1.1,1.4,25.0,31.0,15.0,90.0,25.0,13.0,38.0,13.0,25.0,23.0,18.0,41.0,14.0,31.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,333.0,2.0,12.0,0.0,12.0,2.0,5.0,4.0,0.0
Valentin Mihaila,AT,22.0,15,7,562.0,6.2,2.0,3.0,5.0,2.0,0.0,1.0,2.0,0.0,2.9,2.1,0.5,26.0,15.0,18.0,57.0,32.0,48.0,80.0,32.0,80.0,46.0,8.0,54.0,34.0,42.0,4.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,4.0,7.0,1.0,6.0,1.0,5.0,3.0,0.0
Elias Cobbaut,ZG,24.0,9,6,613.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2,3.0,1.0,18.0,1.0,0.0,15.0,15.0,0.0,15.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,8.0,500.0,4.0,7.0,2.0,5.0,8.0,12.0,24.0,0.0
Simone Romagnoli,ZG,32.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,8.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,14.0,13.0,14.0,9.0,4.0,5.0,4.0,0.0,5.0,5.0,1000.0,0.0,8.0,4.0,4.0,6.0,15.0,16.0,1.0
Drissa Camara,"LT,AT",20.0,22,5,776.0,8.6,4.0,1.0,5.0,4.0,0.0,0.0,5.0,1.0,2.5,2.5,1.8,44.0,29.0,32.0,67.0,46.0,12.0,58.0,46.0,58.0,29.0,21.0,51.0,29.0,51.0,23.0,17.0,8.0,10.0,5.0,7.0,14.0,500.0,7.0,12.0,0.0,12.0,5.0,28.0,7.0,0.0
Edoardo Corvi,G,21.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Ange-Yoan Bonny,"AT,LT",18.0,24,3,684.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.5,25.0,32.0,16.0,85.0,13.0,13.0,26.0,13.0,26.0,13.0,20.0,33.0,13.0,33.0,16.0,11.0,5.0,8.0,3.0,6.0,14.0,429.0,8.0,15.0,0.0,15.0,1.0,17.0,3.0,0.0
Vasilios Zagaritis,"ZG,AT",21.0,13,3,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,7.0,16.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0,2.0,12.0,18.0,11.0,12.0,5.0,1.0,5.0,8.0,625.0,3.0,7.0,0.0,7.0,6.0,24.0,11.0,0.0
Antoine Hainaut,"AT,ZG",20.0,13,3,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.2,4.0,8.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,5.0,10.0,9.0,7.0,5.0,4.0,0.0,5.0,10.0,500.0,5.0,7.0,0.0,7.0,11.0,20.0,11.0,0.0
Gabriel Charpentier,AT,23.0,8,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,8.0,5.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,500.0,1.0,4.0,1.0,3.0,0.0,3.0,0.0,0.0
Dario Sits,"AT,LT",18.0,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Francesco Borriello,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.0,342.0,238.0,255.0,84.0,277.0,525.0,528.0,248.0,393.0,96.0,297.0,351.0,928.0,675.0,7.0
Nathan Buayi Kiala,LT,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.0,433.0,418.0,268.0,67.0,376.0,775.0,485.0,399.0,412.0,141.0,271.0,363.0,1116.0,813.0,3.0
Bartlomiej Maliszewski,G,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Santurro,G,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
