Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Rui Patrício,G,34.0,35,35,3.15,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,3.0
Bryan Cristante,"LT,ZG",27.0,36,34,2.938,32.6,1.0,1.0,2.0,1.0,0.0,1.0,8.0,1.0,2.6,1.9,1.4,33.0,16.0,142.0,27.0,3.0,3.0,6.0,3.0,6.0,8.0,4.0,12.0,6.0,10.0,113.0,62.0,55.0,49.0,9.0,55.0,90.0,611.0,35.0,39.0,10.0,29.0,18.0,131.0,53.0,0.0
Gianluca Mancini,ZG,26.0,35,33,2.858,31.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,2.3,2.3,1.6,39.0,17.0,93.0,19.0,3.0,6.0,9.0,3.0,9.0,7.0,5.0,12.0,7.0,12.0,37.0,19.0,27.0,9.0,1.0,18.0,34.0,529.0,16.0,38.0,17.0,21.0,46.0,83.0,67.0,0.0
Roger Ibanez,ZG,23.0,33,32,2.796,31.1,3.0,0.0,3.0,3.0,0.0,0.0,11.0,1.0,3.0,3.0,0.6,35.0,24.0,77.0,9.0,10.0,0.0,10.0,10.0,10.0,10.0,2.0,11.0,10.0,11.0,67.0,33.0,38.0,26.0,3.0,32.0,48.0,667.0,16.0,30.0,11.0,19.0,66.0,133.0,95.0,2.0
Chris Smalling,ZG,32.0,32,31,2.808,31.2,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.7,1.7,0.4,21.0,5.0,51.0,7.0,10.0,3.0,13.0,10.0,13.0,5.0,1.0,7.0,5.0,7.0,26.0,15.0,16.0,10.0,0.0,13.0,21.0,619.0,8.0,51.0,36.0,15.0,43.0,69.0,123.0,0.0
Lorenzo Pellegrini,LT,26.0,32,29,2.545,28.3,4.0,5.0,9.0,2.0,2.0,3.0,5.0,0.0,8.0,5.7,6.9,125.0,58.0,106.0,113.0,14.0,18.0,32.0,7.0,25.0,28.0,24.0,53.0,20.0,44.0,52.0,29.0,24.0,24.0,4.0,22.0,48.0,458.0,26.0,27.0,4.0,23.0,26.0,78.0,22.0,0.0
Nicola Zalewski,ZG,20.0,33,26,2.197,24.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,1.2,25.0,92.0,85.0,99.0,8.0,4.0,12.0,8.0,12.0,5.0,5.0,10.0,5.0,10.0,45.0,26.0,25.0,15.0,5.0,22.0,71.0,310.0,49.0,27.0,1.0,26.0,31.0,76.0,23.0,0.0
Tammy Abraham,AT,24.0,38,24,2.189,24.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.8,10.8,3.6,145.0,35.0,54.0,141.0,33.0,12.0,45.0,33.0,45.0,45.0,15.0,60.0,45.0,60.0,17.0,10.0,4.0,8.0,5.0,3.0,16.0,188.0,13.0,10.0,4.0,6.0,3.0,20.0,14.0,0.0
Paulo Dybala,"LT,AT",28.0,25,21,1.739,19.3,12.0,6.0,18.0,7.0,5.0,5.0,5.0,0.0,9.3,5.3,6.9,122.0,56.0,75.0,109.0,62.0,31.0,93.0,36.0,67.0,48.0,36.0,83.0,28.0,63.0,14.0,4.0,1.0,8.0,5.0,8.0,26.0,308.0,18.0,12.0,1.0,11.0,8.0,22.0,4.0,0.0
Leonardo Spinazzola,ZG,29.0,26,18,1.654,18.4,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,30.0,107.0,63.0,87.0,5.0,22.0,27.0,5.0,27.0,6.0,11.0,16.0,6.0,16.0,15.0,8.0,7.0,6.0,2.0,8.0,23.0,348.0,15.0,13.0,3.0,10.0,9.0,24.0,25.0,0.0
