Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Lassana Coulibaly,LT,26.0,35,34,2.892,32.1,3.0,3.0,6.0,3.0,0.0,0.0,12.0,0.0,0.8,0.8,1.8,26.0,52.0,120.0,59.0,9.0,9.0,19.0,9.0,19.0,3.0,6.0,8.0,3.0,8.0,84.0,50.0,42.0,35.0,7.0,30.0,73.0,411.0,43.0,35.0,7.0,28.0,25.0,109.0,33.0,2.0
Antonio Candreva,"LT,ZG",35.0,35,32,2.726,30.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,1.0,3.7,3.7,4.7,83.0,71.0,135.0,171.0,23.0,13.0,36.0,23.0,36.0,12.0,15.0,27.0,12.0,27.0,17.0,7.0,13.0,2.0,2.0,11.0,38.0,289.0,27.0,7.0,3.0,4.0,17.0,34.0,32.0,0.0
Boulaye Dia,"AT,LT",25.0,33,27,2.518,28.0,16.0,6.0,22.0,15.0,1.0,1.0,4.0,0.0,8.8,8.0,3.1,111.0,48.0,50.0,140.0,57.0,21.0,79.0,54.0,75.0,31.0,11.0,43.0,29.0,40.0,12.0,5.0,3.0,6.0,3.0,2.0,7.0,286.0,5.0,10.0,0.0,10.0,7.0,19.0,27.0,1.0
Tonny Vilhena,LT,27.0,33,27,2.265,25.2,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,1.7,41.0,30.0,80.0,59.0,16.0,4.0,20.0,16.0,20.0,10.0,7.0,16.0,10.0,16.0,44.0,22.0,16.0,23.0,5.0,20.0,50.0,400.0,30.0,17.0,7.0,10.0,18.0,62.0,21.0,0.0
Domagoj Bradarić,ZG,22.0,31,24,2.25,25.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,2.3,25.0,63.0,52.0,107.0,0.0,12.0,12.0,0.0,12.0,1.0,9.0,10.0,1.0,10.0,26.0,19.0,14.0,8.0,4.0,7.0,16.0,438.0,9.0,20.0,5.0,15.0,21.0,47.0,44.0,0.0
Flavius Daniliuc,ZG,21.0,27,23,2.195,24.4,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.5,12.0,14.0,70.0,5.0,0.0,8.0,8.0,0.0,8.0,3.0,2.0,5.0,3.0,5.0,57.0,29.0,37.0,17.0,3.0,26.0,47.0,553.0,21.0,30.0,13.0,17.0,29.0,86.0,76.0,0.0
Krzysztof Piątek,AT,27.0,33,23,2.14,23.8,4.0,5.0,9.0,3.0,1.0,1.0,5.0,0.0,8.3,7.6,2.1,97.0,27.0,33.0,121.0,17.0,21.0,38.0,13.0,34.0,35.0,9.0,44.0,32.0,41.0,18.0,11.0,3.0,9.0,6.0,5.0,21.0,238.0,16.0,17.0,4.0,13.0,2.0,20.0,39.0,0.0
Pasquale Mazzocchi,ZG,27.0,27,23,1.958,21.8,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,2.6,39.0,70.0,60.0,102.0,9.0,14.0,23.0,9.0,23.0,6.0,12.0,18.0,6.0,18.0,32.0,18.0,21.0,5.0,6.0,17.0,37.0,459.0,20.0,10.0,2.0,8.0,10.0,42.0,37.0,2.0
Lorenzo Pirola,ZG,20.0,26,23,1.941,21.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,0.4,19.0,13.0,43.0,4.0,9.0,0.0,9.0,9.0,9.0,7.0,2.0,9.0,7.0,9.0,33.0,29.0,18.0,14.0,1.0,19.0,27.0,704.0,8.0,50.0,35.0,15.0,30.0,63.0,85.0,1.0
Norbert Gyömbér,ZG,30.0,27,23,1.74,19.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,14.0,5.0,45.0,2.0,0.0,5.0,5.0,0.0,5.0,4.0,3.0,7.0,4.0,7.0,32.0,23.0,25.0,6.0,1.0,16.0,24.0,667.0,8.0,33.0,22.0,11.0,35.0,67.0,92.0,0.0
Guillermo Ochoa,G,37.0,20,20,1.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
Dylan Bronn,ZG,27.0,24,19,1.683,18.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.4,10.0,10.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,5.0,34.0,18.0,17.0,16.0,1.0,20.0,30.0,667.0,10.0,32.0,20.0,12.0,20.0,54.0,58.0,1.0
Luigi Sepe,G,31.0,17,17,1.53,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grigoris Kastanos,"LT,ZG",24.0,28,13,1.286,14.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,0.6,25.0,27.0,57.0,59.0,14.0,7.0,21.0,14.0,21.0,13.0,5.0,18.0,13.0,18.0,39.0,23.0,18.0,19.0,2.0,16.0,40.0,400.0,24.0,20.0,6.0,14.0,8.0,47.0,8.0,0.0
Federico Bonazzoli,"AT,LT",25.0,24,12,1.119,12.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.4,2.4,1.1,35.0,11.0,43.0,67.0,16.0,8.0,24.0,16.0,24.0,19.0,9.0,28.0,19.0,28.0,5.0,3.0,0.0,3.0,2.0,0.0,9.0,0.0,9.0,9.0,1.0,8.0,3.0,8.0,0.0,0.0
Federico Fazio,ZG,35.0,14,12,1.074,11.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.7,0.7,0.1,8.0,13.0,40.0,4.0,8.0,0.0,8.0,8.0,8.0,6.0,1.0,7.0,6.0,7.0,15.0,12.0,8.0,7.0,0.0,4.0,11.0,364.0,7.0,9.0,4.0,5.0,28.0,43.0,61.0,0.0
Giulio Maggiore,LT,24.0,16,11,894.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,9.0,7.0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,5.0,10.0,20.0,8.0,11.0,6.0,3.0,10.0,21.0,476.0,11.0,19.0,4.0,15.0,8.0,28.0,10.0,0.0
Erik Botheim,"LT,AT",22.0,28,9,866.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.8,23.0,11.0,21.0,61.0,10.0,31.0,42.0,10.0,42.0,6.0,18.0,24.0,6.0,24.0,11.0,7.0,3.0,4.0,4.0,6.0,13.0,462.0,7.0,3.0,0.0,3.0,0.0,11.0,4.0,0.0
Emil Bohinen,LT,23.0,24,9,832.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,8.0,12.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,2.0,9.0,25.0,13.0,15.0,8.0,2.0,12.0,23.0,522.0,11.0,25.0,7.0,18.0,17.0,42.0,21.0,0.0
Matteo Lovato,ZG,22.0,17,8,814.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,14.0,3.0,0.0,10.0,25.0,400.0,15.0,8.0,5.0,3.0,13.0,30.0,33.0,2.0
Junior Sambia,ZG,25.0,22,7,697.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.6,22.0,23.0,27.0,38.0,0.0,13.0,13.0,0.0,13.0,8.0,21.0,29.0,8.0,29.0,12.0,5.0,7.0,4.0,1.0,6.0,10.0,600.0,4.0,9.0,3.0,6.0,8.0,20.0,16.0,1.0
Ivan Radovanović,"LT,ZG",33.0,10,7,671.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,2.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,12.0,4.0,8.0,4.0,0.0,4.0,10.0,400.0,6.0,9.0,3.0,6.0,7.0,19.0,9.0,1.0
Hans Nicolussi Caviglia,LT,22.0,12,6,586.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,5.0,4.0,19.0,2.0,15.0,0.0,15.0,15.0,15.0,7.0,1.0,7.0,7.0,7.0,15.0,6.0,5.0,8.0,2.0,9.0,15.0,600.0,6.0,9.0,0.0,9.0,7.0,22.0,7.0,1.0
William Troost-Ekong,ZG,28.0,9,4,444.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,7.0,1.0,6.0,0.0,20.0,0.0,20.0,20.0,20.0,14.0,0.0,14.0,14.0,14.0,11.0,3.0,7.0,4.0,0.0,6.0,7.0,857.0,1.0,7.0,4.0,3.0,6.0,17.0,10.0,0.0
Domen Črnigoj,LT,26.0,7,4,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,5.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,16.0,3.0,16.0,8.0,3.0,0.0,7.0,1.0,1.0,2.0,500.0,1.0,9.0,1.0,8.0,9.0,17.0,6.0,0.0
Vincenzo Fiorillo,G,32.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Valencia,"LT,AT",22.0,12,0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,2.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,5.0,9.0,8.0,5.0,4.0,2.0,2.0,2.0,9.0,222.0,7.0,10.0,1.0,9.0,1.0,9.0,2.0,0.0
Franck Ribéry,LT,39.0,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Julian Kristoffersen,AT,25.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Antonio Iervolino,LT,19.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasquale Allocca,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.0,337.0,309.0,220.0,58.0,259.0,569.0,455.0,310.0,409.0,157.0,252.0,329.0,916.0,740.0,13.0
Reda Boultam,LT,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.0,331.0,225.0,257.0,82.0,261.0,525.0,497.0,264.0,372.0,96.0,276.0,299.0,863.0,564.0,8.0
Leonardo Capezzi,LT,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo De Matteis,G,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paweł Jaroszyński,"ZG,LT",27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wajdi Kechrida,ZG,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Micai,G,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Motoc,LT,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Sfait,LT,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Sorrentino,G,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Veseli,ZG,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
