Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Andrea Consigli,G,35.0,35,35,3.15,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,3.0
Davide Frattesi,LT,22.0,36,35,2.873,31.9,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,7.8,7.8,1.9,97.0,73.0,137.0,94.0,22.0,0.0,22.0,22.0,22.0,24.0,6.0,30.0,24.0,30.0,63.0,36.0,24.0,29.0,10.0,25.0,44.0,568.0,19.0,27.0,6.0,21.0,16.0,79.0,42.0,0.0
Rogério,ZG,24.0,36,34,2.996,33.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,2.7,33.0,110.0,185.0,115.0,0.0,9.0,9.0,0.0,9.0,2.0,8.0,10.0,2.0,10.0,37.0,21.0,22.0,8.0,7.0,17.0,35.0,486.0,18.0,32.0,9.0,23.0,37.0,74.0,70.0,0.0
Jeremy Toljan,ZG,27.0,31,29,2.672,29.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.4,30.0,56.0,142.0,99.0,0.0,3.0,3.0,0.0,3.0,2.0,8.0,10.0,2.0,10.0,36.0,23.0,17.0,14.0,5.0,22.0,33.0,667.0,11.0,31.0,14.0,17.0,18.0,54.0,60.0,1.0
Armand Lauriente,AT,23.0,28,27,2.175,24.2,7.0,6.0,13.0,6.0,1.0,1.0,10.0,1.0,4.7,3.9,6.2,101.0,127.0,90.0,263.0,29.0,25.0,54.0,25.0,50.0,19.0,26.0,45.0,16.0,42.0,21.0,15.0,5.0,7.0,9.0,8.0,21.0,381.0,13.0,20.0,0.0,20.0,12.0,33.0,8.0,0.0
Martin Erlic,ZG,24.0,28,26,2.33,25.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,7.0,7.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,27.0,16.0,18.0,8.0,1.0,10.0,23.0,435.0,13.0,36.0,23.0,13.0,31.0,58.0,120.0,1.0
Maxime Lopez,LT,24.0,30,25,2.296,25.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,2.1,31.0,54.0,210.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,4.0,12.0,42.0,18.0,26.0,12.0,4.0,16.0,56.0,286.0,40.0,24.0,6.0,18.0,22.0,64.0,21.0,0.0
Andrea Pinamonti,AT,23.0,32,25,2.161,24.0,5.0,0.0,5.0,4.0,1.0,1.0,3.0,1.0,7.1,6.3,1.5,78.0,17.0,29.0,166.0,21.0,0.0,21.0,17.0,17.0,30.0,6.0,36.0,26.0,32.0,10.0,7.0,0.0,5.0,5.0,3.0,7.0,429.0,4.0,19.0,2.0,17.0,2.0,12.0,11.0,0.0
Gian Marco Ferrari,ZG,30.0,33,24,2.223,24.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.4,16.0,11.0,101.0,4.0,4.0,0.0,4.0,4.0,4.0,5.0,2.0,7.0,5.0,7.0,23.0,16.0,11.0,10.0,2.0,10.0,17.0,588.0,7.0,29.0,20.0,9.0,23.0,46.0,81.0,4.0
Domenico Berardi,AT,27.0,26,22,1.866,20.7,12.0,7.0,19.0,5.0,7.0,8.0,7.0,0.0,11.4,5.1,6.6,117.0,57.0,114.0,213.0,58.0,34.0,92.0,24.0,58.0,55.0,32.0,87.0,24.0,56.0,23.0,14.0,8.0,10.0,5.0,9.0,40.0,225.0,31.0,13.0,0.0,13.0,19.0,42.0,18.0,0.0
Matheus Henrique,LT,24.0,30,21,1.947,21.6,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.9,2.9,1.8,46.0,40.0,116.0,68.0,18.0,5.0,23.0,18.0,23.0,13.0,8.0,21.0,13.0,21.0,26.0,12.0,9.0,11.0,6.0,12.0,24.0,500.0,12.0,15.0,4.0,11.0,12.0,38.0,10.0,0.0
Ruan,ZG,23.0,23,21,1.711,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.5,0.5,0.0,5.0,6.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,38.0,26.0,25.0,12.0,1.0,19.0,29.0,655.0,10.0,29.0,17.0,12.0,24.0,62.0,80.0,3.0
