Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Emmanuel Gyasi,AT,26.0,37,32,2.851,31.7,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,5.1,5.1,4.1,92.0,70.0,69.0,250.0,13.0,19.0,32.0,13.0,32.0,16.0,13.0,29.0,16.0,29.0,30.0,16.0,16.0,10.0,4.0,9.0,31.0,290.0,22.0,13.0,2.0,11.0,14.0,44.0,8.0,0.0
Ivan Provedel,G,26.0,29,29,2.61,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,333.0,4.0,0.0,0.0,0.0,2.0,4.0,20.0,1.0
Matteo Ricci,LT,26.0,29,26,2.229,24.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.6,26.0,26.0,185.0,21.0,0.0,8.0,8.0,0.0,8.0,4.0,6.0,10.0,4.0,10.0,40.0,23.0,14.0,24.0,2.0,27.0,52.0,519.0,25.0,24.0,4.0,20.0,34.0,74.0,13.0,0.0
Giulio Maggiore,LT,22.0,33,26,2.214,24.6,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,4.7,4.7,1.9,66.0,38.0,77.0,94.0,12.0,4.0,16.0,12.0,16.0,19.0,8.0,27.0,19.0,27.0,61.0,36.0,26.0,28.0,7.0,21.0,53.0,396.0,32.0,33.0,6.0,27.0,19.0,80.0,25.0,1.0
Claudio Terzi,ZG,36.0,25,22,1.869,20.8,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.4,0.4,0.5,9.0,20.0,83.0,1.0,5.0,5.0,10.0,5.0,10.0,2.0,2.0,4.0,2.0,4.0,34.0,21.0,19.0,14.0,1.0,19.0,28.0,679.0,9.0,23.0,12.0,11.0,35.0,69.0,55.0,1.0
M'Bala Nzola,AT,23.0,25,21,1.896,21.1,11.0,3.0,14.0,7.0,4.0,4.0,5.0,0.0,9.3,6.2,2.1,83.0,26.0,25.0,119.0,52.0,14.0,66.0,33.0,47.0,44.0,10.0,54.0,29.0,39.0,12.0,5.0,2.0,6.0,4.0,4.0,7.0,571.0,3.0,15.0,1.0,14.0,3.0,15.0,20.0,0.0
Martin Erlic,ZG,22.0,27,19,1.798,20.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2,14.0,15.0,58.0,2.0,15.0,5.0,20.0,15.0,20.0,6.0,1.0,7.0,6.0,7.0,23.0,14.0,16.0,6.0,1.0,11.0,20.0,550.0,9.0,22.0,16.0,6.0,41.0,64.0,71.0,2.0
Nahuel Estévez,LT,24.0,27,19,1.768,19.6,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.9,1.9,2.8,47.0,32.0,101.0,80.0,0.0,15.0,15.0,0.0,15.0,9.0,14.0,24.0,9.0,24.0,13.0,5.0,4.0,6.0,3.0,5.0,32.0,156.0,27.0,23.0,5.0,18.0,20.0,33.0,22.0,1.0
Julian Chabot,ZG,22.0,25,19,1.655,18.4,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,0.7,0.7,0.5,13.0,11.0,57.0,4.0,5.0,5.0,11.0,5.0,11.0,4.0,3.0,7.0,4.0,7.0,48.0,34.0,28.0,16.0,4.0,23.0,37.0,622.0,14.0,25.0,13.0,12.0,37.0,85.0,43.0,1.0
Luca Vignali,ZG,24.0,21,19,1.59,17.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.7,8.0,30.0,69.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,4.0,19.0,9.0,10.0,6.0,3.0,7.0,25.0,280.0,18.0,13.0,5.0,8.0,22.0,41.0,25.0,0.0
