Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Pietro Ceccaroni,ZG,25.0,35,35,3.122,34.7,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,2.3,2.3,0.8,31.0,37.0,87.0,12.0,6.0,3.0,9.0,6.0,9.0,7.0,2.0,9.0,7.0,9.0,55.0,31.0,33.0,18.0,4.0,25.0,36.0,694.0,11.0,45.0,32.0,13.0,30.0,85.0,143.0,0.0
Mattia Caldara,ZG,27.0,31,30,2.704,30.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,0.1,19.0,15.0,63.0,5.0,3.0,0.0,3.0,3.0,3.0,6.0,0.0,6.0,6.0,6.0,48.0,28.0,30.0,15.0,3.0,20.0,34.0,588.0,14.0,49.0,37.0,12.0,62.0,110.0,147.0,1.0
Ethan Ampadu,"LT,ZG",20.0,29,26,2.282,25.4,0.0,3.0,3.0,0.0,0.0,0.0,13.0,2.0,0.3,0.3,1.6,19.0,26.0,112.0,23.0,0.0,12.0,12.0,0.0,12.0,1.0,6.0,8.0,1.0,8.0,67.0,43.0,37.0,27.0,3.0,24.0,58.0,414.0,34.0,49.0,19.0,30.0,51.0,118.0,76.0,0.0
Mattia Aramu,"LT,AT",26.0,32,25,2.1,23.3,7.0,5.0,12.0,4.0,3.0,4.0,6.0,0.0,6.8,3.6,4.5,81.0,39.0,79.0,117.0,30.0,21.0,51.0,17.0,39.0,29.0,19.0,48.0,16.0,35.0,20.0,15.0,5.0,9.0,6.0,8.0,33.0,242.0,25.0,20.0,2.0,18.0,8.0,28.0,19.0,0.0
Ridgeciano Haps,ZG,28.0,25,24,2.056,22.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,0.6,10.0,30.0,59.0,69.0,4.0,4.0,9.0,4.0,9.0,2.0,3.0,4.0,2.0,4.0,36.0,20.0,26.0,4.0,6.0,11.0,21.0,524.0,10.0,34.0,12.0,22.0,29.0,65.0,57.0,1.0
David Okereke,"AT,LT",23.0,32,24,2.053,22.8,7.0,0.0,7.0,7.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,60.0,60.0,43.0,137.0,31.0,0.0,31.0,31.0,31.0,22.0,5.0,26.0,22.0,26.0,16.0,10.0,4.0,9.0,3.0,3.0,20.0,150.0,17.0,19.0,3.0,16.0,10.0,26.0,20.0,0.0
Thomas Henry,AT,26.0,33,23,2.115,23.5,9.0,2.0,11.0,9.0,0.0,0.0,6.0,1.0,6.8,6.8,3.8,106.0,20.0,31.0,99.0,38.0,9.0,47.0,38.0,47.0,29.0,16.0,45.0,29.0,45.0,9.0,4.0,2.0,3.0,4.0,5.0,13.0,385.0,8.0,11.0,5.0,6.0,2.0,11.0,25.0,0.0
Gianluca Busio,LT,19.0,29,23,1.95,21.7,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,1.4,24.0,26.0,79.0,44.0,5.0,5.0,9.0,5.0,9.0,4.0,7.0,11.0,4.0,11.0,53.0,28.0,27.0,20.0,6.0,28.0,63.0,444.0,35.0,45.0,13.0,32.0,21.0,74.0,30.0,1.0
Domen Črnigoj,LT,25.0,34,22,1.881,20.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,0.8,30.0,34.0,69.0,66.0,14.0,5.0,19.0,14.0,19.0,11.0,4.0,15.0,11.0,15.0,21.0,13.0,7.0,11.0,3.0,11.0,29.0,379.0,18.0,27.0,8.0,19.0,24.0,45.0,42.0,0.0
Dennis Johnsen,"AT,LT",23.0,26,17,1.445,16.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,2.8,51.0,36.0,31.0,140.0,6.0,12.0,19.0,6.0,19.0,14.0,17.0,31.0,14.0,31.0,14.0,10.0,8.0,4.0,2.0,6.0,18.0,333.0,12.0,14.0,1.0,13.0,5.0,19.0,3.0,0.0
Niki Mäenpää,G,36.0,17,16,1.485,16.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
Sergio Romero,G,34.0,16,16,1.44,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0
Pasquale Mazzocchi,ZG,26.0,18,15,1.243,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,8.0,44.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,6.0,18.0,8.0,11.0,4.0,3.0,10.0,26.0,385.0,16.0,11.0,8.0,3.0,21.0,39.0,31.0,1.0
Antonio Vacca,LT,31.0,21,15,1.064,11.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,3.0,9.0,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,36.0,20.0,24.0,10.0,2.0,14.0,36.0,389.0,22.0,16.0,8.0,8.0,20.0,56.0,16.0,0.0
Sofian Kiyine,"LT,AT",23.0,26,14,1.239,13.8,1.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.5,0.6,2.0,26.0,48.0,62.0,44.0,7.0,0.0,7.0,7.0,7.0,11.0,15.0,26.0,4.0,19.0,24.0,14.0,9.0,11.0,4.0,12.0,32.0,375.0,20.0,15.0,1.0,14.0,10.0,34.0,9.0,0.0
Michael Svoboda,ZG,22.0,18,13,1.236,13.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.1,1.1,0.0,11.0,11.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,33.0,17.0,26.0,6.0,1.0,18.0,32.0,563.0,14.0,27.0,15.0,12.0,10.0,43.0,61.0,5.0
Mickaël Cuisance,LT,21.0,13,13,918.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.3,19.0,10.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,18.0,6.0,18.0,23.0,9.0,7.0,12.0,4.0,10.0,28.0,357.0,18.0,14.0,0.0,14.0,12.0,35.0,5.0,0.0
Tyronne Ebuehi,ZG,25.0,19,12,1.138,12.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.4,10.0,29.0,29.0,52.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,5.0,8.0,28.0,12.0,16.0,8.0,4.0,10.0,18.0,556.0,8.0,13.0,3.0,10.0,16.0,44.0,38.0,1.0
Aleš Matějů,ZG,25.0,9,9,727.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,14.0,9.0,20.0,37.0,0.0,12.0,12.0,0.0,12.0,3.0,14.0,17.0,3.0,17.0,16.0,12.0,10.0,5.0,1.0,13.0,29.0,448.0,16.0,10.0,6.0,4.0,9.0,25.0,15.0,0.0
Tanner Tessmann,LT,19.0,20,6,680.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.1,8.0,12.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,10.0,9.0,10.0,11.0,5.0,4.0,6.0,1.0,5.0,14.0,357.0,9.0,19.0,9.0,10.0,5.0,16.0,22.0,0.0
Cristian Molinaro,ZG,38.0,8,6,548.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,13.0,34.0,16.0,0.0,16.0,16.0,0.0,16.0,0.0,8.0,8.0,0.0,8.0,12.0,9.0,10.0,2.0,0.0,5.0,7.0,714.0,2.0,7.0,2.0,5.0,6.0,18.0,20.0,0.0
Luca Lezzerini,G,26.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Luca Fiordilino,LT,25.0,15,5,661.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,6.0,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,3.0,9.0,21.0,13.0,11.0,6.0,4.0,13.0,27.0,481.0,14.0,14.0,4.0,10.0,11.0,32.0,12.0,0.0
Dor Peretz,LT,26.0,18,4,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,9.0,3.0,18.0,7.0,0.0,15.0,15.0,0.0,15.0,13.0,2.0,15.0,13.0,15.0,27.0,18.0,8.0,16.0,3.0,13.0,25.0,520.0,12.0,8.0,4.0,4.0,8.0,35.0,11.0,0.0
Francesco Forte,AT,28.0,12,4,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.6,16.0,3.0,7.0,16.0,21.0,0.0,21.0,21.0,21.0,23.0,14.0,37.0,23.0,37.0,3.0,2.0,0.0,2.0,1.0,2.0,5.0,400.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0
Marco Modolo,ZG,32.0,6,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,6.0,3.0,4.0,2.0,0.0,2.0,5.0,400.0,3.0,6.0,6.0,0.0,4.0,10.0,26.0,0.0
