Jogador,Marten de Roon,Remo Freuler,Robin Gosens,Cristian Romero,Rafael Tolói,Duván Zapata,Berat Djimsiti,José Luis Palomino,Pierluigi Gollini,Ruslan Malinovskyi,Matteo Pessina,Hans Hateboer,Josip Iličić,Luis Muriel,Marco Sportiello,Joakim Mæhle,Mario Pašalić,Papu Gómez,Aleksei Miranchuk,Johan Mojica,Bosko Sutalo,Matteo Ruggeri,Fabio Depaoli,Sam Lammers,Mattia Caldara,Cristiano Piccini,Amad Diallo,Davide Angelo Ghislandi,Viktor Kovalenko,Manu Gyabuaa,Marco Carnesecchi,Jacopo Da Riva,Ludovico Gelmi,Simone Panada,Boris Radunović,Francesco Rossi,Giorgio Scalvini
Pos.,LT,LT,ZG,ZG,ZG,AT,ZG,ZG,G,"LT,AT",LT,ZG,"LT,AT",AT,G,ZG,LT,"LT,AT","LT,AT",ZG,ZG,ZG,ZG,"AT,LT",ZG,ZG,LT,ZG,AT,LT,G,LT,G,LT,G,G,ZG
Idade,29.0,28.0,26.0,22.0,29.0,29.0,27.0,30.0,25.0,27.0,23.0,26.0,32.0,29.0,28.0,23.0,25.0,32.0,24.0,27.0,20.0,18.0,23.0,23.0,26.0,27.0,18.0,19.0,24.0,18.0,20.0,19.0,19.0,18.0,24.0,29.0,16.0
MP,35,34,32,31,31,37,33,36,25,36,28,22,28,36,15,20,25,10,25,11,7,6,5,15,6,1,1,1,1,1,0,0,0,0,0,0,0
Inícios,33,32,30,29,29,29,28,25,25,22,21,20,17,16,13,12,10,9,4,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.021,2.712,2.523,2.545,2.537,2.379,2.625,2.428,2.156,1.876,1.645,1.762,1.526,1.436,1.261,1.216,1.122,666.0,675.0,299.0,233.0,208.0,191.0,291.0,111.0,59.0,14.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.6,30.1,28.0,28.3,28.2,26.4,29.2,27.0,24.0,20.8,18.3,19.6,17.0,16.0,14.0,13.5,12.5,7.4,7.5,3.3,2.6,2.3,2.1,3.2,1.2,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,2.0,11.0,2.0,2.0,15.0,0.0,1.0,0.0,8.0,2.0,2.0,6.0,22.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,3.0,6.0,2.0,0.0,9.0,3.0,2.0,0.0,12.0,2.0,1.0,9.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,5.0,17.0,4.0,2.0,24.0,3.0,3.0,0.0,20.0,4.0,3.0,15.0,29.0,0.0,2.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,2.0,11.0,2.0,2.0,14.0,0.0,1.0,0.0,7.0,2.0,2.0,4.0,20.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
