Jogador,Juan Musso,José Luis Palomino,Davide Zappacosta,Marten de Roon,Remo Freuler,Berat Djimsiti,Mario Pašalić,Teun Koopmeiners,Merih Demiral,Duván Zapata,Ruslan Malinovskyi,Matteo Pessina,Luis Muriel,Rafael Tolói,Hans Hateboer,Joakim Mæhle,Giuseppe Pezzella,Giorgio Scalvini,Josip Iličić,Aleksei Miranchuk,Jeremie Boga,Robin Gosens,Marco Sportiello,Matteo Lovato,Roberto Piccoli,Valentin Mihaila,Moustapha Cissé,Sam Lammers,Francesco Rossi,Tommaso De Nipoti,Alassane Sidibe,Giorgio Cittadini,Tommaso Bertini,Jacopo Da Riva,Matevz Dajcar,Enrico Del Prato,Samuel Giovane,Andrea Oliveri,Simone Panada,Guillaume Philippe Renault,Jacopo Sassi,Bosko Sutalo,Federico Zuccon
Pos.,G,ZG,ZG,"LT,ZG",LT,ZG,"LT,AT",LT,ZG,AT,"LT,AT","LT,AT","AT,LT",ZG,"ZG,LT","ZG,LT","ZG,LT","ZG,LT","LT,AT","LT,AT","AT,LT",ZG,G,ZG,AT,"LT,AT",AT,"AT,LT",G,AT,LT,ZG,G,LT,G,"ZG,LT",LT,LT,LT,LT,G,ZG,AT
Idade,27.0,31.0,29.0,30.0,29.0,28.0,26.0,23.0,23.0,30.0,28.0,24.0,30.0,30.0,27.0,24.0,23.0,17.0,33.0,25.0,24.0,27.0,29.0,21.0,20.0,21.0,17.0,24.0,30.0,18.0,19.0,19.0,17.0,20.0,19.0,21.0,18.0,18.0,19.0,19.0,18.0,21.0,18.0
MP,33,34,34,30,29,31,37,30,28,24,30,27,27,20,21,26,21,18,20,19,15,6,5,6,12,5,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Inícios,33,30,29,28,28,25,24,23,22,20,19,18,17,16,16,15,10,9,8,7,7,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.932,2.672,2.345,2.548,2.369,2.256,2.002,2.126,1.917,1.722,1.592,1.438,1.539,1.438,1.386,1.471,1.072,763.0,841.0,772.0,764.0,460.0,450.0,305.0,196.0,76.0,38.0,38.0,37.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.6,29.7,26.1,28.3,26.3,25.1,22.2,23.6,21.3,19.1,17.7,16.0,17.1,16.0,15.4,16.3,11.9,8.5,9.3,8.6,8.5,5.1,5.0,3.4,2.2,0.8,0.4,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,1.0,3.0,1.0,1.0,13.0,4.0,1.0,10.0,6.0,1.0,9.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,5.0,0.0,3.0,1.0,6.0,1.0,2.0,4.0,5.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,6.0,3.0,4.0,2.0,19.0,5.0,3.0,14.0,11.0,2.0,17.0,2.0,0.0,2.0,2.0,1.0,6.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,1.0,3.0,1.0,1.0,13.0,4.0,1.0,7.0,6.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,9.0,6.0,7.0,10.0,6.0,3.0,4.0,8.0,3.0,10.0,0.0,1.0,6.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,2.1,2.1,2.0,1.4,1.9,8.7,1.7,2.4,13.5,3.3,2.4,7.1,1.1,1.4,2.0,0.6,1.3,3.1,1.4,1.0,1.7,0.0,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,2.1,2.1,2.0,1.4,1.9,8.7,1.7,2.4,11.2,3.3,2.4,5.6,1.1,1.4,2.0,0.6,1.3,2.4,1.4,1.0,1.7,0.0,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,0.4,4.0,0.3,1.3,1.6,5.7,5.3,0.7,4.4,5.9,1.4,6.0,0.5,0.8,1.0,0.9,0.9,3.3,2.7,1.1,0.4,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,24.0,61.0,23.0,28.0,35.0,144.0,69.0,31.0,156.0,92.0,38.0,116.0,16.0,23.0,31.0,15.0,22.0,57.0,41.0,22.0,20.0,0.0,2.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,15.0,94.0,19.0,52.0,19.0,38.0,38.0,3.0,66.0,59.0,40.0,57.0,12.0,37.0,48.0,35.0,9.0,43.0,31.0,64.0,8.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,113.0,99.0,176.0,208.0,100.0,105.0,162.0,25.0,47.0,111.0,87.0,86.0,90.0,73.0,75.0,46.0,53.0,70.0,34.0,53.0,28.0,0.0,10.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,8.0,178.0,30.0,59.0,31.0,142.0,81.0,7.0,213.0,141.0,102.0,214.0,14.0,121.0,109.0,80.0,15.0,98.0,65.0,77.0,24.0,0.0,4.0,15.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,4.0,11.0,4.0,4.0,58.0,17.0,5.0,52.0,34.0,6.0,53.0,6.0,0.0,6.0,0.0,12.0,32.0,23.0,0.0,20.0,0.0,0.0,46.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,19.0,0.0,11.0,4.0,27.0,4.0,9.0,21.0,28.0,6.0,47.0,6.0,0.0,6.0,17.0,0.0,32.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,3.0,23.0,11.0,15.0,8.0,85.0,21.0,14.0,73.0,62.0,13.0,99.0,13.0,0.0,12.0,17.0,12.0,64.0,82.0,0.0,20.0,0.0,0.0,46.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,4.0,11.0,4.0,4.0,58.0,17.0,5.0,37.0,34.0,6.0,41.0,6.0,0.0,6.0,0.0,12.0,32.0,23.0,0.0,20.0,0.0,0.0,46.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,3.0,23.0,11.0,15.0,8.0,85.0,21.0,14.0,57.0,62.0,13.0,88.0,13.0,0.0,12.0,17.0,12.0,64.0,82.0,0.0,20.0,0.0,0.0,46.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,7.0,8.0,7.0,5.0,7.0,39.0,7.0,11.0,71.0,19.0,15.0,42.0,7.0,9.0,13.0,5.0,16.0,34.0,16.0,12.0,33.0,0.0,1.0,39.0,4.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
