Jogador,Marten de Roon,Teun Koopmeiners,Rafael Tolói,Giorgio Scalvini,Éderson,Joakim Mæhle,Juan Musso,Mario Pašalić,Rasmus Højlund,Berat Djimsiti,Ademola Lookman,Davide Zappacosta,Hans Hateboer,Duván Zapata,Merih Demiral,Marco Sportiello,Luis Muriel,Caleb Okoli,Matteo Ruggeri,José Luis Palomino,Brandon Soppy,Jeremie Boga,Ruslan Malinovskyi,Nadir Zortea,Lukáš Vorlický,Tommaso De Nipoti,Francesco Rossi,Lorenzo Bernasconi,Tommaso Bertini,Mannah Chiwisa,Matteo Colombo,Tommaso Del Lungo,Alessandro Falleni,Leonardo Mendicino,Endri Muhameti,Marco Palestra,Iacopo Regonesi
Pos.,LT,LT,ZG,ZG,LT,"ZG,LT",G,"LT,AT",AT,ZG,"AT,LT",ZG,ZG,AT,ZG,G,"AT,LT",ZG,"ZG,LT",ZG,ZG,"LT,AT","LT,AT","ZG,LT","LT,AT",LT,G,ZG,G,LT,LT,ZG,AT,LT,LT,ZG,ZG
Idade,31.0,24.0,31.0,18.0,23.0,25.0,28.0,27.0,19.0,29.0,24.0,30.0,28.0,31.0,24.0,30.0,31.0,21.0,20.0,32.0,20.0,25.0,29.0,23.0,20.0,19.0,31.0,18.0,18.0,18.0,18.0,18.0,19.0,16.0,18.0,17.0,18.0
MP,35,33,32,32,35,34,24,32,32,24,31,21,17,25,28,15,29,17,15,15,15,23,15,9,3,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,34,32,32,29,25,25,24,24,20,20,20,18,17,16,14,14,10,9,8,8,8,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.964,2.858,2.784,2.335,2.215,2.209,2.077,1.769,1.834,1.797,1.729,1.471,1.397,1.39,1.536,1.339,1.073,960.0,829.0,759.0,643.0,782.0,553.0,222.0,24.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.9,31.8,30.9,25.9,24.6,24.5,23.1,19.7,20.4,20.0,19.2,16.3,15.5,15.4,17.1,14.9,11.9,10.7,9.2,8.4,7.1,8.7,6.1,2.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,10.0,2.0,2.0,1.0,3.0,0.0,5.0,9.0,0.0,13.0,4.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,4.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,4.0,14.0,3.0,4.0,2.0,6.0,0.0,7.0,11.0,1.0,19.0,6.0,2.0,4.0,1.0,0.0,6.0,0.0,1.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,8.0,2.0,2.0,1.0,3.0,0.0,5.0,9.0,0.0,10.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
