Jogador,Éderson,Berat Djimsiti,Giorgio Scalvini,Teun Koopmeiners,Marten de Roon,Matteo Ruggeri,Marco Carnesecchi,Sead Kolašinac,Charles De Ketelaere,Mario Pašalić,Davide Zappacosta,Ademola Lookman,Gianluca Scamacca,Aleksei Miranchuk,Emil Holm,Juan Musso,Hans Hateboer,Rafael Tolói,Isak Hien,El Bilal Touré,Mitchel Bakker,Luis Muriel,Duván Zapata,Giovanni Bonfanti,Nadir Zortea,Michel Ndary Adopo,José Luis Palomino,Francesco Rossi,Leonardo Mendicino,Moustapha Cissé,Matteo Colombo,Pietro Comi,Alessandro Cortinovis,Tommaso Del Lungo,Siren Diao,Alberto Manzoni,Caleb Okoli,Marco Palestra,Paolo Vismara
Pos.,LT,ZG,ZG,LT,"LT,ZG",ZG,G,ZG,"AT,LT",LT,ZG,"AT,LT",AT,"LT,AT",ZG,G,ZG,ZG,ZG,AT,ZG,"AT,LT",AT,ZG,ZG,LT,ZG,G,LT,AT,LT,ZG,LT,ZG,AT,LT,ZG,ZG,G
Idade,24.0,30.0,19.0,25.0,32.0,21.0,23.0,30.0,22.0,28.0,31.0,25.0,24.0,27.0,23.0,29.0,29.0,32.0,24.0,21.0,23.0,32.0,32.0,20.0,24.0,23.0,33.0,32.0,17.0,19.0,19.0,18.0,22.0,19.0,18.0,18.0,22.0,18.0,20.0
MP,36,37,33,34,30,34,27,30,35,34,31,31,29,27,22,11,23,18,16,11,14,18,2,2,5,10,4,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,32,32,31,29,29,28,27,25,25,23,23,22,17,12,12,11,10,10,9,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.869,2.832,2.544,2.627,2.599,2.449,2.425,2.178,2.026,2.051,1.867,1.894,1.453,1.176,947.0,990.0,1.113,965.0,937.0,394.0,382.0,409.0,112.0,89.0,149.0,109.0,27.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,31.9,31.5,28.3,29.2,28.9,27.2,26.9,24.2,22.5,22.8,20.7,21.0,16.1,13.1,10.5,11.0,12.4,10.7,10.4,4.4,4.2,4.5,1.2,1.0,1.7,1.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,6.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,10.0,6.0,2.0,11.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,3.0,5.0,5.0,4.0,0.0,0.0,8.0,6.0,1.0,7.0,6.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,1.0,4.0,17.0,5.0,4.0,0.0,1.0,18.0,12.0,3.0,18.0,18.0,8.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,6.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,9.0,4.0,2.0,11.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
