Jogador,Roberto Soriano,Danilo Larangeira,Musa Barrow,Takehiro Tomiyasu,Łukasz Skorupski,Jerdy Schouten,Rodrigo Palacio,Lorenzo De Silvestri,Mattias Svanberg,Riccardo Orsolini,Adama Soumaoro,Mitchell Dijks,Nicolás Domínguez,Andreas Skov Olsen,Emanuel Vignato,Nicola Sansone,Aaron Hickey,Angelo da Costa Júnior,Gary Medel,Ibrahima Mbaye,Andrea Poli,Federico Ravaglia,Nehuén Paz,Valentin Antov,Andri Fannar Baldursson,Stefano Denswil,Musa Juwara,Federico Santander,Simone Rabbi,Omar Khailoti,Paolo Faragò,Arturo Calabresi,Mattia Pagliuca,Edoardo Vergani,Wisdom Amey,Kacper Urbanski,Antonio Raimondo,Ebenezer Annan,Alex Arnofoli,Mattia Bani,Sebastian Breza,Kingsley Michael,Marco Molla,Dion Ruffo Luci
Pos.,LT,ZG,"AT,LT",ZG,G,LT,AT,ZG,LT,"AT,LT",ZG,ZG,LT,"AT,ZG","AT,LT","AT,LT",ZG,G,"ZG,LT",ZG,LT,G,ZG,ZG,LT,ZG,"LT,ZG",AT,"AT,ZG",ZG,ZG,"ZG,AT",LT,AT,ZG,AT,AT,ZG,ZG,ZG,G,LT,G,LT
Idade,29.0,36.0,21.0,21.0,29.0,23.0,38.0,32.0,21.0,23.0,28.0,27.0,22.0,20.0,19.0,28.0,18.0,36.0,32.0,25.0,30.0,20.0,27.0,19.0,18.0,27.0,18.0,29.0,18.0,18.0,27.0,24.0,18.0,19.0,14.0,15.0,16.0,17.0,17.0,26.0,22.0,20.0,18.0,19.0
MP,37,35,38,31,28,34,36,29,34,34,20,20,28,26,31,26,11,6,11,8,18,4,6,5,8,5,5,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Inícios,37,34,34,31,28,28,28,25,24,21,19,18,15,12,11,11,10,6,6,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.25,3.132,2.921,2.715,2.52,2.512,2.502,2.143,1.852,1.755,1.755,1.481,1.255,1.179,1.203,1.169,758.0,540.0,511.0,428.0,383.0,360.0,363.0,232.0,217.0,115.0,46.0,37.0,35.0,28.0,23.0,20.0,13.0,12.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.1,34.8,32.5,30.2,28.0,27.9,27.8,23.8,20.6,19.5,19.5,16.5,13.9,13.1,13.4,13.0,8.4,6.0,5.7,4.8,4.3,4.0,4.0,2.6,2.4,1.3,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,9.0,0.0,8.0,2.0,0.0,1.0,5.0,2.0,5.0,7.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,1.0,8.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,15.0,1.0,16.0,2.0,0.0,2.0,10.0,2.0,7.0,10.0,1.0,0.0,1.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,9.0,0.0,8.0,2.0,0.0,1.0,5.0,2.0,5.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,5.0,8.0,0.0,4.0,1.0,8.0,5.0,4.0,8.0,0.0,4.0,7.0,8.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,6.9,1.2,7.0,2.1,0.0,0.2,9.3,2.1,4.6,9.3,1.4,0.1,1.2,4.1,1.5,3.9,0.1,0.0,0.0,0.6,1.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,6.9,1.2,6.2,2.1,0.0,0.2,9.3,2.1,4.6,7.1,1.4,0.1,1.2,4.1,1.5,3.9,0.1,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,7.8,2.0,6.0,0.4,0.0,1.9,4.3,0.7,2.5,2.4,0.1,0.2,1.7,2.0,3.6,2.9,0.1,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,147.0,32.0,122.0,25.0,0.0,21.0,136.0,28.0,71.0,95.0,14.0,3.0,29.0,61.0,51.0,68.0,1.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
