Jogador,Łukasz Skorupski,Aaron Hickey,Gary Medel,Marko Arnautović,Roberto Soriano,Mattias Svanberg,Arthur Theate,Lorenzo De Silvestri,Adama Soumaoro,Musa Barrow,Nicolás Domínguez,Riccardo Orsolini,Jerdy Schouten,Kevin Bonifazi,Mitchell Dijks,Luis Binks,Nicola Sansone,Andreas Skov Olsen,Michel Aebischer,Emanuel Vignato,Francesco Bardi,Denso Kasius,Ibrahima Mbaye,Nicolas Viola,Kingsley Michael,Antonio Raimondo,Wisdom Amey,Federico Santander,Diego Falcinelli,Riccardo Stivanello,Kacper Urbanski,Sydney van Hooijdonk,Ebenezer Annan,Niklas Pyyhtiä,Takehiro Tomiyasu,Nicola Bagnolini,Gianmarco Cangiano,Gabriele Corbo,Davide Franzini,Omar Khailoti,Marco Molla,Mattia Pagliuca
Pos.,G,ZG,ZG,AT,LT,LT,ZG,ZG,ZG,"AT,LT",LT,"AT,LT",LT,ZG,"ZG,AT",ZG,"AT,LT","AT,ZG",LT,"LT,ZG",G,"ZG,AT",ZG,LT,LT,AT,ZG,"AT,ZG",AT,ZG,LT,"AT,LT",ZG,LT,ZG,G,AT,ZG,G,ZG,G,AT
Idade,30.0,19.0,33.0,32.0,30.0,22.0,21.0,33.0,29.0,22.0,23.0,24.0,24.0,25.0,28.0,19.0,29.0,21.0,24.0,20.0,29.0,18.0,26.0,31.0,21.0,17.0,15.0,30.0,30.0,17.0,16.0,21.0,18.0,17.0,22.0,17.0,19.0,21.0,16.0,19.0,19.0,19.0
MP,36,36,33,33,35,36,31,31,28,34,28,29,17,22,16,15,27,18,12,24,2,7,6,6,2,1,1,7,6,1,1,4,1,1,1,1,0,0,0,0,0,0
Inícios,36,34,32,32,32,31,28,27,26,25,23,21,16,14,7,7,6,6,4,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.24,2.82,2.823,2.694,2.622,2.564,2.424,2.294,2.266,2.134,2.015,1.785,1.392,1.21,694.0,646.0,896.0,747.0,443.0,594.0,177.0,180.0,108.0,102.0,76.0,74.0,71.0,67.0,66.0,45.0,45.0,38.0,25.0,19.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,31.3,31.4,29.9,29.1,28.5,26.9,25.5,25.2,23.7,22.4,19.8,15.5,13.4,7.7,7.2,10.0,8.3,4.9,6.6,2.0,2.0,1.2,1.1,0.8,0.8,0.8,0.7,0.7,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,5.0,0.0,14.0,0.0,3.0,2.0,3.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,0.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,6.0,1.0,15.0,4.0,6.0,3.0,5.0,0.0,12.0,3.0,9.0,2.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,5.0,0.0,12.0,0.0,3.0,2.0,3.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
