Jogador,Łukasz Skorupski,Jhon Lucumí,Stefan Posch,Jerdy Schouten,Lewis Ferguson,Nicolás Domínguez,Musa Barrow,Andrea Cambiaso,Riccardo Orsolini,Adama Soumaoro,Michel Aebischer,Marko Arnautović,Gary Medel,Roberto Soriano,Nikola Moro,Charalambos Lykogiannis,Kevin Bonifazi,Nicola Sansone,Giorgos Kyriakopoulos,Joaquin Sosa,Lorenzo De Silvestri,Joshua Zirkzee,Denso Kasius,Emanuel Vignato,Francesco Bardi,Niklas Pyyhtiä,Antonio Raimondo,Wisdom Amey,Matteo Angeli,Nicola Bagnolini,Ibrahima Mbaye,Mattia Motolese,Francesco Raffaelli,Federico Ravaglia,Kacper Urbanski
Pos.,G,ZG,ZG,LT,"LT,AT",LT,"AT,LT",ZG,AT,ZG,"AT,LT",AT,"LT,ZG","AT,LT",LT,ZG,ZG,AT,"ZG,AT",ZG,ZG,AT,ZG,"LT,AT",G,LT,AT,ZG,ZG,G,"ZG,LT",ZG,G,G,LT
Idade,31.0,24.0,25.0,25.0,22.0,24.0,23.0,22.0,25.0,30.0,25.0,33.0,34.0,31.0,24.0,28.0,26.0,30.0,26.0,20.0,34.0,21.0,19.0,21.0,30.0,18.0,18.0,16.0,19.0,18.0,27.0,18.0,17.0,22.0,17.0
MP,37,33,30,33,32,31,32,32,32,23,32,21,29,27,26,21,13,18,12,10,15,19,7,8,1,6,2,0,0,0,0,0,0,0,0
Inícios,37,33,30,29,27,26,26,25,22,22,18,18,17,15,12,11,9,8,8,7,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0
Min.,3.33,2.9,2.532,2.509,2.314,2.3,1.96,2.17,2.124,1.867,1.542,1.53,1.478,1.326,1.226,1.108,902.0,740.0,704.0,688.0,672.0,822.0,342.0,242.0,90.0,110.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,32.2,28.1,27.9,25.7,25.6,21.8,24.1,23.6,20.7,17.1,17.0,16.4,14.7,13.6,12.3,10.0,8.2,7.8,7.6,7.5,9.1,3.8,2.7,1.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,6.0,0.0,7.0,3.0,3.0,0.0,11.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,2.0,2.0,0.0,2.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,8.0,2.0,7.0,5.0,11.0,3.0,15.0,0.0,1.0,10.0,1.0,4.0,6.0,2.0,0.0,6.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,6.0,0.0,7.0,3.0,3.0,0.0,8.0,0.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,8.0,6.0,3.0,4.0,10.0,3.0,2.0,8.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,0.7,3.3,0.4,4.7,2.6,3.0,0.9,10.5,0.3,1.5,7.2,0.1,0.6,0.8,0.8,0.2,2.8,0.2,0.1,0.6,3.1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,0.7,3.3,0.4,4.7,2.6,3.0,0.9,8.1,0.3,1.5,4.8,0.1,0.6,0.8,0.8,0.2,2.8,0.2,0.1,0.6,3.1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,0.4,2.0,1.5,1.0,2.9,4.7,2.4,3.1,0.0,0.6,1.9,0.4,2.5,2.2,1.5,0.0,1.0,0.8,0.0,0.2,1.4,0.7,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,10.0,53.0,19.0,57.0,54.0,77.0,33.0,112.0,3.0,21.0,67.0,5.0,31.0,30.0,23.0,2.0,37.0,10.0,1.0,9.0,45.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,37.0,45.0,15.0,31.0,39.0,68.0,64.0,53.0,7.0,14.0,13.0,1.0,30.0,24.0,32.0,4.0,17.0,21.0,6.0,18.0,10.0,9.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,84.0,148.0,139.0,88.0,147.0,58.0,83.0,62.0,50.0,46.0,36.0,58.0,56.0,102.0,60.0,33.0,13.0,23.0,13.0,31.0,17.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,6.0,65.0,29.0,114.0,84.0,141.0,105.0,212.0,1.0,85.0,116.0,5.0,66.0,35.0,47.0,0.0,72.0,50.0,1.0,17.0,74.0,21.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,0.0,21.0,0.0,27.0,12.0,14.0,0.0,47.0,0.0,6.0,59.0,0.0,7.0,7.0,16.0,0.0,49.0,0.0,0.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
