Jogador,Łukasz Skorupski,Joshua Zirkzee,Lewis Ferguson,Remo Freuler,Sam Beukema,Stefan Posch,Riccardo Calafiori,Victor Bernth Kristiansen,Michel Aebischer,Jhon Lucumí,Alexis Saelemaekers,Dan Ndoye,Riccardo Orsolini,Giovanni Fabbian,Charalambos Lykogiannis,Nikola Moro,Kacper Urbanski,Lorenzo De Silvestri,Federico Ravaglia,Oussama El Azzouzi,Jens Odgaard,Jesper Karlsson,Santiago Castro,Sydney van Hooijdonk,Tommaso Corazza,Nicolás Domínguez,Kevin Bonifazi,Nicola Bagnolini,Tito Gasperini,Mihajlo Ilić,Joaquin Sosa,Adama Soumaoro
Pos.,G,AT,LT,LT,ZG,ZG,ZG,ZG,LT,ZG,"AT,LT","AT,LT","AT,LT","LT,AT",ZG,LT,"LT,AT",ZG,G,LT,"AT,LT",AT,AT,AT,ZG,LT,ZG,G,G,ZG,ZG,ZG
Idade,32.0,22.0,23.0,31.0,24.0,26.0,21.0,20.0,26.0,25.0,24.0,22.0,26.0,20.0,29.0,25.0,18.0,35.0,23.0,22.0,24.0,25.0,18.0,23.0,19.0,25.0,27.0,19.0,17.0,20.0,21.0,31.0
MP,32,34,31,32,30,31,30,32,36,29,30,32,33,27,22,23,22,15,6,18,10,7,8,9,9,2,1,1,0,0,0,0
Inícios,32,32,31,30,29,29,26,26,26,23,21,20,19,11,10,10,9,7,6,5,5,4,2,2,1,1,1,0,0,0,0,0
Min.,2.88,2.759,2.712,2.624,2.547,2.409,2.349,2.307,2.23,2.217,1.887,1.771,1.792,1.057,904.0,840.0,926.0,674.0,535.0,547.0,431.0,344.0,242.0,212.0,195.0,102.0,90.0,5.0,0.0,0.0,0.0,0.0
90s,32.0,30.7,30.1,29.2,28.3,26.8,26.1,25.6,24.8,24.6,21.0,19.7,19.9,11.7,10.0,9.3,10.3,7.5,5.9,6.1,4.8,3.8,2.7,2.4,2.2,1.1,1.0,0.1,0.0,0.0,0.0,0.0
Gols,0.0,11.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,10.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,4.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,15.0,9.0,2.0,2.0,3.0,7.0,3.0,1.0,0.0,6.0,2.0,12.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,9.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,8.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,8.0,8.0,9.0,6.0,7.0,4.0,4.0,8.0,1.0,7.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,9.0,5.4,1.2,1.9,1.2,1.4,0.3,1.1,0.8,2.6,4.9,7.4,4.2,1.3,0.7,1.1,0.2,0.0,0.5,1.5,0.4,1.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,7.4,5.4,1.2,1.9,1.2,1.4,0.3,1.1,0.8,2.6,4.9,5.0,4.2,1.3,0.7,1.1,0.2,0.0,0.5,1.5,0.4,1.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,5.2,2.3,1.1,0.8,2.1,1.2,2.4,1.5,0.3,2.8,1.8,4.4,1.9,1.6,0.4,0.8,0.0,0.0,0.6,0.1,0.3,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,126.0,77.0,23.0,27.0,33.0,26.0,26.0,26.0,11.0,55.0,66.0,94.0,60.0,29.0,11.0,19.0,2.0,0.0,10.0,15.0,7.0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,53.0,57.0,37.0,14.0,44.0,28.0,23.0,26.0,28.0,65.0,88.0,51.0,11.0,36.0,21.0,25.0,14.0,0.0,4.0,9.0,13.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,1.0,86.0,142.0,165.0,76.0,123.0,96.0,123.0,125.0,93.0,77.0,36.0,71.0,17.0,35.0,58.0,31.0,27.0,0.0,19.0,9.0,16.0,1.0,2.0,14.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,182.0,138.0,48.0,5.0,64.0,23.0,74.0,55.0,4.0,180.0,173.0,175.0,41.0,41.0,38.0,78.0,12.0,0.0,8.0,30.0,35.0,15.0,9.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,36.0,20.0,3.0,4.0,4.0,8.0,0.0,0.0,0.0,19.0,5.0,50.0,43.0,20.0,11.0,0.0,27.0,0.0,33.0,42.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,13.0,10.0,3.0,4.0,7.0,19.0,12.0,4.0,0.0,10.0,5.0,10.0,17.0,10.0,0.0,10.0,0.0,0.0,33.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,49.0,30.0,7.0,7.0,11.0,27.0,12.0,4.0,0.0,29.0,10.0,60.0,60.0,30.0,11.0,10.0,27.0,0.0,66.0,42.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,29.0,20.0,3.0,4.0,4.0,8.0,0.0,0.0,0.0,19.0,5.0,40.0,43.0,20.0,11.0,0.0,27.0,0.0,33.0,42.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,42.0,30.0,7.0,7.0,11.0,27.0,12.0,4.0,0.0,29.0,10.0,50.0,60.0,30.0,11.0,10.0,27.0,0.0,66.0,42.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,29.0,18.0,4.0,7.0,4.0,5.0,1.0,4.0,3.0,13.0,25.0,37.0,35.0,13.0,8.0,10.0,3.0,0.0,8.0,31.0,11.0,35.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,17.0,8.0,4.0,3.0,8.0,5.0,9.0,6.0,1.0,14.0,9.0,22.0,16.0,16.0,4.0,8.0,0.0,0.0,9.0,1.0,8.0,20.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,46.0,26.0,8.0,10.0,12.0,10.0,10.0,11.0,4.0,26.0,34.0,59.0,51.0,29.0,12.0,19.0,3.0,0.0,17.0,32.0,19.0,55.0,31.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,24.0,18.0,4.0,7.0,4.0,5.0,1.0,4.0,3.0,13.0,25.0,25.0,35.0,13.0,8.0,10.0,3.0,0.0,8.0,31.0,11.0,35.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,41.0,26.0,8.0,10.0,12.0,10.0,10.0,11.0,4.0,26.0,34.0,47.0,51.0,29.0,12.0,19.0,3.0,0.0,17.0,32.0,19.0,55.0,31.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,32.0,37.0,78.0,27.0,77.0,47.0,52.0,35.0,48.0,32.0,30.0,23.0,17.0,10.0,21.0,16.0,10.0,0.0,12.0,4.0,3.0,2.0,3.0,10.0,1.0,4.0,0.0,633.0,633.0,0.0,0.0
TklW,2.0,20.0,21.0,50.0,11.0,46.0,32.0,34.0,20.0,29.0,22.0,15.0,14.0,10.0,6.0,16.0,10.0,8.0,0.0,7.0,4.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,385.0,377.0,0.0,0.0
Terço Def,2.0,8.0,16.0,41.0,14.0,35.0,28.0,23.0,9.0,31.0,13.0,17.0,13.0,9.0,5.0,8.0,5.0,5.0,0.0,4.0,1.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,299.0,282.0,0.0,0.0
Terço Central,0.0,15.0,17.0,32.0,11.0,38.0,16.0,22.0,20.0,17.0,14.0,11.0,4.0,7.0,4.0,12.0,10.0,2.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,267.0,259.0,0.0,0.0
