Jogador,João Pedro,Răzvan Marin,Alessio Cragno,Nahitan Nández,Charalambos Lykogiannis,Diego Godín,Gabriele Zappa,Radja Nainggolan,Giovanni Simeone,Sebastian Walukiewicz,Leonardo Pavoletti,Luca Ceppitelli,Marko Rog,Riccardo Sottil,Andrea Carboni,Alfred Duncan,Daniele Rugani,Ragnar Klavan,Alessandro Deiola,Paolo Faragò,Guglielmo Vicario,Christian Oliva,Alberto Cerri,Adam Ounas,Alessandro Tripaldelli,Gastón Pereiro,Fabio Pisacane,Fabrizio Caligara,Kwadwo Asamoah,Mattéo Tramoni,Arturo Calabresi,Kiril Despodov,Simone Aresti,Salvatore Boccia,Giuseppe Ciocci,Gianluca Contini,Isaias Del Pupo,Riccardo Ladinetti,Marko Pajač,Francesco Paolo Cusumano,Simone Pinna
Pos.,"AT,LT",LT,G,"LT,ZG",ZG,ZG,ZG,LT,AT,ZG,AT,ZG,LT,"AT,LT",ZG,LT,ZG,ZG,LT,ZG,G,LT,AT,"LT,AT",ZG,"LT,ZG",ZG,"LT,AT","ZG,LT","LT,AT",ZG,AT,G,ZG,G,AT,LT,LT,"ZG,LT",ZG,ZG
Idade,28.0,24.0,26.0,24.0,26.0,34.0,20.0,32.0,25.0,20.0,31.0,30.0,25.0,21.0,19.0,27.0,26.0,34.0,24.0,27.0,23.0,24.0,24.0,23.0,21.0,25.0,34.0,20.0,31.0,20.0,24.0,23.0,34.0,19.0,18.0,19.0,17.0,19.0,27.0,19.0,22.0
MP,37,37,34,32,31,28,34,22,33,19,33,19,14,21,15,19,16,15,12,8,4,10,23,7,10,15,5,10,9,6,2,1,0,0,0,0,0,0,0,0,0
Inícios,37,35,34,31,29,28,27,22,19,18,17,16,14,12,12,12,12,9,7,4,4,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.253,2.965,3.06,2.737,2.418,2.508,2.395,1.841,1.74,1.618,1.584,1.465,1.165,1.184,1.085,1.068,1.001,770.0,615.0,369.0,360.0,388.0,369.0,308.0,300.0,272.0,228.0,183.0,224.0,74.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.1,32.9,34.0,30.4,26.9,27.9,26.6,20.5,19.3,18.0,17.6,16.3,12.9,13.2,12.1,11.9,11.1,8.6,6.8,4.1,4.0,4.3,4.1,3.4,3.3,3.0,2.5,2.0,2.5,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,16.0,3.0,0.0,2.0,4.0,1.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,6.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,19.0,9.0,0.0,4.0,6.0,1.0,4.0,1.0,8.0,1.0,7.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,12.0,3.0,0.0,2.0,4.0,1.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,6.0,1.0,8.0,10.0,3.0,3.0,5.0,1.0,1.0,8.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,12.5,1.4,0.0,3.3,2.1,0.8,0.6,1.5,7.7,0.7,7.2,0.5,0.2,1.5,0.4,0.2,0.4,0.4,0.2,0.2,0.0,0.0,3.0,0.9,0.0,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,8.7,1.4,0.0,3.3,2.1,0.8,0.6,1.5,7.7,0.7,7.2,0.5,0.2,1.5,0.4,0.2,0.4,0.4,0.2,0.2,0.0,0.0,3.0,0.9,0.0,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,5.5,4.7,0.0,2.7,1.8,0.7,4.3,1.9,1.3,0.6,1.1,0.1,0.3,1.8,1.1,1.5,0.5,0.1,0.8,0.5,0.0,0.1,0.6,0.9,0.1,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,142.0,61.0,0.0,60.0,39.0,16.0,48.0,34.0,91.0,13.0,83.0,6.0,5.0,33.0,14.0,17.0,10.0,4.0,10.0,7.0,0.0,1.0,37.0,18.0,1.0,35.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,45.0,45.0,0.0,80.0,39.0,23.0,49.0,49.0,25.0,16.0,4.0,10.0,30.0,77.0,19.0,16.0,4.0,2.0,5.0,2.0,0.0,8.0,3.0,10.0,6.0,14.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,94.0,159.0,0.0,90.0,79.0,91.0,108.0,95.0,13.0,39.0,21.0,51.0,53.0,47.0,40.0,73.0,36.0,20.0,14.0,13.0,0.0,18.0,9.0,15.0,10.0,25.0,4.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,193.0,80.0,0.0,179.0,92.0,9.0,141.0,78.0,81.0,1.0,65.0,4.0,14.0,83.0,18.0,24.0,5.0,2.0,9.0,10.0,0.0,2.0,50.0,27.0,13.0,20.0,0.0,2.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,44.0,9.0,0.0,7.0,15.0,4.0,0.0,5.0,31.0,0.0,23.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
