Jogador,João Pedro,Alessio Cragno,Răzvan Marin,Alessandro Deiola,Raoul Bellanova,Dalbert Henrique,Alberto Grassi,Andrea Carboni,Charalambos Lykogiannis,Giorgio Altare,Nahitan Nández,Luca Ceppitelli,Leonardo Pavoletti,Matteo Lovato,Keita Baldé,Gabriele Zappa,Edoardo Goldaniga,Gastón Pereiro,Martín Cáceres,Diego Godín,Kevin Strootman,Sebastian Walukiewicz,Adam Obert,Boris Radunović,Marko Rog,Daniele Baselli,Diego Farias,Christian Oliva,Christos Kourfalidis,Paolo Faragò,Luca Gagliano,Giovanni Simeone,Damir Ceter,Simone Aresti,Nicolò Cavuoti,Andrea D'Aniello,Isaias Del Pupo,Jacopo Desogus,Eugenio Fusco,Iurie Iovu,Riccardo Ladinetti,Eldin Lolic,Zito Luvumbo,Luigi Palomba,Lisandru Tramoni
Pos.,AT,G,LT,LT,"ZG,AT","ZG,LT",LT,ZG,"ZG,AT",ZG,"LT,ZG",ZG,AT,ZG,AT,ZG,ZG,"AT,LT",ZG,ZG,LT,ZG,"ZG,LT",G,LT,LT,"LT,AT",LT,"LT,AT",LT,"AT,ZG",AT,AT,G,LT,G,LT,AT,G,ZG,LT,G,"AT,LT",ZG,AT
Idade,29.0,27.0,25.0,25.0,21.0,27.0,26.0,20.0,27.0,22.0,25.0,31.0,32.0,21.0,26.0,21.0,27.0,26.0,34.0,35.0,31.0,21.0,18.0,25.0,26.0,29.0,31.0,25.0,18.0,28.0,21.0,26.0,23.0,35.0,18.0,18.0,18.0,18.0,18.0,19.0,20.0,17.0,19.0,18.0,18.0
MP,37,35,36,33,31,28,30,30,28,19,21,24,33,16,26,25,11,29,14,11,10,7,6,3,8,9,4,4,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,35,31,28,27,27,26,25,21,17,16,16,14,14,14,11,11,9,9,9,7,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.323,3.15,2.816,2.129,2.496,2.081,2.174,2.215,1.817,1.466,1.523,1.445,1.518,1.238,1.229,1.144,934.0,975.0,832.0,818.0,640.0,302.0,274.0,270.0,311.0,290.0,66.0,48.0,18.0,16.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.9,35.0,31.3,23.7,27.7,23.1,24.2,24.6,20.2,16.3,16.9,16.1,16.9,13.8,13.7,12.7,10.4,10.8,9.2,9.1,7.1,3.4,3.0,3.0,3.5,3.2,0.7,0.5,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,13.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,17.0,0.0,5.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,4.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,9.0,3.0,6.0,5.0,3.0,9.0,6.0,6.0,2.0,5.0,4.0,3.0,9.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,12.3,0.0,1.8,2.5,1.7,1.5,1.1,0.7,1.1,1.0,0.8,0.4,6.6,0.5,3.5,0.6,0.3,1.3,0.2,0.4,0.0,0.4,0.0,0.0,0.3,0.5,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,9.3,0.0,1.8,2.5,1.7,1.5,1.1,0.7,1.1,1.0,0.8,0.4,6.6,0.5,3.5,0.6,0.3,1.3,0.2,0.4,0.0,0.4,0.0,0.0,0.3,0.5,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,3.1,0.0,6.4,1.4,3.5,2.0,2.0,0.1,1.1,0.6,2.7,0.3,1.1,0.3,0.6,0.7,0.2,1.9,0.7,0.1,0.2,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,124.0,0.0,82.0,39.0,53.0,35.0,31.0,8.0,21.0,16.0,35.0,7.0,78.0,7.0,41.0,13.0,5.0,33.0,9.0,5.0,2.0,5.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,38.0,0.0,49.0,12.0,81.0,33.0,13.0,29.0,28.0,13.0,60.0,3.0,2.0,3.0,14.0,22.0,3.0,32.0,8.0,4.0,6.0,4.0,0.0,0.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,66.0,0.0,142.0,70.0,46.0,53.0,76.0,97.0,34.0,71.0,64.0,35.0,25.0,21.0,22.0,41.0,35.0,42.0,34.0,22.0,38.0,13.0,5.0,0.0,14.0,14.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,198.0,0.0,68.0,51.0,146.0,96.0,25.0,18.0,57.0,10.0,104.0,5.0,82.0,2.0,73.0,37.0,12.0,46.0,7.0,1.0,6.0,2.0,3.0,0.0,10.0,5.0,7.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,35.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,30.0,0.0,22.0,0.0,0.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,11.0,0.0,16.0,4.0,7.0,9.0,4.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,7.0,0.0,0.0,18.0,11.0,11.0,0.0,0.0,0.0,0.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,46.0,0.0,16.0,21.0,11.0,9.0,4.0,0.0,5.0,6.0,12.0,12.0,36.0,0.0,29.0,0.0,0.0,55.0,22.0,11.0,0.0,0.0,0.0,0.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,27.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,30.0,0.0,22.0,0.0,0.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,38.0,0.0,16.0,21.0,11.0,9.0,4.0,0.0,5.0,6.0,12.0,12.0,36.0,0.0,29.0,0.0,0.0,55.0,22.0,11.0,0.0,0.0,0.0,0.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,33.0,0.0,6.0,11.0,6.0,7.0,5.0,3.0,5.0,6.0,5.0,2.0,39.0,3.0,26.0,5.0,3.0,12.0,3.0,4.0,0.0,13.0,0.0,0.0,8.0,16.0,6.0,0.0,44.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,8.0,0.0,20.0,6.0,13.0,9.0,8.0,0.0,5.0,4.0,16.0,2.0,7.0,2.0,4.0,5.0,2.0,18.0,7.0,2.0,3.0,1.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,42.0,0.0,26.0,17.0,19.0,15.0,13.0,3.0,11.0,10.0,21.0,4.0,46.0,5.0,30.0,10.0,5.0,30.0,10.0,6.0,3.0,14.0,0.0,0.0,12.0,37.0,6.0,0.0,44.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,25.0,0.0,6.0,11.0,6.0,7.0,5.0,3.0,5.0,6.0,5.0,2.0,39.0,3.0,26.0,5.0,3.0,12.0,3.0,4.0,0.0,13.0,0.0,0.0,8.0,16.0,6.0,0.0,44.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,34.0,0.0,26.0,17.0,19.0,15.0,13.0,3.0,11.0,10.0,21.0,4.0,46.0,5.0,30.0,10.0,5.0,30.0,10.0,6.0,3.0,14.0,0.0,0.0,12.0,37.0,6.0,0.0,44.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,15.0,3.0,42.0,47.0,29.0,43.0,47.0,53.0,19.0,39.0,39.0,23.0,10.0,23.0,8.0,21.0,12.0,13.0,13.0,18.0,8.0,9.0,8.0,0.0,5.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,557.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,12.0,3.0,21.0,22.0,15.0,23.0,26.0,24.0,12.0,28.0,21.0,12.0,6.0,15.0,4.0,9.0,5.0,5.0,7.0,7.0,4.0,5.0,5.0,0.0,3.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,303.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,2.0,16.0,15.0,14.0,23.0,13.0,33.0,16.0,18.0,16.0,13.0,2.0,13.0,1.0,12.0,7.0,7.0,5.0,13.0,2.0,7.0,6.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,263.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,8.0,1.0,22.0,25.0,12.0,16.0,30.0,16.0,1.0,18.0,15.0,10.0,5.0,10.0,5.0,6.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,5.0,0.0,4.0,7.0,3.0,4.0,4.0,4.0,2.0,3.0,8.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,4.0,3.0,24.0,23.0,6.0,11.0,16.0,19.0,11.0,21.0,18.0,16.0,3.0,8.0,1.0,6.0,4.0,5.0,4.0,10.0,5.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,230.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,18.0,3.0,54.0,58.0,27.0,35.0,38.0,42.0,20.0,26.0,33.0,27.0,9.0,20.0,10.0,24.0,11.0,18.0,12.0,15.0,12.0,5.0,6.0,0.0,8.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,544.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
