Jogador,Boris Radunović,Antoine Makoumbou,Gianluca Lapadula,Nahitan Nández,Gabriele Zappa,Adam Obert,Giorgio Altare,Marco Mancosu,Alberto Dossena,Alessandro Deiola,Edoardo Goldaniga,Zito Luvumbo,Marko Rog,Christos Kourfalidis,Paulo Azzi,Elio Capradossi,Alessandro Di Pardo,Leonardo Pavoletti,Nicolas Viola,Filippo Falco,Antonio Barreca,Nunzio Lella,Nik Prelec,Franco Carboni,Gastón Pereiro,Vincenzo Millico,Jacopo Desogus,Isaias Del Pupo,Adam Griger,Simone Aresti,Salvatore Boccia,Michele Carboni,Nicolò Cavuoti,Giuseppe Ciocci,Paolo Faragò,Eldin Lolic,Luigi Palomba,Velizar-Ilia Svetozarov Iliev,Davide Veroli,Francesco Zallu
Pos.,G,LT,AT,"LT,AT",ZG,ZG,ZG,"LT,AT",ZG,"LT,ZG",ZG,"AT,LT",LT,LT,ZG,ZG,ZG,AT,LT,"LT,AT",ZG,LT,"AT,LT",ZG,"LT,AT","LT,AT",AT,AT,AT,G,ZG,LT,LT,G,"ZG,LT",G,ZG,G,ZG,ZG
Idade,26.0,24.0,32.0,26.0,22.0,19.0,23.0,33.0,23.0,26.0,28.0,20.0,27.0,19.0,28.0,26.0,23.0,33.0,32.0,30.0,27.0,22.0,21.0,19.0,27.0,21.0,19.0,19.0,18.0,36.0,21.0,17.0,19.0,20.0,29.0,18.0,19.0,17.0,19.0,19.0
MP,38,36,36,33,29,29,26,23,23,26,18,36,21,21,16,16,16,23,16,14,22,18,12,13,9,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,38,33,33,30,27,23,21,21,19,16,16,15,14,13,13,13,12,10,9,9,8,8,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,2.981,2.882,2.539,2.347,2.066,1.921,1.617,1.703,1.522,1.376,1.56,1.038,1.262,1.144,1.133,986.0,989.0,847.0,736.0,878.0,737.0,618.0,463.0,241.0,340.0,54.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,33.1,32.0,28.2,26.1,23.0,21.3,18.0,18.9,16.9,15.3,17.3,11.5,14.0,12.7,12.6,11.0,11.0,9.4,8.2,9.8,8.2,6.9,5.1,2.7,3.8,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,21.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,25.0,4.0,4.0,1.0,1.0,9.0,0.0,5.0,0.0,5.0,2.0,4.0,3.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,18.0,0.0,3.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,5.0,6.0,9.0,7.0,3.0,7.0,1.0,6.0,3.0,4.0,4.0,7.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,0.3,19.0,1.9,2.1,1.1,1.4,3.7,1.0,3.3,0.5,3.3,2.0,1.2,1.0,0.8,0.2,5.2,1.8,1.5,0.1,1.7,1.4,0.1,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,0.3,14.9,1.9,2.1,1.1,1.4,2.9,1.0,3.3,0.5,3.3,2.0,1.2,1.0,0.8,0.2,4.4,1.1,1.5,0.1,1.7,1.4,0.1,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,1.7,3.3,5.4,2.0,1.3,0.7,4.0,0.2,1.4,0.1,2.8,0.5,1.4,1.1,0.6,0.8,0.6,1.8,2.1,0.5,0.1,0.7,0.6,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,21.0,181.0,74.0,41.0,24.0,21.0,69.0,12.0,47.0,6.0,61.0,24.0,26.0,20.0,15.0,10.0,50.0,28.0,36.0,5.0,18.0,20.0,7.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,42.0,34.0,113.0,75.0,27.0,14.0,46.0,5.0,7.0,5.0,70.0,18.0,23.0,50.0,9.0,30.0,5.0,13.0,30.0,25.0,9.0,5.0,15.0,9.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,1.0,174.0,31.0,141.0,149.0,86.0,88.0,104.0,56.0,62.0,46.0,39.0,45.0,43.0,46.0,50.0,77.0,25.0,56.0,62.0,40.0,19.0,11.0,19.0,14.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,53.0,150.0,232.0,112.0,22.0,7.0,116.0,1.0,44.0,5.0,202.0,28.0,67.0,45.0,4.0,38.0,56.0,32.0,100.0,38.0,33.0,30.0,11.0,18.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,66.0,0.0,12.0,0.0,5.0,28.0,0.0,18.0,0.0,17.0,9.0,7.0,16.0,0.0,0.0,55.0,11.0,0.0,0.0,12.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,12.0,14.0,4.0,4.0,0.0,22.0,0.0,12.0,0.0,12.0,9.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,37.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,3.0,78.0,14.0,15.0,4.0,5.0,50.0,0.0,30.0,0.0,29.0,17.0,29.0,24.0,8.0,0.0,55.0,11.0,0.0,0.0,12.0,29.0,19.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,56.0,0.0,12.0,0.0,5.0,22.0,0.0,18.0,0.0,17.0,9.0,7.0,16.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,3.0,69.0,14.0,15.0,4.0,5.0,45.0,0.0,30.0,0.0,29.0,17.0,29.0,24.0,8.0,0.0,55.0,0.0,0.0,0.0,12.0,29.0,19.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,1.0,59.0,7.0,8.0,5.0,7.0,20.0,6.0,19.0,3.0,19.0,17.0,9.0,7.0,7.0,2.0,47.0,20.0,18.0,1.0,21.0,20.0,2.0,11.0,8.0,8.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,5.0,10.0,19.0,8.0,6.0,3.0,22.0,1.0,9.0,1.0,16.0,4.0,10.0,9.0,5.0,7.0,5.0,19.0,26.0,5.0,1.0,10.0,11.0,35.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,6.0,69.0,26.0,16.0,11.0,10.0,43.0,6.0,28.0,4.0,35.0,21.0,18.0,16.0,12.0,9.0,52.0,39.0,44.0,5.0,22.0,30.0,14.0,45.0,33.0,8.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,1.0,46.0,7.0,8.0,5.0,7.0,16.0,6.0,19.0,3.0,19.0,17.0,9.0,7.0,7.0,2.0,40.0,11.0,18.0,1.0,21.0,20.0,2.0,11.0,8.0,8.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,6.0,57.0,26.0,16.0,11.0,10.0,38.0,6.0,28.0,4.0,35.0,21.0,18.0,16.0,12.0,9.0,45.0,30.0,44.0,5.0,22.0,30.0,14.0,45.0,33.0,8.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,0.0,43.0,17.0,52.0,51.0,20.0,36.0,20.0,33.0,24.0,14.0,22.0,21.0,24.0,30.0,24.0,18.0,3.0,10.0,6.0,13.0,15.0,3.0,12.0,2.0,5.0,0.0,1.0,0.0,519.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,28.0,12.0,34.0,37.0,8.0,25.0,15.0,17.0,12.0,10.0,13.0,13.0,13.0,20.0,16.0,13.0,1.0,7.0,3.0,10.0,9.0,2.0,8.0,2.0,4.0,0.0,0.0,0.0,332.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,0.0,19.0,2.0,23.0,23.0,8.0,24.0,7.0,25.0,11.0,10.0,7.0,9.0,8.0,17.0,14.0,9.0,0.0,1.0,1.0,7.0,3.0,0.0,8.0,1.0,2.0,0.0,1.0,0.0,240.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,19.0,10.0,20.0,24.0,10.0,10.0,9.0,8.0,11.0,3.0,9.0,11.0,13.0,12.0,10.0,8.0,1.0,9.0,4.0,4.0,10.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,223.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,5.0,5.0,9.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,6.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,0.0,16.0,7.0,30.0,31.0,12.0,19.0,7.0,11.0,14.0,2.0,5.0,13.0,12.0,17.0,8.0,9.0,1.0,7.0,2.0,5.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,242.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,0.0,32.0,16.0,69.0,57.0,23.0,23.0,20.0,22.0,30.0,10.0,18.0,27.0,28.0,32.0,11.0,15.0,5.0,12.0,4.0,9.0,14.0,3.0,16.0,1.0,3.0,0.0,0.0,0.0,500.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,500.0,438.0,435.0,544.0,522.0,826.0,350.0,500.0,467.0,200.0,278.0,481.0,429.0,531.0,727.0,600.0,200.0,583.0,500.0,556.0,286.0,0.0,563.0,0.0,333.0,0.0,0.0,0.0,484.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
