Jogador,Alberto Dossena,Antoine Makoumbou,Simone Scuffet,Nahitan Nández,Tommaso Augello,Gabriele Zappa,Matteo Prati,Zito Luvumbo,Alessandro Deiola,Ibrahim Sulemana,Yerry Mina,Gianluca Lapadula,Andrea Petagna,Jakub Jankto,Pantelis Hatzidiakos,Edoardo Goldaniga,Nicolas Viola,Gaetano Oristanio,Mateusz Wieteska,Adam Obert,Eldor Shomurodov,Gianluca Gaetano,Paulo Azzi,Boris Radunović,Leonardo Pavoletti,Marco Mancosu,Alessandro Di Pardo,Kingstone Mutandwa,Simone Aresti,Elio Capradossi,Jacopo Desogus,Christos Kourfalidis,Gastón Pereiro,Velizar-Ilia Svetozarov Iliev,Alessandro Vinciguerra
Pos.,ZG,LT,G,"LT,ZG",ZG,ZG,LT,"AT,LT",LT,LT,ZG,AT,AT,"LT,AT",ZG,ZG,"LT,AT","AT,LT",ZG,ZG,"AT,LT","AT,LT","ZG,LT",G,AT,"LT,AT","ZG,LT","AT,LT",G,ZG,AT,LT,"AT,LT",G,AT
Idade,24.0,25.0,27.0,27.0,28.0,23.0,19.0,21.0,27.0,20.0,28.0,33.0,28.0,27.0,26.0,29.0,33.0,20.0,26.0,20.0,28.0,23.0,29.0,27.0,34.0,34.0,24.0,20.0,37.0,27.0,20.0,20.0,28.0,18.0,17.0
MP,35,32,31,33,32,38,26,30,27,21,14,23,18,18,13,13,26,25,19,17,22,11,25,7,19,6,15,5,1,0,0,0,0,0,0
Inícios,33,32,31,29,28,25,19,19,19,16,14,14,13,13,13,12,11,11,10,10,10,10,9,7,5,3,2,0,0,0,0,0,0,0,0
Min.,2.977,2.702,2.789,2.341,2.418,2.561,1.972,1.946,1.608,1.339,1.215,1.205,995.0,872.0,856.0,1.011,1.207,1.104,965.0,941.0,936.0,745.0,950.0,630.0,628.0,156.0,359.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.1,30.0,31.0,26.0,26.9,28.5,21.9,21.6,17.9,14.9,13.5,13.4,11.1,9.7,9.5,11.2,13.4,12.3,10.7,10.5,10.4,8.3,10.6,7.0,7.0,1.7,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,0.0,0.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,1.0,0.0,5.0,2.0,4.0,2.0,9.0,1.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,7.0,3.0,1.0,0.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,5.0,5.0,3.0,7.0,5.0,2.0,4.0,5.0,7.0,4.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.2,0.7,0.0,3.7,0.5,1.5,2.0,4.0,2.5,0.8,1.3,4.8,1.6,1.5,0.4,0.5,3.4,1.8,0.3,0.1,3.5,1.3,1.2,0.0,2.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.2,0.7,0.0,2.9,0.5,1.5,2.0,4.0,2.5,0.8,0.5,4.1,1.6,1.5,0.4,0.5,2.6,1.8,0.3,0.1,3.5,0.5,1.2,0.0,2.6,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,2.1,0.9,0.0,2.5,2.0,3.3,0.8,3.1,0.9,0.1,0.0,1.1,1.0,0.5,0.0,0.1,3.9,1.1,0.6,0.9,1.7,1.3,0.7,0.0,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,43.0,16.0,0.0,55.0,25.0,48.0,28.0,71.0,34.0,9.0,5.0,51.0,26.0,19.0,4.0,7.0,65.0,28.0,9.0,11.0,52.0,18.0,19.0,0.0,29.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,9.0,37.0,0.0,57.0,62.0,35.0,8.0,85.0,9.0,15.0,4.0,8.0,11.0,12.0,3.0,9.0,22.0,25.0,16.0,14.0,12.0,17.0,47.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,89.0,137.0,1.0,76.0,96.0,99.0,66.0,21.0,64.0,27.0,23.0,4.0,14.0,26.0,34.0,50.0,57.0,26.0,33.0,37.0,18.0,41.0,35.0,0.0,16.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
