Jogador,Luca Valzania,Matteo Bianchetti,Michele Castagnetti,Emanuele Valeri,Gianluca Gaetano,Daniel Ciofani,Nadir Zortea,Emanuele Terranova,Marco Carnesecchi,Samuel Gustafson,Alessandro Fiordaliso,Luca Ravanelli,Cristian Buonaiuto,Luca Strizzolo,Paolo Bartolomei,Marco Pinato,Jaime Báez,Giacomo Volpe,Enrico Alfonso,Žan Celar,Filippo Nardi,Alessandro Crescenzi,Francesco Deli,Fabio Ceravolo,Luca Coccolo,Matteo Ghisolfi,Michele Fornasier,Andrea Zaccagno,Lorenzo Colombo,Leonardo Bia,Lorenzo Bernasconi,Stefano Cella,Emanuele De Bono,Stefano Girelli,Matteo Scarduzio,Luca Schirone
Pos.,"LT,AT",ZG,LT,ZG,"LT,AT",AT,"ZG,LT",ZG,G,LT,ZG,ZG,"AT,LT",AT,LT,"LT,AT","AT,LT",G,G,"AT,LT","LT,AT",ZG,"LT,AT","AT,LT",ZG,"LT,AT",ZG,G,"AT,LT",AT,ZG,LT,G,LT,G,LT
Idade,24.0,27.0,30.0,21.0,20.0,35.0,21.0,33.0,20.0,25.0,21.0,23.0,27.0,28.0,30.0,25.0,25.0,24.0,32.0,21.0,22.0,28.0,26.0,33.0,22.0,18.0,26.0,23.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,17.0
MP,37,35,32,33,34,37,29,23,20,33,20,20,31,26,16,24,18,9,8,27,17,8,13,20,3,5,1,1,13,1,0,0,0,0,0,0
Inícios,37,35,28,26,24,23,22,22,20,19,19,17,17,17,13,12,12,9,8,7,6,6,6,5,3,3,1,1,0,0,0,0,0,0,0,0
Min.,2.973,3.15,2.342,2.48,1.892,2.13,2.003,1.974,1.798,1.967,1.618,1.582,1.381,1.344,1.018,1.242,1.096,810.0,720.0,1.091,611.0,436.0,430.0,569.0,270.0,160.0,90.0,90.0,317.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.0,35.0,26.0,27.6,21.0,23.7,22.3,21.9,20.0,21.9,18.0,17.6,15.3,14.9,11.3,13.8,12.2,9.0,8.0,12.1,6.8,4.8,4.8,6.3,3.0,1.8,1.0,1.0,3.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Gols,5.0,0.0,1.0,2.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,1.0,3.0,3.0,8.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,9.0,1.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,5.0,0.0,1.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
