Jogador,Marco Carnesecchi,Leonardo Sernicola,Gianluca Gaetano,Caleb Okoli,Matteo Bianchetti,Michele Castagnetti,Nicolò Fagioli,Emanuele Valeri,Luca Zanimacchia,Cristian Buonaiuto,Jaime Báez,Daniel Ciofani,Luca Valzania,Samuel Di Carmine,Luca Ravanelli,Alessandro Crescenzi,Luca Strizzolo,Paolo Bartolomei,Andrea Meroni,Luca Vido,Tiago Casasola,Hamza Rafia,Cedric Gondo,Mouhamadou Sarr,Alessandro Fiordaliso,Francesco Deli,Filippo Nardi,Dennis Politic,Federico Agazzi,Enrico Alfonso,Dorian Ciężkowski,Riccardo Collodel,Christian Dalle Mura,Daniel Frey,Davide Peschieri,Emanuele Terranova,Marco Zunno
Pos.,G,ZG,"LT,AT",ZG,ZG,LT,LT,ZG,AT,"AT,LT","AT,ZG",AT,LT,AT,ZG,ZG,"AT,LT",LT,ZG,"AT,LT",ZG,"LT,AT","AT,LT",G,ZG,"LT,AT",LT,"ZG,LT",G,G,G,LT,ZG,LT,G,ZG,ZG
Idade,21.0,24.0,21.0,20.0,28.0,31.0,20.0,22.0,23.0,28.0,26.0,36.0,25.0,32.0,24.0,29.0,29.0,31.0,24.0,24.0,25.0,22.0,24.0,24.0,22.0,27.0,23.0,21.0,19.0,33.0,20.0,22.0,19.0,19.0,17.0,34.0,20.0
MP,36,33,35,27,27,30,33,29,36,30,34,35,28,31,17,21,22,20,8,14,9,12,15,3,3,8,4,3,0,0,0,0,0,0,0,0,0
Inícios,36,31,28,27,27,26,26,25,25,20,19,18,18,15,15,11,11,10,6,6,6,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.173,2.803,2.437,2.385,2.379,2.183,2.182,2.249,2.184,1.725,2.019,1.724,1.629,1.475,1.4,938.0,834.0,874.0,550.0,479.0,442.0,347.0,510.0,247.0,138.0,139.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.3,31.1,27.1,26.5,26.4,24.3,24.2,25.0,24.3,19.2,22.4,19.2,18.1,16.4,15.6,10.4,9.3,9.7,6.1,5.3,4.9,3.9,5.7,2.7,1.5,1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,4.0,8.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,2.0,1.0,5.0,1.0,1.0,3.0,7.0,1.0,5.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,1.0,12.0,1.0,1.0,3.0,10.0,4.0,13.0,12.0,7.0,9.0,3.0,6.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,4.0,6.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,8.0,4.0,6.0,6.0,10.0,6.0,8.0,4.0,1.0,4.0,2.0,6.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,0.6,7.2,0.4,0.6,0.9,3.2,1.4,6.4,6.1,4.6,7.6,0.7,7.5,1.5,0.5,3.2,0.4,0.0,1.6,0.9,0.7,0.8,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,0.6,7.2,0.4,0.6,0.9,2.4,1.4,5.7,6.1,4.6,5.3,0.7,6.0,1.5,0.5,3.2,0.4,0.0,1.6,0.9,0.7,0.8,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.8,1.1,2.7,0.1,1.3,1.7,3.4,2.5,4.2,5.3,3.6,1.4,1.1,1.8,0.1,0.2,2.0,1.5,0.0,1.0,0.4,0.5,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,8.0,17.0,99.0,5.0,19.0,27.0,58.0,39.0,99.0,114.0,82.0,67.0,18.0,78.0,16.0,7.0,52.0,19.0,0.0,25.0,13.0,13.0,18.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,51.0,66.0,9.0,16.0,18.0,45.0,80.0,103.0,80.0,54.0,5.0,23.0,17.0,2.0,25.0,18.0,13.0,1.0,9.0,7.0,7.0,10.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,108.0,140.0,73.0,85.0,177.0,123.0,98.0,61.0,66.0,100.0,23.0,84.0,28.0,56.0,44.0,21.0,50.0,15.0,13.0,24.0,11.0,15.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,67.0,126.0,2.0,2.0,23.0,53.0,114.0,193.0,154.0,184.0,87.0,48.0,109.0,4.0,24.0,60.0,20.0,1.0,37.0,16.0,21.0,46.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,0.0,26.0,0.0,0.0,0.0,12.0,12.0,33.0,42.0,18.0,42.0,6.0,31.0,0.0,0.0,43.0,0.0,0.0,56.0,20.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
