Jogador,Emanuele Valeri,Charles Pickel,Soualiho Meïté,Marco Carnesecchi,Leonardo Sernicola,David Okereke,Matteo Bianchetti,Luka Lochoshvili,Johan Vásquez,Cyriel Dessers,Emanuel Aiwum,Michele Castagnetti,Frank Tsadjout,Vlad Chiricheș,Alex Ferrari,Marco Benassi,Daniel Ciofani,Pablo Galdames Millán,Ionuț Radu,Luca Zanimacchia,Paolo Ghiglione,Cristian Buonaiuto,Felix Afena-Gyan,Santiago Ascacíbar,Gonzalo Escalante,Giacomo Quagliata,Jack Hendry,Mouhamadou Sarr,Jaime Báez,Samuel Di Carmine,Tommaso Milanese,Alberto Basso,Christian Acella,Dorian Ciężkowski,Maissa Ndiaye,Luca Ravanelli,Gianluca Saro
Pos.,ZG,LT,LT,G,ZG,"AT,LT",ZG,ZG,ZG,AT,ZG,LT,AT,ZG,ZG,LT,AT,LT,G,"LT,AT",ZG,"LT,AT","AT,LT",LT,LT,ZG,ZG,G,ZG,"AT,LT",LT,LT,LT,G,ZG,ZG,G
Idade,23.0,25.0,28.0,22.0,25.0,24.0,29.0,24.0,23.0,27.0,21.0,32.0,23.0,32.0,28.0,27.0,37.0,25.0,25.0,24.0,25.0,29.0,19.0,25.0,29.0,22.0,27.0,25.0,27.0,33.0,20.0,18.0,20.0,21.0,20.0,25.0,22.0
MP,37,33,31,27,32,33,25,25,25,26,23,27,20,16,16,15,32,13,9,15,15,29,23,13,9,20,4,2,2,2,2,1,1,0,0,0,0
Inícios,31,30,28,27,27,25,22,22,19,19,17,14,14,14,13,11,10,10,9,9,8,7,7,7,7,6,2,2,1,0,0,0,0,0,0,0,0
Min.,2.785,2.483,2.366,2.43,2.317,2.266,2.132,1.839,1.813,1.587,1.653,1.412,1.051,983.0,1.007,998.0,1.06,734.0,810.0,746.0,711.0,980.0,817.0,727.0,555.0,699.0,220.0,180.0,96.0,28.0,27.0,16.0,15.0,0.0,0.0,0.0,0.0
90s,30.9,27.6,26.3,27.0,25.7,25.2,23.7,20.4,20.1,17.6,18.4,15.7,11.7,10.9,11.2,11.1,11.8,8.2,9.0,8.3,7.9,10.9,9.1,8.1,6.2,7.8,2.4,2.0,1.1,0.3,0.3,0.2,0.2,0.0,0.0,0.0,0.0
Gols,2.0,1.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,1.0,2.0,1.0,4.0,7.0,1.0,3.0,1.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,1.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
