Jogador,Leonardo Sernicola,Matteo Bianchetti,Franco Vázquez,Michele Castagnetti,Valentin Antov,Luca Zanimacchia,Massimo Coda,Luca Ravanelli,Michele Collocolo,Andreas Jungdal,Luka Lochoshvili,Charles Pickel,Mouhamadou Sarr,Cesar Falletti,Gonzalo Abrego,Paolo Ghiglione,Dennis Johnsen,Giacomo Quagliata,Cristian Buonaiuto,Žan Majer,Gianluca Saro,Frank Tsadjout,David Okereke,Andrea Bertolacci,Luca Marrone,Daniel Ciofani,Felix Afena-Gyan,Alessandro Tuia,Guido Rovere,Nikola Sekulov,Yuri Rocchetti,Emanuel Aiwum,Thomas Brahja,Alessio Brambilla,Cedric Gondo,Alessandro Livieri,Tommaso Milanese,Luca Valzania
Pos.,ZG,ZG,"AT,LT",LT,ZG,ZG,AT,ZG,LT,G,ZG,LT,G,"LT,AT",LT,ZG,"LT,AT",ZG,"LT,AT",LT,G,"AT,LT","AT,LT",LT,ZG,"AT,ZG","AT,LT",ZG,LT,ZG,AT,ZG,G,LT,AT,G,LT,LT
Idade,26.0,30.0,34.0,33.0,22.0,25.0,34.0,26.0,23.0,21.0,25.0,26.0,26.0,30.0,23.0,26.0,25.0,23.0,30.0,31.0,23.0,24.0,25.0,32.0,33.0,38.0,20.0,33.0,16.0,21.0,20.0,22.0,18.0,22.0,26.0,26.0,21.0,27.0
MP,36,33,35,35,31,35,35,27,27,18,22,27,12,17,22,24,12,30,18,22,8,22,17,6,2,13,7,4,1,1,1,0,0,0,0,0,0,0
Inícios,31,31,31,30,30,30,29,27,20,18,17,16,12,12,11,11,10,9,9,8,8,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Min.,2.749,2.744,2.501,2.641,2.638,2.348,2.38,2.174,1.709,1.62,1.691,1.453,1.08,912.0,1.102,927.0,853.0,1.154,756.0,772.0,720.0,797.0,567.0,260.0,180.0,237.0,233.0,152.0,27.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,30.5,30.5,27.8,29.3,29.3,26.1,26.4,24.2,19.0,18.0,18.8,16.1,12.0,10.1,12.2,10.3,9.5,12.8,8.4,8.6,8.0,8.9,6.3,2.9,2.0,2.6,2.6,1.7,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,2.0,3.0,4.0,1.0,2.0,16.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,5.0,0.0,7.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,2.0,10.0,5.0,2.0,4.0,18.0,4.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,2.0,3.0,4.0,1.0,2.0,12.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,9.0,9.0,6.0,7.0,3.0,2.0,5.0,6.0,0.0,6.0,10.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0,9.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.5,0.7,5.5,1.6,1.1,3.3,16.5,2.2,2.4,0.0,1.6,3.3,0.0,2.2,1.4,0.6,2.4,0.6,1.7,0.5,0.0,2.7,1.3,0.2,0.0,1.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.5,0.7,5.5,1.6,1.1,3.3,13.4,2.2,2.4,0.0,1.6,3.3,0.0,2.2,1.4,0.6,2.4,0.6,1.7,0.5,0.0,2.7,1.3,0.2,0.0,1.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,4.9,0.5,4.2,3.3,1.4,4.2,2.8,0.3,1.9,0.0,0.5,1.7,0.0,1.6,0.5,2.1,1.8,2.8,1.4,0.4,0.0,2.9,0.5,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,74.0,11.0,96.0,49.0,25.0,76.0,162.0,24.0,43.0,0.0,22.0,50.0,0.0,38.0,19.0,27.0,41.0,34.0,31.0,9.0,0.0,55.0,17.0,4.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,139.0,29.0,66.0,36.0,58.0,121.0,33.0,5.0,58.0,0.0,13.0,13.0,0.0,34.0,19.0,26.0,46.0,39.0,34.0,17.0,0.0,12.0,20.0,6.0,0.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,120.0,162.0,255.0,233.0,191.0,73.0,55.0,87.0,77.0,0.0,89.0,78.0,0.0,79.0,70.0,45.0,27.0,47.0,49.0,53.0,0.0,14.0,15.0,26.0,2.0,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,253.0,22.0,152.0,47.0,28.0,252.0,210.0,9.0,98.0,0.0,12.0,74.0,0.0,73.0,60.0,100.0,81.0,109.0,81.0,8.0,0.0,61.0,60.0,4.0,0.0,17.0,35.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,3.0,7.0,11.0,14.0,3.0,8.0,61.0,12.0,21.0,0.0,0.0,19.0,0.0,10.0,8.0,19.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,16.0,0.0,25.0,3.0,3.0,8.0,8.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,21.0,16.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,20.0,7.0,36.0,17.0,7.0,15.0,68.0,17.0,21.0,0.0,0.0,31.0,0.0,10.0,8.0,29.0,42.0,16.0,0.0,0.0,0.0,34.0,48.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,3.0,7.0,11.0,14.0,3.0,8.0,45.0,12.0,21.0,0.0,0.0,19.0,0.0,10.0,8.0,19.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,20.0,7.0,36.0,17.0,7.0,15.0,53.0,17.0,21.0,0.0,0.0,31.0,0.0,10.0,8.0,29.0,42.0,16.0,0.0,0.0,0.0,34.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,8.0,2.0,20.0,5.0,4.0,13.0,63.0,9.0,13.0,0.0,9.0,20.0,0.0,22.0,11.0,6.0,25.0,5.0,20.0,6.0,0.0,30.0,20.0,5.0,0.0,72.0,25.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,16.0,1.0,15.0,11.0,5.0,16.0,11.0,1.0,10.0,0.0,3.0,11.0,0.0,16.0,4.0,20.0,19.0,22.0,17.0,5.0,0.0,32.0,7.0,9.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,24.0,4.0,35.0,17.0,9.0,29.0,73.0,10.0,23.0,0.0,12.0,31.0,0.0,38.0,15.0,26.0,44.0,27.0,37.0,11.0,0.0,62.0,28.0,15.0,0.0,83.0,31.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,8.0,2.0,20.0,5.0,4.0,13.0,51.0,9.0,13.0,0.0,9.0,20.0,0.0,22.0,11.0,6.0,25.0,5.0,20.0,6.0,0.0,30.0,20.0,5.0,0.0,42.0,25.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,24.0,4.0,35.0,17.0,9.0,29.0,61.0,10.0,23.0,0.0,12.0,31.0,0.0,38.0,15.0,26.0,44.0,27.0,37.0,11.0,0.0,62.0,28.0,15.0,0.0,53.0,31.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,31.0,34.0,51.0,67.0,48.0,33.0,10.0,48.0,36.0,0.0,30.0,26.0,0.0,10.0,30.0,11.0,11.0,11.0,18.0,11.0,0.0,6.0,7.0,5.0,2.0,0.0,6.0,7.0,1.0,1.0,0.0,551.0,573.0,0.0,0.0,0.0,0.0,0.0
