Jogador,Leo Štulac,Alberto Brignoli,Leonardo Mancuso,Simone Romagnoli,Nicolas Haas,Dimitris Nikolaou,Nedim Bajrami,Riccardo Fiamozzi,Andrea La Mantia,Nicolò Casale,Samuele Ricci,Fabiano Parisi,Aleksa Terzić,Szymon Żurkowski,Filippo Bandinelli,Stefano Moreo,Ryder Matos,Stefano Sabelli,Marco Olivieri,Jacopo Furlan,Giovanni Crociata,Samuele Damiani,Andrea Cambiaso,Roberto Pirrello,Mattia Viti,Kevin Piscopo,Tommaso Fantacci,Luca Antonelli,Kristjan Asllani,Tommaso Baldanzi,Luca Belardinelli,Valerio Biagini,Davide Merola,Leandro Pratelli,Ivan Provedel,Davide Zappella
Pos.,LT,G,AT,ZG,LT,ZG,LT,ZG,AT,ZG,LT,ZG,ZG,LT,LT,"LT,AT",AT,ZG,AT,G,LT,LT,ZG,"ZG,AT",ZG,AT,LT,"ZG,LT",LT,LT,LT,G,AT,G,G,ZG
Idade,25.0,28.0,28.0,30.0,24.0,21.0,21.0,27.0,29.0,22.0,18.0,19.0,20.0,22.0,25.0,27.0,27.0,27.0,21.0,27.0,22.0,22.0,20.0,24.0,18.0,22.0,23.0,33.0,18.0,17.0,19.0,16.0,20.0,17.0,26.0,22.0
MP,36,33,37,31,34,29,36,26,34,24,34,20,21,25,18,31,28,12,29,5,12,19,7,6,2,1,1,0,0,0,0,0,0,0,0,0
Inícios,36,33,32,31,29,27,25,24,23,20,19,19,18,14,14,12,11,10,8,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.108,2.97,2.657,2.749,2.629,2.422,2.147,2.131,2.027,1.853,1.656,1.644,1.65,1.262,1.159,1.351,1.023,875.0,783.0,450.0,324.0,339.0,152.0,118.0,93.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.5,33.0,29.5,30.5,29.2,26.9,23.9,23.7,22.5,20.6,18.4,18.3,18.3,14.0,12.9,15.0,11.4,9.7,8.7,5.0,3.6,3.8,1.7,1.3,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,0.0,20.0,1.0,4.0,0.0,5.0,0.0,11.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,7.0,0.0,4.0,1.0,4.0,0.0,8.0,3.0,3.0,0.0,4.0,2.0,1.0,0.0,5.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,10.0,0.0,24.0,2.0,8.0,0.0,13.0,3.0,14.0,1.0,6.0,3.0,1.0,2.0,5.0,4.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,0.0,18.0,1.0,4.0,0.0,5.0,0.0,11.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,1.0,6.0,4.0,9.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.6,0.0,16.3,1.1,4.3,0.1,5.6,0.2,13.7,1.6,1.5,0.6,0.6,2.3,1.7,5.3,4.3,0.2,3.3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.6,0.0,13.0,1.1,4.3,0.1,5.6,0.2,13.7,1.6,1.5,0.6,0.6,2.3,1.7,5.3,3.5,0.2,2.5,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,6.3,0.0,5.1,0.9,4.2,0.1,6.5,2.6,3.1,0.6,2.8,3.2,1.4,0.6,1.7,1.7,2.7,1.6,1.0,0.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,89.0,0.0,181.0,20.0,84.0,2.0,121.0,28.0,169.0,22.0,44.0,38.0,20.0,29.0,35.0,70.0,62.0,18.0,35.0,0.0,14.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,56.0,0.0,62.0,28.0,62.0,40.0,123.0,73.0,11.0,33.0,52.0,72.0,67.0,47.0,47.0,30.0,47.0,25.0,25.0,0.0,13.0,6.0,8.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,281.0,0.0,67.0,150.0,170.0,114.0,113.0,157.0,41.0,80.0,87.0,120.0,70.0,58.0,63.0,41.0,23.0,51.0,21.0,0.0,20.0,35.0,5.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,41.0,0.0,235.0,6.0,170.0,0.0,233.0,126.0,131.0,17.0,102.0,83.0,80.0,78.0,110.0,80.0,126.0,25.0,78.0,0.0,29.0,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,9.0,0.0,68.0,3.0,14.0,0.0,21.0,0.0,49.0,5.0,11.0,5.0,0.0,14.0,0.0,27.0,62.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,20.0,0.0,14.0,3.0,14.0,0.0,34.0,13.0,13.0,0.0,22.0,11.0,5.0,0.0,39.0,0.0,26.0,31.0,11.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,29.0,0.0,81.0,7.0,27.0,0.0,54.0,13.0,62.0,5.0,33.0,16.0,5.0,14.0,39.0,27.0,88.0,31.0,69.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,9.0,0.0,61.0,3.0,14.0,0.0,21.0,0.0,49.0,5.0,11.0,5.0,0.0,14.0,0.0,27.0,53.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,29.0,0.0,75.0,7.0,27.0,0.0,54.0,13.0,62.0,5.0,33.0,16.0,5.0,14.0,39.0,27.0,79.0,31.0,57.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,7.0,0.0,55.0,4.0,15.0,0.0,24.0,1.0,61.0,8.0,8.0,3.0,3.0,16.0,13.0,36.0,38.0,2.0,38.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,18.0,0.0,17.0,3.0,14.0,0.0,27.0,11.0,14.0,3.0,15.0,18.0,7.0,5.0,13.0,11.0,24.0,17.0,11.0,0.0,29.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,26.0,0.0,73.0,7.0,29.0,1.0,51.0,12.0,75.0,11.0,24.0,21.0,11.0,21.0,27.0,47.0,62.0,18.0,49.0,0.0,40.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,7.0,0.0,44.0,4.0,15.0,0.0,24.0,1.0,61.0,8.0,8.0,3.0,3.0,16.0,13.0,36.0,31.0,2.0,29.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,26.0,0.0,61.0,7.0,29.0,1.0,51.0,12.0,75.0,11.0,24.0,21.0,11.0,21.0,27.0,47.0,55.0,18.0,40.0,0.0,40.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,62.0,0.0,8.0,24.0,63.0,24.0,13.0,16.0,10.0,35.0,36.0,30.0,33.0,32.0,19.0,18.0,6.0,22.0,3.0,1.0,5.0,4.0,2.0,4.0,1.0,0.0,0.0,471.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,40.0,0.0,3.0,13.0,37.0,20.0,6.0,9.0,7.0,23.0,20.0,17.0,19.0,16.0,8.0,9.0,3.0,14.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,280.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
