Jogador,Guglielmo Vicario,Andrea Pinamonti,Petar Stojanović,Szymon Żurkowski,Filippo Bandinelli,Nedim Bajrami,Liam Henderson,Sebastiano Luperto,Samuele Ricci,Simone Romagnoli,Federico Di Francesco,Mattia Viti,Fabiano Parisi,Riccardo Marchizza,Patrick Cutrone,Kristjan Asllani,Ardian Ismajli,Nicolas Haas,Lorenzo Tonelli,Leo Štulac,Riccardo Fiamozzi,Liberato Cacace,Leonardo Mancuso,Valerio Verre,Andrea La Mantia,Marco Benassi,Tommaso Baldanzi,Giovanni Crociata,Valerio Biagini,Alberto Brignoli,Simone Canestrelli,Samuele Damiani,Duccio Degl'Innocenti,Emmanuel Ekong,Jacopo Fazzini,Jacopo Furlan,Klemen Hvalič,Leonardo Pezzola,Alessio Rizza,Samir Ujkani
Pos.,G,AT,ZG,LT,LT,"LT,AT",LT,ZG,LT,ZG,"AT,LT",ZG,ZG,ZG,AT,LT,ZG,LT,ZG,LT,ZG,ZG,AT,LT,"AT,LT",LT,AT,AT,G,G,ZG,LT,LT,AT,LT,G,G,ZG,ZG,G
Idade,24.0,22.0,25.0,23.0,26.0,22.0,25.0,24.0,19.0,31.0,27.0,19.0,20.0,23.0,23.0,19.0,24.0,25.0,31.0,26.0,28.0,20.0,29.0,27.0,30.0,26.0,18.0,23.0,17.0,29.0,20.0,23.0,18.0,19.0,18.0,28.0,19.0,19.0,18.0,33.0
MP,38,36,33,35,35,35,38,24,21,19,26,20,25,19,28,23,20,16,14,23,10,10,8,8,18,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,38,32,32,29,24,23,23,22,17,17,17,16,16,16,15,14,13,11,8,8,7,5,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,2.869,2.735,2.307,1.955,2.054,2.02,1.958,1.53,1.497,1.367,1.491,1.477,1.346,1.401,1.353,1.272,1.001,870.0,833.0,620.0,466.0,425.0,310.0,488.0,382.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,31.9,30.4,25.6,21.7,22.8,22.4,21.8,17.0,16.6,15.2,16.6,16.4,15.0,15.6,15.0,14.1,11.1,9.7,9.3,6.9,5.2,4.7,3.4,5.4,4.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,13.0,1.0,6.0,2.0,6.0,2.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,2.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,15.0,2.0,8.0,5.0,11.0,5.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,9.0,1.0,6.0,2.0,3.0,2.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
