Jogador,Sebastiano Luperto,Fabiano Parisi,Guglielmo Vicario,Răzvan Marin,Filippo Bandinelli,Tommaso Baldanzi,Ardian Ismajli,Tyronne Ebuehi,Francesco Caputo,Martin Satriano,Petar Stojanović,Jean-Daniel Akpa-Akpro,Alberto Grassi,Nicolò Cambiaghi,Nicolas Haas,Koni De Winter,Liam Henderson,Sam Lammers,Nedim Bajrami,Jacopo Fazzini,Samuele Perisan,Sebastian Walukiewicz,Mattia Destro,Roberto Piccoli,Liberato Cacace,Marko Pjaca,Emanuel Vignato,Emmanuel Ekong,Lorenzo Tonelli,Samir Ujkani,Duccio Degl'Innocenti,Herculano Nabian,Samuele Angori,Giovanni Crociata,Gabriele Guarino,Lorenzo Ignacchiti,Gabriele Indragoli,Gian Marco Fantoni,Davide Merola,Alessandro Renzi,Jacopo Seghetti,Lovro Štubljar,Leo Štulac
Pos.,ZG,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,ZG,"LT,AT",LT,"AT,LT",LT,ZG,LT,AT,"LT,AT",LT,G,ZG,"AT,LT",AT,ZG,"LT,AT","LT,AT","AT,LT",ZG,G,LT,LT,ZG,LT,ZG,LT,ZG,G,AT,LT,G,G,LT
Idade,25.0,21.0,25.0,26.0,27.0,19.0,25.0,26.0,34.0,21.0,26.0,29.0,27.0,21.0,26.0,20.0,26.0,25.0,23.0,19.0,24.0,22.0,31.0,21.0,21.0,27.0,21.0,20.0,32.0,34.0,19.0,18.0,18.0,24.0,18.0,18.0,18.0,18.0,22.0,18.0,17.0,17.0,27.0
MP,36,33,31,33,35,26,25,26,21,31,27,24,25,28,24,14,25,14,19,21,7,11,17,13,12,17,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,36,33,31,28,28,24,22,22,20,20,16,16,14,12,12,12,11,10,8,8,7,6,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.135,2.83,2.783,2.538,2.263,1.772,2.094,1.923,1.708,1.705,1.53,1.356,1.194,1.285,1.156,1.024,1.007,883.0,940.0,825.0,630.0,603.0,572.0,516.0,587.0,525.0,57.0,20.0,19.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.8,31.4,30.9,28.2,25.1,19.7,23.3,21.4,19.0,18.9,17.0,15.1,13.3,14.3,12.8,11.4,11.2,9.8,10.4,9.2,7.0,6.7,6.4,5.7,6.5,5.8,0.6,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,2.0,0.0,6.0,2.0,4.0,0.0,6.0,9.0,3.0,1.0,2.0,0.0,7.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
