Jogador,Sebastiano Luperto,Youssef Maleh,Nicolò Cambiaghi,Elia Caprile,Sebastian Walukiewicz,Ardian Ismajli,Alberto Grassi,Bartosz Bereszyński,Emmanuel Gyasi,Răzvan Marin,Liberato Cacace,Matteo Cancellieri,Francesco Caputo,Etrit Berisha,Jacopo Fazzini,Giuseppe Pezzella,Tyronne Ebuehi,Szymon Żurkowski,Alberto Cerri,Simone Bastoni,Tommaso Baldanzi,M'Baye Niang,Filippo Ranocchia,Viktor Kovalenko,Steven Shpendi,Mattia Destro,Daniel Maldini,Nicolas Haas,Samuele Perisan,Roberto Piccoli,Giacomo Corona,Emmanuel Ekong,Liam Henderson,Andrea Sodero,Saba Goglichidze,Gabriele Guarino,Gabriele Indragoli,Luca Marianucci,Jacopo Seghetti,Petar Stojanović,Lovro Štubljar,Filippo Vertua
Pos.,ZG,LT,"AT,LT",G,ZG,ZG,LT,ZG,"ZG,AT",LT,ZG,"AT,LT",AT,G,LT,ZG,ZG,LT,AT,"LT,ZG","LT,AT",AT,"LT,ZG",LT,"AT,LT","AT,LT","AT,LT",LT,G,AT,AT,AT,LT,LT,ZG,ZG,ZG,ZG,G,"ZG,LT",G,G
Idade,26.0,24.0,22.0,21.0,23.0,26.0,28.0,31.0,29.0,27.0,22.0,21.0,35.0,34.0,20.0,25.0,27.0,25.0,27.0,26.0,20.0,28.0,22.0,27.0,20.0,32.0,21.0,27.0,25.0,22.0,19.0,21.0,27.0,18.0,19.0,19.0,19.0,19.0,18.0,27.0,18.0,17.0
MP,38,34,37,23,27,26,27,24,33,30,31,36,20,14,31,19,15,13,12,16,14,14,9,17,12,15,7,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
Inícios,38,30,29,23,23,23,22,22,21,20,18,18,15,14,14,14,11,10,10,9,8,5,5,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.406,2.602,2.553,2.07,2.055,2.045,1.807,1.762,1.879,1.818,1.912,1.788,1.268,1.26,1.232,1.085,1.099,868.0,545.0,745.0,745.0,708.0,476.0,613.0,411.0,366.0,263.0,90.0,90.0,39.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.8,28.9,28.4,23.0,22.8,22.7,20.1,19.6,20.9,20.2,21.2,19.9,14.1,14.0,13.7,12.1,12.2,9.6,6.1,8.3,8.3,7.9,5.3,6.8,4.6,4.1,2.9,1.0,1.0,0.4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,7.0,3.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
