Jogador,Bartłomiej Drągowski,Nikola Milenković,Dušan Vlahović,Germán Pezzella,Cristiano Biraghi,Gaetano Castrovilli,Sofyan Amrabat,Franck Ribéry,Giacomo Bonaventura,Martín Cáceres,Erick Pulgar,Lorenzo Venuti,Lucas Martínez Quarta,Igor,Christian Kouamé,Valentin Eysseric,José Callejón,Pol Lirola,Borja Valero,Federico Ceccherini,Federico Chiesa,Pietro Terracciano,Kévin Malcuit,Alfred Duncan,Maximiliano Olivera,Antonio Barreca,Patrick Cutrone,Aleksandr Kokorin,Riccardo Saponara,Cristóbal Montiel,Alessandro Bianco,Federico Brancolini,Lorenzo Chiti,Christian Dalle Mura,Eduard Dutu,Julián Illanes,Dimo Krastev,Louis Munteanu,Fabio Ponsi,Jacopo Ricco,Antonio Rosati
Pos.,G,ZG,AT,ZG,ZG,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,AT,"LT,AT","AT,LT","ZG,AT","LT,AT",ZG,ZG,G,ZG,LT,ZG,ZG,AT,"AT,LT",LT,"LT,AT",LT,G,ZG,ZG,AT,ZG,LT,AT,ZG,G,G
Idade,22.0,22.0,20.0,29.0,27.0,23.0,23.0,37.0,30.0,33.0,26.0,25.0,24.0,22.0,22.0,28.0,33.0,22.0,35.0,28.0,22.0,30.0,29.0,27.0,28.0,25.0,22.0,29.0,28.0,20.0,17.0,19.0,19.0,18.0,19.0,23.0,17.0,18.0,19.0,17.0,37.0
MP,36,34,37,32,35,34,31,29,34,29,31,28,21,21,33,16,20,12,20,3,3,4,5,4,2,3,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0
Inícios,36,34,34,32,31,29,28,28,27,26,21,21,15,13,9,6,6,4,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.148,3.034,2.923,2.743,2.803,2.332,2.441,2.149,2.256,2.238,2.002,1.757,1.483,1.168,995.0,729.0,664.0,498.0,491.0,270.0,240.0,272.0,207.0,162.0,91.0,85.0,196.0,94.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,33.7,32.5,30.5,31.1,25.9,27.1,23.9,25.1,24.9,22.2,19.5,16.5,13.0,11.1,8.1,7.4,5.5,5.5,3.0,2.7,3.0,2.3,1.8,1.0,0.9,2.2,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,3.0,21.0,1.0,1.0,5.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,3.0,0.0,5.0,3.0,0.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,4.0,24.0,1.0,6.0,8.0,0.0,8.0,5.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,3.0,15.0,1.0,1.0,5.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,7.0,1.0,5.0,8.0,8.0,7.0,6.0,5.0,4.0,8.0,3.0,4.0,5.0,4.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,3.9,18.5,1.3,1.9,3.0,0.4,2.6,2.7,1.7,0.8,0.2,1.5,0.3,3.2,1.3,0.4,0.1,0.3,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,3.9,13.8,1.3,1.9,3.0,0.4,2.6,2.7,1.7,0.8,0.2,1.5,0.3,3.2,1.3,0.4,0.1,0.3,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
