Jogador,Cristiano Biraghi,Nikola Milenković,Pietro Terracciano,Giacomo Bonaventura,Nicolás González,Lucas Torreira,Igor,Alfred Duncan,Dušan Vlahović,Lorenzo Venuti,Álvaro Odriozola,Lucas Martínez Quarta,Gaetano Castrovilli,José Callejón,Riccardo Sottil,Riccardo Saponara,Youssef Maleh,Krzysztof Piątek,Sofyan Amrabat,Arthur Cabral,Jonathan Ikone,Bartłomiej Drągowski,Erick Pulgar,Matija Nastasić,Aleksa Terzić,Marco Benassi,Aleksandr Kokorin,Filippo Distefano,Vittorio Agostinelli,Alessandro Bianco,Michele Cerofolini,Destiny Egharevba,Filippo Frison,Louis Munteanu,Luca Ranieri,Antonio Rosati,Eljon Toci
Pos.,ZG,ZG,G,LT,AT,LT,ZG,LT,AT,ZG,ZG,ZG,LT,AT,AT,AT,LT,AT,LT,AT,AT,G,LT,ZG,ZG,"ZG,LT","AT,LT",AT,LT,LT,G,AT,ZG,AT,ZG,G,AT
Idade,28.0,23.0,31.0,31.0,23.0,25.0,23.0,28.0,21.0,26.0,25.0,25.0,24.0,34.0,22.0,29.0,22.0,26.0,24.0,23.0,23.0,23.0,27.0,28.0,21.0,26.0,30.0,17.0,19.0,18.0,22.0,18.0,19.0,19.0,22.0,38.0,18.0
MP,37,34,32,31,33,31,30,33,21,23,25,20,23,30,24,29,28,14,23,14,17,7,6,5,14,6,6,1,0,0,0,0,0,0,0,0,0
Inícios,37,34,31,28,26,26,23,21,21,20,18,16,16,16,14,13,11,9,8,8,7,7,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.153,2.926,2.862,2.266,2.357,2.195,2.242,1.931,1.857,1.571,1.733,1.431,1.391,1.298,1.239,1.284,1.019,733.0,944.0,749.0,649.0,556.0,341.0,219.0,274.0,158.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,32.5,31.8,25.2,26.2,24.4,24.9,21.5,20.6,17.5,19.3,15.9,15.5,14.4,13.8,14.3,11.3,8.1,10.5,8.3,7.2,6.2,3.8,2.4,3.0,1.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,4.0,1.0,0.0,4.0,7.0,5.0,0.0,2.0,17.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,0.0,0.0,4.0,6.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,1.0,0.0,8.0,13.0,6.0,0.0,4.0,19.0,0.0,3.0,1.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,1.0,0.0,4.0,4.0,5.0,0.0,2.0,12.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
