Jogador,Cristiano Biraghi,Pietro Terracciano,Dodô,Lucas Martínez Quarta,Jonathan Ikone,Sofyan Amrabat,Nikola Milenković,Igor,Rolando Mandragora,Christian Kouamé,Giacomo Bonaventura,Antonín Barák,Luka Jović,Arthur Cabral,Riccardo Saponara,Nicolás González,Alfred Duncan,Lorenzo Venuti,Riccardo Sottil,Aleksa Terzić,Gaetano Castrovilli,Luca Ranieri,Michele Cerofolini,Youssef Maleh,Pierluigi Gollini,Alessandro Bianco,Josip Brekalo,Marco Benassi,Salvatore Sirigu,Szymon Żurkowski,Lorenzo Amatucci,Filippo Distefano,Costantino Favasuli,Michael Kayode,Dimo Krastev,Tommaso Martinelli,Matija Nastasić,Tommaso Vannucchi
Pos.,ZG,G,ZG,ZG,AT,LT,ZG,ZG,LT,AT,LT,LT,"AT,LT",AT,AT,"AT,LT",LT,ZG,AT,ZG,LT,ZG,G,LT,G,LT,"AT,LT",ZG,G,LT,LT,AT,LT,ZG,LT,G,ZG,G
Idade,29.0,32.0,23.0,26.0,24.0,25.0,24.0,24.0,25.0,24.0,32.0,27.0,24.0,24.0,30.0,24.0,29.0,27.0,23.0,22.0,25.0,23.0,23.0,23.0,27.0,19.0,24.0,27.0,35.0,24.0,18.0,18.0,18.0,18.0,19.0,16.0,29.0,15.0
MP,33,29,33,27,33,29,27,27,29,28,30,30,31,28,29,24,25,17,18,22,15,9,5,7,3,7,6,2,1,2,0,0,0,0,0,0,0,0
Inícios,30,29,28,25,24,24,23,23,22,22,21,21,16,15,14,13,13,9,9,8,7,5,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0
Min.,2.551,2.61,2.331,2.171,2.007,1.998,2.137,2.057,1.95,1.866,1.911,1.799,1.534,1.432,1.208,1.354,1.103,924.0,833.0,935.0,718.0,508.0,450.0,297.0,270.0,153.0,229.0,93.0,90.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,28.3,29.0,25.9,24.1,22.3,22.2,23.7,22.9,21.7,20.7,21.2,20.0,17.0,15.9,13.4,15.0,12.3,10.3,9.3,10.4,8.0,5.6,5.0,3.3,3.0,1.7,2.5,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,5.0,2.0,6.0,8.0,4.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,0.0,4.0,2.0,8.0,1.0,3.0,0.0,6.0,8.0,6.0,2.0,9.0,9.0,7.0,7.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,5.0,2.0,6.0,6.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,1.0,5.0,6.0,4.0,11.0,4.0,10.0,8.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,1.8,0.0,0.7,2.5,4.1,0.5,1.9,0.5,1.5,5.3,4.3,2.6,7.9,7.9,2.8,6.7,0.5,0.4,1.0,0.4,1.2,0.1,0.0,0.6,0.0,0.1,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.1,0.0,0.7,2.5,4.1,0.5,1.9,0.5,1.5,5.3,4.3,2.6,7.1,6.3,2.8,5.4,0.5,0.4,1.0,0.4,1.2,0.1,0.0,0.6,0.0,0.1,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,5.5,0.0,2.2,0.6,3.7,1.1,0.5,0.2,4.9,3.7,3.1,1.6,1.5,0.8,3.4,1.3,0.6,0.5,1.1,1.9,1.1,0.1,0.0,0.6,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,66.0,0.0,29.0,31.0,78.0,16.0,24.0,8.0,64.0,90.0,74.0,41.0,86.0,70.0,62.0,67.0,11.0,9.0,22.0,23.0,23.0,2.0,0.0,12.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,69.0,0.0,72.0,19.0,83.0,36.0,9.0,19.0,18.0,50.0,64.0,45.0,8.0,11.0,56.0,37.0,18.0,24.0,65.0,49.0,12.0,4.0,0.0,3.0,0.0,4.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,161.0,0.0,141.0,119.0,67.0,176.0,78.0,76.0,142.0,54.0,102.0,82.0,28.0,21.0,56.0,70.0,70.0,44.0,27.0,40.0,14.0,11.0,0.0,11.0,0.0,9.0,18.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
