Jogador,Pietro Terracciano,Nikola Milenković,Cristiano Biraghi,Giacomo Bonaventura,Lucas Martínez Quarta,Alfred Duncan,Luca Ranieri,Arthur Melo,Michael Kayode,Nicolás González,Lucas Beltrán,Jonathan Ikone,Rolando Mandragora,Fabiano Parisi,M'Bala Nzola,Riccardo Sottil,Christian Kouamé,Andrea Belotti,Antonín Barák,Josip Brekalo,Maxime Lopez,Dodô,Gaetano Castrovilli,Davide Faraoni,Oliver Christensen,Tommaso Martinelli,Gino Infantino,Yerry Mina,Pietro Comuzzo,Lorenzo Amatucci,Sofyan Amrabat,Christian Biagetti,Christian Dalle Mura,Maat Daniel Caprini,Niccolò Fortini,Luka Jović,Aleksandr Kokorin,Niccolò Pierozzi,Abdelhamid Sabiri,Fallou Sene,Tommaso Vannucchi
Pos.,G,ZG,ZG,LT,ZG,LT,ZG,LT,ZG,AT,"AT,LT",AT,LT,ZG,AT,AT,AT,AT,"LT,AT",AT,LT,ZG,"AT,LT",ZG,G,G,LT,"ZG,LT","ZG,AT",LT,LT,ZG,ZG,AT,LT,AT,"AT,LT",ZG,LT,AT,G
Idade,33.0,25.0,30.0,33.0,27.0,30.0,24.0,26.0,19.0,25.0,22.0,25.0,26.0,22.0,26.0,24.0,25.0,29.0,28.0,25.0,25.0,24.0,26.0,31.0,24.0,17.0,20.0,28.0,18.0,19.0,26.0,19.0,21.0,17.0,17.0,25.0,32.0,21.0,26.0,18.0,16.0
MP,33,34,29,31,29,30,26,33,26,29,32,28,33,21,33,22,23,15,21,11,19,9,6,8,4,1,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0
Inícios,33,27,27,27,26,24,23,23,22,21,21,18,16,16,15,13,11,11,8,8,7,7,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.97,2.51,2.356,2.277,2.291,1.888,2.065,1.986,2.058,1.913,1.692,1.682,1.588,1.454,1.552,1.103,1.089,949.0,808.0,652.0,800.0,523.0,367.0,392.0,360.0,90.0,96.0,44.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.0,27.9,26.2,25.3,25.5,21.0,22.9,22.1,22.9,21.3,18.8,18.7,17.6,16.2,17.2,12.3,12.1,10.5,9.0,7.2,8.9,5.8,4.1,4.4,4.0,1.0,1.1,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,2.0,8.0,5.0,2.0,2.0,2.0,1.0,12.0,6.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,5.0,3.0,1.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,0.0,7.0,11.0,6.0,7.0,3.0,5.0,2.0,14.0,8.0,4.0,6.0,1.0,6.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,2.0,8.0,5.0,2.0,2.0,1.0,1.0,11.0,5.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
