Jogador,Francesco Bardi,Francesco Zampano,Raffaele Maiello,Nicolò Brighenti,Przemysław Szymiński,Marcus Rohdén,Grigoris Kastanos,Andrija Novakovich,Alessandro Salvi,Lorenzo Ariaudo,Camillo Ciano,Marcos Curado,Piotr Parzyszek,Marco Capuano,Andrea Beghetto,Pietro Iemmello,Mirko Gori,Marco Carraro,Daniel Boloca,Mattia Vitale,Alessio Tribuzzi,Salvatore D'Elia,Alessandro Iacobucci,Luigi Vitale,Enrico Brignola,Federico Dionisi,Andrea Tabanelli,Matteo Ardemagni,Vincenzo Millico,Pierluca Luciani,Riccardo Baroni,Lorenzo Coccia,Pietro Giordani,Luka Krajnc,Giuseppe Marcianò,Simone Morelli,Andrea Peres,Andrea Trovato,Thomas Vettorel,Hide Vitalucci
Pos.,G,ZG,LT,ZG,ZG,LT,LT,AT,ZG,ZG,AT,ZG,AT,ZG,"ZG,AT",AT,LT,LT,LT,LT,"LT,AT",ZG,G,ZG,"ZG,AT","AT,LT",LT,AT,"AT,LT",AT,ZG,LT,ZG,ZG,G,AT,LT,G,G,LT
Idade,28.0,26.0,29.0,30.0,26.0,29.0,22.0,23.0,32.0,31.0,30.0,25.0,26.0,28.0,25.0,28.0,27.0,22.0,21.0,22.0,21.0,31.0,29.0,32.0,21.0,33.0,30.0,33.0,19.0,18.0,21.0,18.0,18.0,25.0,20.0,18.0,17.0,18.0,19.0,18.0
MP,34,35,33,30,30,32,34,33,28,20,26,16,28,14,15,17,17,21,13,10,25,14,4,9,7,9,10,1,4,1,0,0,0,0,0,0,0,0,0,0
Inícios,34,29,29,29,28,28,26,25,25,17,16,15,14,14,13,11,11,10,8,8,7,6,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.06,2.604,2.552,2.473,2.53,2.167,2.397,2.19,2.16,1.457,1.442,1.4,1.235,1.138,1.097,1.053,934.0,945.0,730.0,589.0,1.151,526.0,360.0,364.0,290.0,333.0,244.0,60.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.0,28.9,28.4,27.5,28.1,24.1,26.6,24.3,24.0,16.2,16.0,15.6,13.7,12.6,12.2,11.7,10.4,10.5,8.1,6.5,12.8,5.8,4.0,4.0,3.2,3.7,2.7,0.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,2.0,1.0,2.0,2.0,2.0,11.0,2.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,3.0,1.0,2.0,4.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,2.0,5.0,2.0,4.0,6.0,3.0,16.0,2.0,1.0,5.0,0.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,2.0,1.0,3.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,9.0,3.0,6.0,6.0,6.0,10.0,1.0,5.0,1.0,4.0,4.0,2.0,3.0,0.0,1.0,6.0,2.0,3.0,2.0,4.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,0.8,1.4,1.6,0.6,5.5,2.3,8.7,1.8,1.5,4.6,0.8,4.8,1.0,0.3,5.8,0.6,0.7,1.2,0.6,2.4,0.0,0.0,0.2,0.9,1.6,1.5,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,0.8,0.6,1.6,0.6,5.5,2.3,8.0,1.8,1.5,4.6,0.8,4.0,1.0,0.3,5.1,0.6,0.7,1.2,0.6,2.4,0.0,0.0,0.2,0.9,1.6,0.7,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,2.8,5.3,0.5,1.3,4.7,2.8,1.9,2.3,0.0,4.4,0.0,0.5,0.0,1.9,1.7,0.3,0.5,1.8,0.6,2.7,0.1,0.0,1.0,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,36.0,60.0,20.0,19.0,102.0,50.0,99.0,40.0,15.0,90.0,8.0,44.0,10.0,22.0,68.0,9.0,13.0,30.0,12.0,51.0,1.0,0.0,12.0,10.0,22.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,119.0,42.0,21.0,8.0,63.0,65.0,28.0,44.0,3.0,30.0,21.0,6.0,9.0,18.0,19.0,7.0,7.0,17.0,20.0,48.0,13.0,0.0,7.0,6.0,8.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,94.0,240.0,132.0,81.0,100.0,145.0,43.0,64.0,36.0,57.0,50.0,21.0,70.0,43.0,34.0,40.0,36.0,39.0,34.0,20.0,18.0,0.0,32.0,10.0,13.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,191.0,43.0,11.0,2.0,186.0,87.0,152.0,83.0,1.0,120.0,0.0,73.0,1.0,77.0,65.0,25.0,4.0,34.0,34.0,113.0,29.0,0.0,32.0,18.0,42.0,9.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,7.0,4.0,7.0,8.0,8.0,45.0,8.0,6.0,19.0,0.0,36.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,3.0,11.0,4.0,7.0,17.0,4.0,21.0,0.0,0.0,12.0,0.0,7.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,23.0,17.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,7.0,18.0,7.0,14.0,25.0,11.0,66.0,8.0,6.0,31.0,0.0,44.0,8.0,8.0,26.0,10.0,0.0,0.0,0.0,23.0,17.0,0.0,49.0,31.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,4.0,4.0,7.0,8.0,8.0,41.0,8.0,6.0,19.0,0.0,29.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,7.0,14.0,7.0,14.0,25.0,11.0,62.0,8.0,6.0,31.0,0.0,36.0,8.0,8.0,26.0,10.0,0.0,0.0,0.0,23.0,17.0,0.0,49.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,3.0,5.0,6.0,2.0,23.0,8.0,36.0,7.0,9.0,29.0,5.0,35.0,8.0,2.0,50.0,5.0,7.0,15.0,9.0,19.0,0.0,0.0,6.0,27.0,44.0,55.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,10.0,19.0,2.0,5.0,19.0,10.0,8.0,9.0,0.0,27.0,0.0,3.0,0.0,16.0,15.0,3.0,5.0,22.0,9.0,21.0,1.0,0.0,25.0,5.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,13.0,24.0,7.0,7.0,42.0,19.0,44.0,17.0,9.0,56.0,5.0,38.0,8.0,18.0,65.0,8.0,12.0,37.0,18.0,40.0,1.0,0.0,31.0,32.0,61.0,57.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,3.0,2.0,6.0,2.0,23.0,8.0,33.0,7.0,9.0,29.0,5.0,29.0,8.0,2.0,43.0,5.0,7.0,15.0,9.0,19.0,0.0,0.0,6.0,27.0,44.0,26.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,13.0,21.0,7.0,7.0,42.0,19.0,41.0,17.0,9.0,56.0,5.0,32.0,8.0,18.0,58.0,8.0,12.0,37.0,18.0,40.0,1.0,0.0,31.0,32.0,61.0,28.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,2.0,57.0,65.0,38.0,28.0,44.0,60.0,9.0,29.0,12.0,19.0,25.0,8.0,8.0,9.0,5.0,25.0,14.0,18.0,14.0,16.0,9.0,0.0,7.0,3.0,2.0,10.0,0.0,0.0,0.0,536.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,36.0,43.0,28.0,16.0,25.0,35.0,4.0,20.0,7.0,10.0,18.0,4.0,4.0,4.0,1.0,11.0,8.0,11.0,7.0,8.0,6.0,0.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,322.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,31.0,35.0,17.0,13.0,15.0,19.0,2.0,11.0,8.0,8.0,21.0,2.0,8.0,6.0,0.0,10.0,8.0,9.0,7.0,8.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,254.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
