Jogador,Federico Gatti,Przemysław Szymiński,Francesco Zampano,Daniel Boloca,Matteo Cotali,Camillo Ciano,Federico Ravaglia,Luca Garritano,Matteo Ricci,Alessio Zerbin,Luigi Canotto,Karlo Lulić,Marcus Rohdén,Gabriel Charpentier,Stefano Minelli,Adrian Leon Barišić,Andrija Novakovich,Tiago Casasola,Emanuele Cicerelli,Raffaele Maiello,Nicolò Brighenti,Alessio Tribuzzi,Giacomo Manzari,Mirko Gori,Sergio Kalaj,Anthony Oyono,Alessandro Selvini,Hamza Haoudi,Alessio Maestrelli,Marko Božič,Pietro Iemmello,Alexander Satariano,Federico Bevilacqua,Victor De Lucia,Lukas Klitten,Luka Koblar,Milan Kremenović,Giuseppe Marcianò,Lorenzo Palmisani,Simone Stampete,Mattia Vitale
Pos.,ZG,ZG,ZG,LT,ZG,AT,G,"LT,AT",LT,"AT,LT","AT,LT",LT,LT,AT,G,ZG,AT,ZG,"AT,LT",LT,ZG,"AT,LT","AT,LT",ZG,ZG,ZG,AT,"AT,LT",ZG,"ZG,LT",AT,"LT,ZG",ZG,G,ZG,ZG,LT,G,G,AT,LT
Idade,23.0,27.0,27.0,22.0,24.0,31.0,21.0,27.0,27.0,22.0,27.0,25.0,30.0,22.0,27.0,20.0,24.0,25.0,26.0,30.0,31.0,22.0,20.0,28.0,21.0,20.0,17.0,20.0,18.0,23.0,29.0,19.0,19.0,25.0,21.0,30.0,19.0,21.0,17.0,18.0,23.0
MP,35,32,33,36,31,33,27,32,31,31,35,26,22,22,11,12,29,11,31,13,9,28,12,3,2,2,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0
Inícios,35,32,31,30,29,29,27,27,27,26,22,18,15,12,11,9,8,7,6,6,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.085,2.856,2.727,2.644,2.544,2.227,2.43,2.248,2.248,2.069,1.823,1.54,1.184,986.0,990.0,776.0,1.153,734.0,976.0,604.0,505.0,653.0,146.0,97.0,69.0,90.0,45.0,26.0,22.0,17.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.3,31.7,30.3,29.4,28.3,24.7,27.0,25.0,25.0,23.0,20.3,17.1,13.2,11.0,11.0,8.6,12.8,8.2,10.8,6.7,5.6,7.3,1.6,1.1,0.8,1.0,0.5,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,5.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,9.0,6.0,2.0,2.0,10.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,2.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,1.0,7.0,2.0,0.0,7.0,0.0,3.0,6.0,12.0,8.0,4.0,2.0,12.0,0.0,1.0,7.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,5.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,9.0,5.0,2.0,2.0,9.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,13.0,7.0,7.0,8.0,13.0,9.0,0.0,4.0,11.0,6.0,4.0,4.0,6.0,5.0,0.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,3.5,0.9,1.6,3.1,0.4,5.8,0.0,6.7,2.4,6.6,6.5,1.2,2.1,6.7,0.0,0.0,5.7,0.2,2.4,1.1,0.4,1.6,0.2,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,3.5,0.9,1.6,3.1,0.4,4.2,0.0,5.9,1.6,6.6,5.7,1.2,2.1,5.9,0.0,0.0,5.6,0.2,2.4,0.3,0.4,1.6,0.2,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.5,1.3,3.5,3.2,0.6,5.5,0.0,3.6,2.8,2.7,3.0,0.6,0.9,1.5,0.0,0.0,2.3,1.1,1.7,1.3,0.6,1.6,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,50.0,22.0,51.0,63.0,9.0,97.0,0.0,95.0,44.0,93.0,87.0,18.0,30.0,73.0,0.0,0.0,79.0,12.0,41.0,16.0,10.0,32.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,51.0,12.0,81.0,73.0,34.0,34.0,0.0,83.0,18.0,96.0,81.0,39.0,20.0,15.0,0.0,0.0,16.0,20.0,59.0,12.0,13.0,47.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,134.0,83.0,115.0,174.0,127.0,89.0,0.0,129.0,246.0,71.0,39.0,96.0,67.0,21.0,0.0,0.0,22.0,57.0,39.0,57.0,34.0,14.0,2.0,2.0,3.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,7.0,2.0,197.0,60.0,47.0,189.0,0.0,167.0,27.0,218.0,184.0,70.0,67.0,59.0,0.0,0.0,76.0,29.0,110.0,7.0,15.0,89.0,15.0,1.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,15.0,0.0,7.0,3.0,0.0,16.0,0.0,8.0,8.0,39.0,30.0,12.0,15.0,91.0,0.0,12.0,23.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,6.0,3.0,17.0,3.0,0.0,12.0,0.0,4.0,16.0,13.0,10.0,12.0,0.0,18.0,0.0,0.0,31.0,12.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,20.0,3.0,23.0,7.0,0.0,28.0,0.0,12.0,24.0,52.0,39.0,23.0,15.0,110.0,0.0,12.0,55.0,12.0,28.0,15.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,15.0,0.0,7.0,3.0,0.0,16.0,0.0,8.0,4.0,39.0,25.0,12.0,15.0,82.0,0.0,12.0,16.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,20.0,3.0,23.0,7.0,0.0,28.0,0.0,12.0,20.0,52.0,35.0,23.0,15.0,100.0,0.0,12.0,47.0,12.0,28.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,10.0,3.0,5.0,11.0,1.0,23.0,0.0,27.0,9.0,29.0,32.0,7.0,16.0,61.0,0.0,0.0,44.0,2.0,22.0,17.0,7.0,23.0,13.0,9.0,0.0,0.0,36.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,4.0,4.0,12.0,11.0,2.0,22.0,0.0,15.0,11.0,12.0,15.0,4.0,7.0,13.0,0.0,0.0,18.0,13.0,16.0,19.0,11.0,22.0,5.0,0.0,0.0,0.0,18.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,14.0,7.0,17.0,22.0,3.0,45.0,0.0,41.0,21.0,40.0,47.0,10.0,23.0,74.0,0.0,0.0,62.0,15.0,38.0,36.0,18.0,45.0,18.0,9.0,0.0,0.0,55.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,10.0,3.0,5.0,10.0,1.0,17.0,0.0,24.0,6.0,29.0,28.0,7.0,16.0,54.0,0.0,0.0,43.0,2.0,22.0,5.0,7.0,23.0,13.0,9.0,0.0,0.0,36.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
