Jogador,Stefano Turati,Fabio Lucioni,Daniel Boloca,Marcus Rohdén,Mario Sampirisi,Luca Ravanelli,Luca Mazzitelli,Matteo Cotali,Luca Garritano,Giuseppe Caso,Luca Moro,Roberto Insigne,Samuele Mulattieri,Przemysław Szymiński,Gianluca Frabotta,Anthony Oyono,Ben Lhassine Kone,Karlo Lulić,Sergio Kalaj,Francesco Gelli,Ilario Monterisi,Jaime Báez,Gennaro Borrelli,Soufiane Bidaoui,Riccardo Ciervo,Milos Bocic,Andrea Oliveri,Leonardo Loria,Alessandro Selvini,Kalifa Kujabi,Mirko Gori,Aliou Badara Traore,Gabriele Bracaglia,Matteo Bruno,Hamza Haoudi,Giuseppe Marcianò
Pos.,G,ZG,LT,"LT,AT",ZG,ZG,LT,ZG,"LT,AT","AT,LT",AT,"AT,LT",AT,ZG,ZG,ZG,LT,LT,ZG,LT,ZG,"AT,LT",AT,AT,"AT,LT","AT,LT","LT,AT",G,AT,"LT,ZG",LT,LT,ZG,LT,LT,G
Idade,20.0,34.0,23.0,31.0,29.0,25.0,26.0,25.0,28.0,23.0,21.0,28.0,21.0,28.0,23.0,21.0,22.0,26.0,22.0,25.0,20.0,27.0,22.0,32.0,20.0,22.0,19.0,23.0,18.0,22.0,29.0,21.0,19.0,19.0,21.0,22.0
MP,37,31,31,33,28,24,25,27,34,35,33,31,29,15,22,13,19,20,9,10,11,17,23,8,13,12,8,1,1,2,1,0,0,0,0,0
Inícios,37,30,29,28,25,24,24,24,24,23,23,20,15,14,11,11,10,8,8,8,6,5,4,3,1,1,1,1,0,0,0,0,0,0,0,0
Min.,3.33,2.721,2.601,2.256,2.206,2.16,1.943,1.901,1.821,1.89,1.792,1.729,1.502,1.189,1.182,993.0,1.07,839.0,750.0,706.0,615.0,667.0,597.0,281.0,342.0,210.0,172.0,90.0,32.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,30.2,28.9,25.1,24.5,24.0,21.6,21.1,20.2,21.0,19.9,19.2,16.7,13.2,13.1,11.0,11.9,9.3,8.3,7.8,6.8,7.4,6.6,3.1,3.8,2.3,1.9,1.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Gols,0.0,4.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,9.0,6.0,8.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,0.0,6.0,0.0,0.0,5.0,2.0,5.0,3.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,5.0,2.0,9.0,0.0,0.0,8.0,2.0,8.0,12.0,6.0,10.0,16.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,4.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,9.0,6.0,7.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
