Jogador,Matìas Soulé,Caleb Okoli,Enzo Barrenechea,Stefano Turati,Simone Romagnoli,Luca Mazzitelli,Marco Brescianini,Walid Cheddira,Pol Lirola,Francesco Gelli,Ilario Monterisi,Nadir Zortea,Anthony Oyono,Emanuele Valeri,Riccardo Marchizza,Reinier,Abdou Harroui,Kaio Jorge,Michele Cerofolini,Marvin Cuni,Jaime Báez,Luca Garritano,Arijon Ibrahimović,Kevin Bonifazi,Demba Seck,Mateus Lusuardi,Mehdi Bourabia,Giuseppe Caso,Farés Ghedjemis,Giorgi Kvernadze,Gennaro Borrelli,Karlo Lulić,Luigi Canotto,Przemysław Szymiński,Pierluigi Frattali,Soufiane Bidaoui,Hamza Haoudi,Matjaž Kamenšek Pahič,Daniel Macej,Lorenzo Palmisani,İsak Vural
Pos.,"AT,LT",ZG,LT,G,ZG,LT,LT,AT,ZG,"LT,ZG",ZG,ZG,ZG,ZG,ZG,"LT,AT","LT,AT",AT,G,AT,"AT,LT","LT,ZG","AT,ZG",ZG,"AT,LT",ZG,LT,"AT,LT","AT,LT","AT,ZG",AT,LT,AT,LT,G,"AT,LT",LT,LT,ZG,G,LT
Idade,20.0,22.0,22.0,21.0,33.0,27.0,23.0,25.0,25.0,26.0,21.0,24.0,22.0,24.0,25.0,21.0,25.0,21.0,24.0,22.0,28.0,29.0,17.0,27.0,22.0,19.0,31.0,24.0,20.0,20.0,23.0,27.0,29.0,29.0,37.0,33.0,22.0,19.0,19.0,19.0,17.0
MP,36,34,36,31,33,29,36,36,25,27,24,14,16,16,13,22,18,20,8,22,11,12,16,6,11,4,10,14,6,5,1,1,1,1,0,0,0,0,0,0,0
Inícios,36,32,32,31,30,26,24,24,18,16,16,14,14,14,13,13,13,8,7,6,6,5,5,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.121,2.914,2.811,2.745,2.715,2.21,2.321,2.12,1.536,1.561,1.469,1.258,1.198,1.178,1.148,1.059,1.019,812.0,675.0,534.0,500.0,485.0,474.0,309.0,298.0,219.0,200.0,417.0,182.0,63.0,24.0,19.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.7,32.4,31.2,30.5,30.2,24.6,25.8,23.6,17.1,17.3,16.3,14.0,13.3,13.1,12.8,11.8,11.3,9.0,7.5,5.9,5.6,5.4,5.3,3.4,3.3,2.4,2.2,4.6,2.0,0.7,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,11.0,0.0,0.0,0.0,1.0,5.0,4.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,14.0,1.0,1.0,0.0,2.0,5.0,6.0,8.0,3.0,0.0,4.0,6.0,1.0,1.0,4.0,4.0,6.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,6.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,9.0,10.0,0.0,6.0,6.0,1.0,0.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,10.5,0.6,0.6,0.0,1.2,2.3,2.3,9.0,1.3,0.7,1.1,0.4,0.1,0.9,0.4,1.3,3.1,5.4,0.0,1.3,0.5,0.7,0.8,0.0,1.1,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,5.7,0.6,0.6,0.0,1.2,2.3,2.3,8.2,1.3,0.7,1.1,0.4,0.1,0.9,0.4,1.3,2.3,3.8,0.0,1.3,0.5,0.7,0.8,0.0,1.1,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,6.6,0.8,1.7,0.0,0.4,1.1,1.6,1.4,1.1,2.4,0.4,2.8,0.9,2.4,0.8,1.9,1.2,0.3,0.0,0.3,0.5,0.3,0.7,0.1,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
