Jogador,Mattia Perin,Andrea Masiello,Milan Badelj,Ivan Radovanović,Davide Zappacosta,Miha Zajc,Mattia Destro,Domenico Criscito,Edoardo Goldaniga,Kevin Strootman,Eldor Shomurodov,Marko Pjaca,Goran Pandev,Lennart-Marten Czyborra,Paolo Ghiglione,Gianluca Scamacca,Lukas Lerager,Nicolò Rovella,Cristián Zapata,Davide Biraschi,Mattia Bani,Valon Behrami,Luca Pellegrini,Stefano Sturaro,Federico Marchetti,Filippo Melegoni,Francesco Cassata,Alberto Paleari,Jérôme Onguéné,Manolo Portanova,Vittorio Parigini,Giuseppe Caso,Steeve-Mike Ebongue,Yayah Kallon,Giuseppe Agostino,Peter Ankersen,Raúl Asencio,Joel Asoro,Petar Brlek,Daniel Dumbravanu,Darian Males,Claudiu Micovschi,Lasse Schöne,Lukáš Zima
Pos.,G,ZG,LT,"ZG,LT",ZG,LT,AT,ZG,ZG,LT,AT,"AT,LT","AT,LT",ZG,"ZG,LT",AT,LT,LT,ZG,ZG,ZG,LT,"ZG,LT",LT,G,"LT,ZG","ZG,AT",G,ZG,"LT,AT","LT,ZG","ZG,AT",LT,AT,G,ZG,AT,AT,LT,ZG,LT,LT,LT,G
Idade,27.0,34.0,31.0,31.0,28.0,26.0,29.0,33.0,26.0,30.0,25.0,25.0,37.0,21.0,23.0,21.0,27.0,18.0,33.0,26.0,26.0,35.0,21.0,27.0,37.0,21.0,23.0,27.0,22.0,20.0,24.0,21.0,19.0,19.0,17.0,29.0,22.0,21.0,26.0,19.0,19.0,21.0,34.0,26.0
MP,32,30,30,33,25,31,29,23,25,18,31,35,29,17,23,26,16,20,12,13,11,26,11,6,4,14,8,3,4,3,4,2,3,1,0,0,0,0,0,0,0,0,0,0
Inícios,32,30,29,24,23,22,22,20,19,18,16,15,15,15,14,13,13,12,12,11,10,8,7,6,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.879,2.563,2.408,2.232,2.045,1.863,1.606,1.726,1.857,1.314,1.677,1.418,1.404,1.173,1.358,1.352,1.159,1.187,968.0,915.0,921.0,892.0,639.0,445.0,334.0,389.0,227.0,206.0,181.0,66.0,56.0,54.0,52.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.0,28.5,26.8,24.8,22.7,20.7,17.8,19.2,20.6,14.6,18.6,15.8,15.6,13.0,15.1,15.0,12.9,13.2,10.8,10.2,10.2,9.9,7.1,4.9,3.7,4.3,2.5,2.3,2.0,0.7,0.6,0.6,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,1.0,0.0,4.0,1.0,11.0,1.0,0.0,0.0,8.0,3.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,4.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,1.0,2.0,3.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,0.0,5.0,0.0,6.0,4.0,12.0,1.0,1.0,4.0,9.0,5.0,10.0,1.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,1.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,8.0,3.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
