Jogador,Salvatore Sirigu,Milan Badelj,Johan Vásquez,Stefano Sturaro,Andrea Cambiaso,Mattia Destro,Caleb Ekuban,Domenico Criscito,Manolo Portanova,Nicolò Rovella,Silvan Hefti,Mattia Bani,Leo Skiri Østigård,Nikola Maksimović,Pablo Galdames Millán,Zinho Vanheusden,Davide Biraschi,Filippo Melegoni,Kelvin Yeboah,Nadiem Amiri,Goran Pandev,Hernani,Morten Frendrup,Albert Guðmundsson,Paolo Ghiglione,Mohamed Fares,Andrea Masiello,Abdoulaye Touré,Yayah Kallon,Stefano Sabelli,Flavio Junior Bianchi,Valon Behrami,Roberto Piccoli,Felipe Caicedo,Adrian Šemper,Riccardo Calafiori,Aleksander Buksa,Laurens Serpe,Andrea Favilli,Francesco Cassata,Kevin Agudelo,Lorenzo Andrenacci,Lennart-Marten Czyborra,Steeve-Mike Ebongue,Federico Marchetti,Rok Vodišek
Pos.,G,LT,ZG,LT,ZG,AT,"AT,LT",ZG,"AT,LT",LT,ZG,ZG,ZG,ZG,LT,ZG,ZG,"LT,AT","AT,LT","LT,AT","AT,LT","LT,AT","ZG,LT","AT,LT",ZG,"ZG,AT",ZG,LT,"AT,LT",ZG,"AT,LT","LT,AT",AT,AT,G,ZG,AT,ZG,AT,LT,"AT,LT",G,ZG,LT,G,G
Idade,34.0,32.0,22.0,28.0,21.0,30.0,27.0,34.0,21.0,19.0,23.0,27.0,21.0,29.0,24.0,22.0,27.0,22.0,21.0,24.0,38.0,27.0,20.0,24.0,24.0,25.0,35.0,27.0,20.0,28.0,21.0,36.0,20.0,32.0,23.0,19.0,18.0,20.0,24.0,24.0,22.0,26.0,22.0,20.0,38.0,22.0
MP,37,34,28,25,26,27,30,20,24,21,16,17,15,14,19,14,14,25,17,13,20,18,10,12,13,9,7,8,15,7,7,10,5,9,1,3,4,1,1,1,0,0,0,0,0,0
Inícios,37,34,27,24,21,21,18,18,17,16,14,13,13,13,11,11,11,10,9,9,7,7,6,6,6,6,6,6,5,5,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Min.,3.33,2.844,2.279,1.766,1.79,1.744,1.716,1.618,1.322,1.468,1.288,1.211,1.172,1.115,1.028,989.0,930.0,980.0,850.0,683.0,843.0,682.0,695.0,607.0,603.0,587.0,515.0,430.0,636.0,348.0,314.0,311.0,218.0,284.0,90.0,82.0,63.0,45.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,31.6,25.3,19.6,19.9,19.4,19.1,18.0,14.7,16.3,14.3,13.5,13.0,12.4,11.4,11.0,10.3,10.9,9.4,7.6,9.4,7.6,7.7,6.7,6.7,6.5,5.7,4.8,7.1,3.9,3.5,3.5,2.4,3.2,1.0,0.9,0.7,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,1.0,0.0,1.0,9.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,1.0,0.0,5.0,10.0,3.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
