Jogador,Radu Drăgușin,Morten Frendrup,Albert Guðmundsson,Mattia Bani,Josep Martinez,Stefano Sabelli,Massimo Coda,Milan Badelj,Kevin Strootman,Alessandro Vogliacco,Mattia Aramu,Silvan Hefti,Filip Jagiełło,George Pușcaș,Domenico Criscito,Marko Pajač,Adrian Šemper,Stefano Sturaro,Manolo Portanova,Güven Yalçın,Caleb Ekuban,Ridgeciano Haps,Stefan Ilsanker,Eddie Salcedo,Lennart-Marten Czyborra,Alan Matturro,Brayan Boci,Kelvin Yeboah,Pablo Galdames Millán,Denis Drăguș,Abdoulaye Touré,Luca Lipani,Federico Accornero,Giuseppe Agostino,Gabriele Calvani,Francesco Cassata,Seydou Fini,Lorenzo Gagliardi,Yayah Kallon,Patrizio Masini,Filippo Melegoni,Andrea Palella,Rok Vodišek
Pos.,ZG,"LT,ZG","AT,LT",ZG,G,ZG,AT,LT,LT,ZG,"LT,AT",ZG,"LT,AT",AT,ZG,ZG,G,"LT,AT","LT,AT","AT,LT",AT,ZG,"ZG,LT",AT,ZG,ZG,ZG,"AT,LT",LT,"AT,ZG","AT,LT",LT,AT,G,ZG,LT,AT,ZG,AT,LT,LT,LT,G
Idade,20.0,21.0,25.0,28.0,24.0,29.0,33.0,33.0,32.0,23.0,27.0,24.0,24.0,26.0,35.0,29.0,24.0,29.0,22.0,23.0,28.0,29.0,33.0,20.0,23.0,17.0,19.0,22.0,25.0,23.0,28.0,17.0,18.0,19.0,18.0,25.0,16.0,18.0,21.0,21.0,23.0,18.0,23.0
MP,38,37,36,33,30,30,31,26,30,25,26,26,34,25,16,10,8,18,12,22,14,5,16,8,3,2,2,11,4,5,3,2,1,1,0,0,0,0,0,0,0,0,0
Inícios,37,32,32,31,30,29,28,26,25,18,18,17,17,10,10,10,8,8,7,6,6,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.375,2.921,2.696,2.551,2.699,2.514,2.207,2.139,2.229,1.64,1.546,1.636,1.4,1.082,957.0,772.0,720.0,706.0,594.0,684.0,645.0,362.0,474.0,256.0,153.0,57.0,54.0,224.0,72.0,69.0,26.0,14.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.5,32.5,30.0,28.3,30.0,27.9,24.5,23.8,24.8,18.2,17.2,18.2,15.6,12.0,10.6,8.6,8.0,7.8,6.6,7.6,7.2,4.0,5.3,2.8,1.7,0.6,0.6,2.5,0.8,0.8,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,4.0,2.0,11.0,2.0,0.0,1.0,10.0,3.0,2.0,0.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,4.0,2.0,0.0,4.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,4.0,2.0,15.0,4.0,0.0,5.0,16.0,4.0,2.0,0.0,4.0,1.0,6.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,4.0,2.0,11.0,2.0,0.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
