Jogador,Josep Martinez,Morten Frendrup,Albert Guðmundsson,Johan Vásquez,Milan Badelj,Stefano Sabelli,Mattia Bani,Koni De Winter,Mateo Retegui,Radu Drăgușin,Ruslan Malinovskyi,Aarón Martín,Kevin Strootman,Alessandro Vogliacco,Junior Messias,Caleb Ekuban,Morten Thorsby,Djed Spence,Ridgeciano Haps,Vitinha,Nicola Leali,George Pușcaș,Silvan Hefti,Giorgio Cittadini,Alan Matturro,Davide Biraschi,Berkan Kutlu,David Akpan Ankeye,Emil Bohinen,Seydou Fini,Filip Jagiełło,Pablo Galdames Millán,Daniele Sommariva,Christos Papadopoulos,Mattia Aramu,Riccardo Arboscello,Simone Calvani,Faroukou Cissé,Massimo Coda,Tommaso Pittino
Pos.,G,LT,"AT,LT",ZG,LT,ZG,ZG,ZG,AT,ZG,LT,ZG,LT,ZG,"LT,ZG",AT,LT,ZG,ZG,"AT,LT",G,AT,"LT,ZG",ZG,ZG,ZG,LT,AT,LT,"ZG,AT",LT,"LT,ZG",G,AT,"AT,LT",LT,G,LT,AT,ZG
Idade,25.0,22.0,26.0,24.0,34.0,30.0,29.0,21.0,24.0,21.0,30.0,26.0,33.0,24.0,32.0,29.0,27.0,22.0,30.0,23.0,30.0,27.0,25.0,21.0,18.0,29.0,25.0,21.0,24.0,17.0,25.0,26.0,26.0,18.0,28.0,17.0,18.0,19.0,34.0,18.0
MP,36,37,35,37,33,32,27,29,29,19,28,22,27,20,18,29,24,16,16,9,3,8,6,5,6,1,6,6,5,3,2,2,1,1,0,0,0,0,0,0
Inícios,36,36,34,32,32,30,27,26,26,19,18,17,15,14,13,10,9,8,7,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.239,3.145,3.016,2.85,2.535,2.429,2.306,2.38,2.216,1.71,1.544,1.376,1.207,1.169,1.053,1.131,1.157,859.0,773.0,285.0,176.0,191.0,114.0,106.0,106.0,90.0,199.0,57.0,56.0,35.0,33.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,34.9,33.5,31.7,28.2,27.0,25.6,26.4,24.6,19.0,17.2,15.3,13.4,13.0,11.7,12.6,12.9,9.5,8.6,3.2,2.0,2.1,1.3,1.2,1.2,1.0,2.2,0.6,0.6,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,2.0,14.0,1.0,1.0,0.0,2.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,7.0,18.0,2.0,4.0,1.0,2.0,1.0,9.0,3.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,10.0,1.0,1.0,0.0,2.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
