Jogador,Marco Silvestri,Davide Faraoni,Mattia Zaccagni,Antonín Barák,Federico Dimarco,Adrien Tameze,Darko Lazović,Federico Ceccherini,Paweł Dawidowicz,Koray Günter,Ivan Ilić,Giangiacomo Magnani,Miguel Veloso,Nikola Kalinić,Matteo Lovato,Kevin Lasagna,Eddie Salcedo,Samuel Di Carmine,Ebrima Colley,Daniel Bessa,Stefano Sturaro,Yıldırım Mert Çetin,Ivor Pandur,Alan Empereur,Andrea Favilli,Ronaldo Vieira,Kevin Rüegg,Andrea Danzi,Ľubomír Tupta,Destiny Udogie,Alessandro Berardi,Philip Ankhrah,Bruno Amione,Marco Benassi,Lorenzo Bertini,Salvatore Bocchetti,Nicola Borghetto,Bernardo Calabrese,Matteo Cancellieri,Nicolò Casale,Lucas Felippe,Matei Ilie,Mariusz Stępiński,Filippo Terracciano
Pos.,G,ZG,LT,LT,ZG,LT,"ZG,LT",ZG,ZG,ZG,LT,ZG,LT,AT,ZG,AT,"LT,AT",AT,"LT,AT",LT,LT,ZG,G,ZG,AT,"LT,ZG","ZG,LT",ZG,AT,"ZG,LT",G,LT,ZG,LT,AT,ZG,G,ZG,AT,ZG,LT,ZG,AT,ZG
Idade,29.0,28.0,25.0,25.0,22.0,26.0,29.0,28.0,25.0,25.0,19.0,24.0,34.0,32.0,20.0,27.0,18.0,31.0,20.0,27.0,27.0,23.0,20.0,26.0,23.0,22.0,21.0,21.0,22.0,17.0,29.0,17.0,18.0,25.0,18.0,33.0,20.0,18.0,18.0,22.0,20.0,17.0,25.0,17.0
MP,34,34,36,34,35,33,32,25,30,27,29,25,21,19,24,19,21,11,23,18,10,6,4,4,11,4,7,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,34,33,33,32,29,28,27,23,22,21,19,15,15,15,14,14,7,6,4,4,4,4,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.06,2.891,2.609,2.765,2.613,2.304,2.503,1.738,1.86,1.768,1.835,1.51,1.316,1.063,1.386,1.267,755.0,500.0,734.0,615.0,423.0,418.0,332.0,219.0,339.0,226.0,205.0,104.0,50.0,170.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.0,32.1,29.0,30.7,29.0,25.6,27.8,19.3,20.7,19.6,20.4,16.8,14.6,11.8,15.4,14.1,8.4,5.6,8.2,6.8,4.7,4.6,3.7,2.4,3.8,2.5,2.3,1.2,0.6,1.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,4.0,5.0,7.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,7.0,5.0,3.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,11.0,10.0,10.0,8.0,1.0,9.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,4.0,4.0,7.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
