Jogador,Lorenzo Montipò,Gianluca Caprari,Darko Lazović,Giovanni Simeone,Nicolò Casale,Davide Faraoni,Ivan Ilić,Koray Günter,Federico Ceccherini,Antonín Barák,Adrien Tameze,Miguel Veloso,Paweł Dawidowicz,Kevin Lasagna,Fabio Depaoli,Martin Hongla,Bosko Sutalo,Daniel Bessa,Giangiacomo Magnani,Nikola Kalinić,Ivor Pandur,Diego Coppola,Mattia Zaccagni,Matteo Cancellieri,Alessandro Berardi,Panagiotis Retsos,Yıldırım Mert Çetin,Samuel Di Carmine,Mateusz Praszelik,Gianluca Frabotta,Filippo Terracciano,Elia Boseggia,David Bosilj,Mattia Chiesa,Mattia Florio,Kaur Kivila,Christian Pierobon,Antonino Ragusa,Kevin Rüegg,Giacomo Toniolo,Mattia Turra
Pos.,G,"LT,AT",ZG,AT,ZG,ZG,LT,ZG,ZG,"LT,AT","LT,ZG",LT,ZG,"LT,AT",ZG,LT,ZG,LT,ZG,AT,G,ZG,LT,"LT,ZG",G,ZG,LT,AT,LT,"ZG,LT",ZG,G,AT,G,AT,G,LT,"AT,LT","ZG,LT",G,LT
Idade,25.0,28.0,30.0,26.0,23.0,29.0,20.0,26.0,29.0,26.0,27.0,35.0,26.0,28.0,24.0,23.0,21.0,28.0,25.0,33.0,21.0,17.0,26.0,19.0,30.0,22.0,24.0,32.0,20.0,22.0,18.0,17.0,19.0,21.0,17.0,17.0,19.0,31.0,22.0,17.0,18.0
MP,34,35,34,35,36,32,32,30,34,29,38,22,17,28,18,18,24,24,14,14,3,4,2,12,1,5,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
Inícios,34,33,32,32,30,30,30,29,29,27,26,17,13,11,7,7,6,5,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.06,2.739,2.766,2.653,2.586,2.572,2.526,2.411,2.358,2.34,2.574,1.343,1.198,1.184,703.0,651.0,920.0,768.0,530.0,406.0,270.0,249.0,180.0,227.0,90.0,55.0,46.0,36.0,25.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.0,30.4,30.7,29.5,28.7,28.6,28.1,26.8,26.2,26.0,28.6,14.9,13.3,13.2,7.8,7.2,10.2,8.5,5.9,4.5,3.0,2.8,2.0,2.5,1.0,0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,12.0,1.0,17.0,0.0,4.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,7.0,7.0,5.0,1.0,5.0,3.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,19.0,8.0,22.0,1.0,9.0,4.0,0.0,1.0,15.0,6.0,3.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,10.0,1.0,17.0,0.0,4.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,4.0,2.0,8.0,10.0,8.0,5.0,10.0,12.0,4.0,4.0,7.0,3.0,1.0,3.0,3.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,7.1,2.9,10.3,0.7,3.0,2.4,0.3,1.7,8.9,1.2,0.5,0.5,3.3,0.8,1.5,0.2,0.4,0.9,3.2,0.0,0.1,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,5.5,2.9,9.5,0.7,3.0,2.4,0.3,1.7,5.7,1.2,0.5,0.5,3.3,0.8,1.5,0.2,0.4,0.9,3.2,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,6.2,6.3,3.2,1.0,2.9,1.8,0.7,0.5,2.7,1.9,1.5,0.3,2.1,0.6,0.1,0.0,0.4,0.0,0.9,0.0,0.0,1.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,117.0,92.0,127.0,17.0,59.0,42.0,10.0,22.0,84.0,31.0,20.0,8.0,54.0,14.0,15.0,2.0,7.0,9.0,41.0,0.0,1.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,117.0,101.0,40.0,40.0,31.0,39.0,10.0,20.0,68.0,55.0,31.0,16.0,26.0,12.0,6.0,15.0,16.0,5.0,3.0,0.0,2.0,10.0,7.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,164.0,174.0,40.0,91.0,123.0,134.0,106.0,95.0,147.0,134.0,103.0,50.0,28.0,30.0,23.0,33.0,68.0,12.0,6.0,0.0,8.0,10.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,270.0,243.0,259.0,29.0,125.0,67.0,3.0,41.0,124.0,96.0,13.0,13.0,104.0,33.0,12.0,17.0,29.0,1.0,49.0,0.0,1.0,20.0,13.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,39.0,3.0,58.0,0.0,14.0,4.0,0.0,4.0,42.0,14.0,0.0,0.0,15.0,13.0,14.0,0.0,12.0,0.0,89.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,23.0,23.0,17.0,3.0,17.0,11.0,0.0,0.0,15.0,7.0,20.0,0.0,30.0,13.0,0.0,0.0,12.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,62.0,26.0,75.0,3.0,31.0,14.0,0.0,4.0,58.0,21.0,20.0,0.0,46.0,26.0,14.0,0.0,23.0,0.0,111.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,33.0,3.0,58.0,0.0,14.0,4.0,0.0,4.0,27.0,14.0,0.0,0.0,15.0,13.0,14.0,0.0,12.0,0.0,89.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,56.0,26.0,75.0,3.0,31.0,14.0,0.0,4.0,42.0,21.0,20.0,0.0,46.0,26.0,14.0,0.0,23.0,0.0,111.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,23.0,9.0,35.0,3.0,11.0,9.0,1.0,6.0,34.0,4.0,4.0,4.0,25.0,10.0,20.0,2.0,4.0,15.0,72.0,0.0,3.0,56.0,7.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
