Jogador,Lorenzo Montipò,Adrien Tameze,Isak Hien,Darko Lazović,Fabio Depaoli,Paweł Dawidowicz,Giangiacomo Magnani,Davide Faraoni,Federico Ceccherini,Kevin Lasagna,Josh Doig,Milan Đurić,Miguel Veloso,Thomas Henry,Simone Verdi,Diego Coppola,Ondrej Duda,Koray Günter,Ivan Ilić,Cyril Ngonge,Yayah Kallon,Adolfo Gaich,Filippo Terracciano,Ibrahim Sulemana,Oliver Abildgaard,Martin Hongla,Juan David Cabal,Ajdin Hrustic,Jayden Braaf,Roberto Piccoli,Panagiotis Retsos,Simone Perilli,Bruno Amione,Antonín Barák,Deyovaisio Zeefuik,Alessandro Cortinovis,Alessandro Berardi,Davide Bragantini,Federico Caia,Denis Cazzadori,Mattia Chiesa,Alphadjo Cissè,Joselito,Mateusz Praszelik,Manuel Ravasio,Giacomo Toniolo
Pos.,G,LT,ZG,"LT,ZG",ZG,ZG,ZG,ZG,ZG,"AT,LT",ZG,AT,LT,AT,"LT,AT",ZG,LT,ZG,LT,"LT,AT","LT,AT",AT,"ZG,LT",LT,LT,LT,ZG,LT,"LT,AT",AT,ZG,G,ZG,LT,ZG,LT,G,AT,AT,AT,G,LT,LT,LT,G,G
Idade,26.0,28.0,23.0,31.0,25.0,27.0,26.0,30.0,30.0,29.0,20.0,32.0,36.0,27.0,30.0,18.0,27.0,27.0,21.0,22.0,21.0,23.0,19.0,19.0,26.0,24.0,21.0,26.0,19.0,21.0,23.0,27.0,20.0,27.0,24.0,21.0,31.0,18.0,19.0,18.0,22.0,15.0,18.0,21.0,17.0,18.0
MP,37,37,32,30,31,23,24,23,22,26,22,28,22,16,24,19,15,13,11,14,22,16,20,16,13,9,11,6,6,7,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,37,35,28,27,24,20,19,19,18,17,15,14,14,13,12,11,11,11,10,9,8,8,7,6,6,6,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,3.031,2.607,2.242,2.173,1.632,1.532,1.485,1.417,1.572,1.354,1.366,1.163,1.03,1.096,1.177,1.061,1.003,851.0,745.0,860.0,726.0,821.0,651.0,592.0,523.0,444.0,226.0,288.0,192.0,122.0,90.0,58.0,25.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,33.7,29.0,24.9,24.1,18.1,17.0,16.5,15.7,17.5,15.0,15.2,12.9,11.4,12.2,13.1,11.8,11.1,9.5,8.3,9.6,8.1,9.1,7.2,6.6,5.8,4.9,2.5,3.2,2.1,1.4,1.0,0.6,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,0.0,0.0,9.0,4.0,2.0,1.0,5.0,2.0,3.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
