Jogador,Lorenzo Montipò,Michael Folorunsho,Ondrej Duda,Giangiacomo Magnani,Paweł Dawidowicz,Tomáš Suslov,Darko Lazović,Jackson Tchatchoua,Suat Serdar,Diego Coppola,Juan David Cabal,Cyril Ngonge,Tijjani Noslin,Filippo Terracciano,Milan Đurić,Martin Hongla,Josh Doig,Federico Bonazzoli,Isak Hien,Fabien Centonze,Davide Faraoni,Bruno Amione,Jordi Mboula,Stefan Mitrović,Karol Świderski,Daniel Bandeira,Riccardo Saponara,Thomas Henry,Rúben Vinagre,Juan Cruz,Reda Belahyane,Simone Perilli,Elayis Tavsan,Charlys,Alphadjo Cissè,Yayah Kallon,Junior Ajayi,Alessandro Berardi,Nicolò Calabrese,Denis Cazzadori,Mattia Chiesa,Christian Corradi,Siren Diao,Joselito,Nicola Patanè,Giacomo Toniolo
Pos.,G,"LT,AT",LT,ZG,ZG,"LT,AT","AT,LT",ZG,LT,ZG,ZG,"AT,LT","AT,LT",ZG,AT,LT,ZG,"AT,LT",ZG,ZG,ZG,ZG,"AT,LT","AT,LT","AT,LT",LT,"AT,LT",AT,"ZG,AT","AT,LT",LT,G,"LT,AT",LT,AT,AT,AT,G,LT,AT,G,ZG,AT,LT,LT,G
Idade,27.0,25.0,28.0,27.0,28.0,21.0,32.0,21.0,26.0,19.0,22.0,23.0,24.0,20.0,33.0,25.0,21.0,26.0,24.0,27.0,31.0,21.0,24.0,20.0,26.0,23.0,31.0,28.0,24.0,24.0,19.0,28.0,22.0,19.0,16.0,22.0,18.0,32.0,18.0,19.0,23.0,18.0,18.0,19.0,19.0,19.0
MP,37,34,32,33,28,32,32,26,25,24,22,19,17,18,20,15,12,24,10,10,11,10,11,10,15,14,12,18,12,4,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,37,33,29,27,25,23,22,19,19,18,17,17,17,14,13,12,11,10,9,7,7,7,5,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,2.781,2.456,2.444,2.143,2.092,1.928,1.725,1.659,1.634,1.497,1.431,1.339,1.296,1.204,1.084,830.0,1.016,864.0,676.0,602.0,579.0,307.0,391.0,504.0,446.0,342.0,334.0,282.0,109.0,90.0,90.0,50.0,25.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,30.9,27.3,27.2,23.8,23.2,21.4,19.2,18.4,18.2,16.6,15.9,14.9,14.4,13.4,12.0,9.2,11.3,9.6,7.5,6.7,6.4,3.4,4.3,5.6,5.0,3.8,3.7,3.1,1.2,1.0,1.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,4.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,6.0,5.0,0.0,0.0,8.0,5.0,2.0,2.0,2.0,0.0,8.0,9.0,1.0,6.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
