Jogador,Samir Handanović,Alessandro Bastoni,Nicolò Barella,Romelu Lukaku,Milan Škriniar,Stefan de Vrij,Lautaro Martínez,Achraf Hakimi,Marcelo Brozović,Ivan Perišić,Christian Eriksen,Ashley Young,Roberto Gagliardini,Matteo Darmian,Arturo Vidal,Alexis Sánchez,Andrea Ranocchia,Danilo D'Ambrosio,Stefano Sensi,Aleksandar Kolarov,Matías Vecino,Andrea Pinamonti,Ionuț Radu,Radja Nainggolan,Daniele Padelli,Franco Carboni,Dalbert Henrique,Lorenzo Moretti,Franco Orlando Vezzoni,Lorenzo Pirola,Martin Satriano,Niccolò Squizzato,Filip Stankovic,David Wieser
Pos.,G,ZG,LT,AT,ZG,ZG,AT,ZG,LT,"ZG,AT",LT,ZG,LT,ZG,LT,AT,ZG,ZG,LT,ZG,LT,AT,G,LT,G,AT,"ZG,LT",ZG,LT,ZG,AT,LT,G,LT
Idade,36.0,21.0,23.0,27.0,25.0,28.0,22.0,21.0,27.0,31.0,28.0,35.0,26.0,30.0,33.0,31.0,32.0,31.0,24.0,34.0,28.0,21.0,23.0,32.0,34.0,17.0,26.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0
MP,37,33,36,36,32,32,38,37,33,32,26,26,28,26,23,30,8,19,18,7,8,8,2,4,1,0,0,0,0,0,0,0,0,0
Inícios,37,33,32,32,31,30,30,29,29,20,17,16,14,14,14,12,8,7,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.24,2.922,2.896,2.884,2.777,2.734,2.561,2.665,2.581,1.795,1.385,1.425,1.232,1.16,1.138,1.146,703.0,699.0,603.0,390.0,283.0,169.0,135.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,32.5,32.2,32.0,30.9,30.4,28.5,29.6,28.7,19.9,15.4,15.8,13.7,12.9,12.6,12.7,7.8,7.8,6.7,4.3,3.1,1.9,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,3.0,24.0,3.0,1.0,17.0,7.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,3.0,7.0,11.0,0.0,0.0,6.0,8.0,6.0,3.0,0.0,4.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,3.0,10.0,35.0,3.0,1.0,23.0,15.0,8.0,7.0,3.0,5.0,5.0,6.0,2.0,12.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,3.0,18.0,3.0,1.0,15.0,7.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
