Jogador,Samir Handanović,Nicolò Barella,Milan Škriniar,Marcelo Brozović,Ivan Perišić,Hakan Çalhanoğlu,Alessandro Bastoni,Stefan de Vrij,Lautaro Martínez,Edin Džeko,Denzel Dumfries,Matteo Darmian,Federico Dimarco,Joaquín Correa,Danilo D'Ambrosio,Alexis Sánchez,Roberto Gagliardini,Andrea Ranocchia,Arturo Vidal,Matías Vecino,Stefano Sensi,Ionuț Radu,Robin Gosens,Aleksandar Kolarov,Martin Satriano,Felipe Caicedo,Mattia Zanotti,Lucien Agoume,Franco Carboni,Cesare Casadei,Alex Cordaz,Fabio Cortinovis,Dennis Curatolo,Andrea Pinamonti,William Rovida,Mattia Sangalli
Pos.,G,LT,ZG,LT,ZG,LT,ZG,ZG,AT,AT,ZG,ZG,ZG,AT,ZG,AT,LT,ZG,LT,LT,"LT,AT",G,ZG,ZG,"AT,LT","AT,ZG",ZG,LT,AT,LT,G,ZG,AT,AT,G,LT
Idade,37.0,24.0,26.0,28.0,32.0,27.0,22.0,29.0,23.0,35.0,25.0,31.0,23.0,26.0,32.0,32.0,27.0,33.0,34.0,29.0,25.0,24.0,27.0,35.0,20.0,32.0,18.0,19.0,18.0,18.0,38.0,19.0,17.0,22.0,18.0,19.0
MP,37,36,35,35,35,34,31,30,35,36,33,25,32,26,20,27,18,6,28,17,9,1,7,3,4,3,1,0,0,0,0,0,0,0,0,0
Inícios,37,36,35,35,35,33,29,28,28,27,21,18,13,12,9,7,6,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,2.913,3.15,2.937,2.821,2.48,2.311,2.41,2.282,2.469,2.028,1.507,1.43,1.025,1.0,881.0,649.0,341.0,741.0,377.0,167.0,90.0,169.0,42.0,38.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,32.4,35.0,32.6,31.3,27.6,25.7,26.8,25.4,27.4,22.5,16.7,15.9,11.4,11.1,9.8,7.2,3.8,8.2,4.2,1.9,1.0,1.9,0.5,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,3.0,3.0,2.0,8.0,7.0,1.0,0.0,21.0,13.0,5.0,2.0,2.0,6.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,11.0,0.0,1.0,6.0,12.0,2.0,0.0,3.0,6.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,14.0,3.0,3.0,14.0,19.0,3.0,0.0,24.0,19.0,9.0,3.0,5.0,7.0,2.0,7.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,3.0,3.0,2.0,7.0,4.0,1.0,0.0,18.0,13.0,5.0,2.0,2.0,6.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,9.0,3.0,7.0,4.0,11.0,4.0,3.0,6.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,4.7,3.2,1.3,4.3,5.9,0.3,2.6,20.9,14.8,5.2,0.7,3.5,4.6,2.0,4.3,0.9,0.5,2.0,1.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,4.7,3.2,1.3,3.5,3.5,0.3,2.6,16.7,14.8,5.2,0.7,2.7,4.6,2.0,4.3,0.9,0.5,2.0,1.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,8.9,0.5,1.9,7.7,8.7,2.0,0.0,3.2,3.9,4.4,2.0,5.2,2.2,0.1,2.0,1.5,0.0,1.6,0.9,0.3,0.0,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,136.0,37.0,31.0,112.0,122.0,23.0,26.0,199.0,187.0,96.0,27.0,79.0,68.0,22.0,63.0,24.0,5.0,35.0,23.0,7.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,114.0,34.0,51.0,135.0,75.0,30.0,15.0,34.0,47.0,55.0,25.0,54.0,41.0,8.0,22.0,8.0,0.0,11.0,10.0,7.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,231.0,100.0,263.0,126.0,184.0,132.0,72.0,48.0,107.0,58.0,51.0,94.0,38.0,47.0,76.0,33.0,9.0,53.0,29.0,13.0,0.0,7.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,204.0,31.0,36.0,242.0,126.0,34.0,1.0,149.0,207.0,204.0,96.0,116.0,93.0,31.0,77.0,31.0,0.0,35.0,14.0,13.0,0.0,19.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,9.0,9.0,6.0,26.0,25.0,4.0,0.0,83.0,47.0,22.0,12.0,13.0,53.0,9.0,51.0,28.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,34.0,0.0,3.0,19.0,44.0,8.0,0.0,12.0,22.0,18.0,6.0,19.0,9.0,9.0,20.0,28.0,0.0,12.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,43.0,9.0,9.0,45.0,69.0,12.0,0.0,95.0,69.0,40.0,18.0,31.0,61.0,18.0,72.0,55.0,0.0,24.0,24.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,9.0,9.0,6.0,22.0,15.0,4.0,0.0,71.0,47.0,22.0,12.0,13.0,53.0,9.0,51.0,28.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,43.0,9.0,9.0,41.0,58.0,12.0,0.0,83.0,69.0,40.0,18.0,31.0,61.0,18.0,72.0,55.0,0.0,24.0,24.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,14.0,9.0,4.0,14.0,22.0,1.0,10.0,83.0,54.0,23.0,4.0,22.0,40.0,18.0,44.0,13.0,12.0,24.0,32.0,21.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,27.0,2.0,6.0,25.0,32.0,8.0,0.0,13.0,14.0,19.0,12.0,33.0,19.0,1.0,20.0,21.0,0.0,19.0,22.0,16.0,0.0,34.0,0.0,4.0,44.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,42.0,11.0,10.0,38.0,53.0,9.0,10.0,95.0,68.0,43.0,16.0,55.0,60.0,19.0,64.0,34.0,12.0,43.0,54.0,37.0,0.0,45.0,2.0,4.0,44.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,14.0,9.0,4.0,11.0,13.0,1.0,10.0,66.0,54.0,23.0,4.0,17.0,40.0,18.0,44.0,13.0,12.0,24.0,32.0,21.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,42.0,11.0,10.0,36.0,44.0,9.0,10.0,79.0,68.0,43.0,16.0,50.0,60.0,19.0,64.0,34.0,12.0,43.0,54.0,37.0,0.0,45.0,2.0,4.0,44.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,63.0,47.0,77.0,38.0,41.0,44.0,38.0,20.0,14.0,32.0,32.0,28.0,11.0,30.0,9.0,12.0,8.0,26.0,7.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0,588.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,42.0,27.0,45.0,22.0,23.0,25.0,29.0,10.0,8.0,12.0,16.0,15.0,5.0,15.0,8.0,6.0,4.0,10.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,332.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,17.0,26.0,34.0,18.0,16.0,28.0,22.0,3.0,7.0,9.0,17.0,10.0,2.0,21.0,0.0,7.0,5.0,16.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,265.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,35.0,17.0,35.0,11.0,19.0,13.0,16.0,10.0,4.0,14.0,9.0,15.0,6.0,8.0,6.0,4.0,1.0,9.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,240.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,11.0,4.0,8.0,9.0,6.0,3.0,0.0,7.0,3.0,9.0,6.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,29.0,24.0,34.0,28.0,11.0,17.0,12.0,6.0,8.0,16.0,16.0,13.0,1.0,11.0,2.0,1.0,1.0,9.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,247.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,2.0,55.0,42.0,68.0,50.0,40.0,34.0,17.0,11.0,25.0,32.0,41.0,24.0,13.0,22.0,11.0,13.0,3.0,26.0,9.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,545.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,500.0,527.0,571.0,500.0,560.0,275.0,500.0,706.0,545.0,320.0,500.0,390.0,542.0,77.0,500.0,182.0,77.0,333.0,346.0,333.0,500.0,0.0,0.0,1000.0,1000.0,0.0,0.0,453.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,26.0,18.0,34.0,22.0,29.0,17.0,5.0,5.0,17.0,16.0,25.0,11.0,12.0,11.0,9.0,12.0,2.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,298.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,1.0,26.0,36.0,28.0,39.0,29.0,22.0,17.0,21.0,22.0,15.0,16.0,6.0,8.0,21.0,4.0,14.0,4.0,13.0,10.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,360.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,2.0,25.0,10.0,7.0,5.0,12.0,8.0,1.0,5.0,6.0,1.0,1.0,1.0,10.0,0.0,5.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,110.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,1.0,24.0,11.0,18.0,32.0,24.0,10.0,9.0,20.0,17.0,9.0,15.0,5.0,7.0,11.0,4.0,9.0,1.0,8.0,9.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,250.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,21.0,25.0,37.0,47.0,25.0,35.0,32.0,18.0,4.0,9.0,19.0,19.0,3.0,8.0,2.0,9.0,4.0,7.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,332.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,84.0,72.0,114.0,85.0,66.0,79.0,70.0,38.0,18.0,41.0,51.0,47.0,14.0,38.0,11.0,21.0,12.0,33.0,11.0,4.0,0.0,6.0,2.0,1.0,0.0,1.0,920.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
