Jogador,Nicolò Barella,Hakan Çalhanoğlu,Lautaro Martínez,Alessandro Bastoni,Federico Dimarco,Francesco Acerbi,Denzel Dumfries,André Onana,Matteo Darmian,Henrikh Mkhitaryan,Stefan de Vrij,Milan Škriniar,Marcelo Brozović,Romelu Lukaku,Edin Džeko,Samir Handanović,Joaquín Correa,Robin Gosens,Danilo D'Ambrosio,Roberto Gagliardini,Kristjan Asllani,Raoul Bellanova,Mattia Zanotti,Alex Cordaz,Valentin Carboni,Lucien Agoume,Ebenezer Akinsanmiro,Nikolaos Botis,Gabriel Brazão,Dennis Curatolo,Alessandro Fontanarosa,Eddie Salcedo,Aleksandar Stanković
Pos.,LT,LT,AT,ZG,ZG,ZG,ZG,G,ZG,LT,ZG,ZG,LT,AT,AT,G,AT,ZG,ZG,LT,LT,ZG,ZG,G,"LT,ZG",LT,LT,G,G,AT,ZG,AT,AT
Idade,25.0,28.0,24.0,23.0,24.0,34.0,26.0,26.0,32.0,33.0,30.0,27.0,29.0,29.0,36.0,38.0,27.0,28.0,33.0,28.0,20.0,22.0,19.0,39.0,17.0,20.0,17.0,18.0,21.0,18.0,19.0,20.0,16.0
MP,35,33,38,29,33,31,34,24,31,31,27,21,28,25,33,14,26,32,15,19,20,18,2,1,5,0,0,0,0,0,0,0,0
Inícios,31,28,27,26,26,25,25,24,24,24,22,20,19,19,18,14,12,11,8,7,5,3,0,0,0,0,0,0,0,0,0,0,0
Min.,2.613,2.363,2.576,2.157,2.069,2.425,2.218,2.16,2.025,1.986,1.945,1.769,1.77,1.66,1.732,1.234,950.0,1.184,733.0,783.0,592.0,496.0,27.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,29.0,26.3,28.6,24.0,23.0,26.9,24.6,24.0,22.5,22.1,21.6,19.7,19.7,18.4,19.2,13.7,10.6,13.2,8.1,8.7,6.6,5.5,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,6.0,3.0,21.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,10.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,6.0,6.0,2.0,3.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,5.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,12.0,9.0,27.0,2.0,7.0,2.0,5.0,0.0,3.0,5.0,1.0,0.0,8.0,16.0,12.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,6.0,2.0,20.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,8.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,6.0,3.0,3.0,3.0,0.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,8.0,1.0,3.0,0.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,3.2,3.1,18.1,1.0,3.1,1.0,3.6,0.0,1.0,2.8,2.2,0.8,2.5,9.0,9.7,0.0,3.4,3.0,0.3,0.9,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,3.2,2.3,16.5,1.0,3.1,1.0,3.6,0.0,1.0,2.8,2.2,0.8,2.5,7.4,9.7,0.0,3.4,3.0,0.3,0.9,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,5.6,5.0,5.4,2.7,6.9,1.1,4.9,0.1,1.9,2.1,0.2,0.3,2.8,4.1,3.2,0.0,1.3,2.4,0.7,0.3,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,88.0,73.0,219.0,37.0,99.0,21.0,85.0,1.0,29.0,49.0,24.0,11.0,53.0,115.0,130.0,0.0,47.0,53.0,9.0,11.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,76.0,46.0,49.0,47.0,45.0,39.0,62.0,0.0,22.0,48.0,13.0,16.0,29.0,34.0,32.0,0.0,19.0,29.0,8.0,20.0,6.0,25.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,214.0,172.0,83.0,141.0,88.0,100.0,59.0,2.0,88.0,133.0,55.0,81.0,114.0,41.0,67.0,0.0,29.0,41.0,34.0,39.0,29.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
