Jogador,Henrikh Mkhitaryan,Yann Sommer,Nicolò Barella,Marcus Thuram,Hakan Çalhanoğlu,Lautaro Martínez,Federico Dimarco,Alessandro Bastoni,Matteo Darmian,Francesco Acerbi,Benjamin Pavard,Denzel Dumfries,Stefan de Vrij,Carlos Augusto,Yann Aurel Bisseck,Davide Frattesi,Kristjan Asllani,Alexis Sánchez,Marko Arnautović,Emil Audero,Davy Klaassen,Juan Cuadrado,Tajon Buchanan,Stefano Sensi,Raffaele Di Gennaro,Ebenezer Akinsanmiro,Lucien Agoume,Alessandro Calligaris,Joaquín Correa,Tomasso Guercio,Issiaka Kamate,Matteo Motta,Amadou Sarr,Giacomo Stabile,Aleksandar Stanković
Pos.,LT,G,LT,AT,LT,AT,ZG,ZG,ZG,ZG,ZG,ZG,ZG,ZG,ZG,LT,LT,"AT,LT",AT,G,LT,ZG,ZG,LT,G,LT,LT,G,"AT,LT",ZG,LT,ZG,AT,ZG,AT
Idade,34.0,34.0,26.0,25.0,29.0,25.0,25.0,24.0,33.0,35.0,27.0,27.0,31.0,24.0,22.0,23.0,21.0,34.0,34.0,26.0,30.0,35.0,24.0,27.0,29.0,18.0,21.0,18.0,28.0,18.0,18.0,18.0,19.0,18.0,17.0
MP,36,34,37,35,32,33,30,28,33,29,23,31,25,37,16,32,23,23,27,4,13,10,10,4,1,1,1,0,0,0,0,0,0,0,0
Inícios,35,34,34,34,32,31,29,28,27,26,21,19,17,14,9,6,6,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.785,3.06,2.846,2.687,2.556,2.656,2.077,2.268,2.404,2.388,1.672,1.639,1.586,1.725,904.0,955.0,787.0,763.0,801.0,337.0,206.0,267.0,161.0,46.0,23.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,30.9,34.0,31.6,29.9,28.4,29.5,23.1,25.2,26.7,26.5,18.6,18.2,17.6,19.2,10.0,10.6,8.7,8.5,8.9,3.7,2.3,3.0,1.8,0.5,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,0.0,2.0,13.0,13.0,24.0,5.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,2.0,6.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,8.0,0.0,3.0,7.0,3.0,3.0,6.0,3.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,10.0,0.0,5.0,20.0,16.0,27.0,11.0,4.0,3.0,4.0,2.0,8.0,1.0,3.0,2.0,9.0,3.0,7.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,0.0,2.0,13.0,3.0,22.0,5.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,2.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
