Jogador,Danilo,Cristiano Ronaldo,Wojciech Szczęsny,Federico Chiesa,Rodrigo Bentancur,Juan Cuadrado,Adrien Rabiot,Matthijs de Ligt,Leonardo Bonucci,Álvaro Morata,Alex Sandro,Dejan Kulusevski,Weston McKennie,Giorgio Chiellini,Paulo Dybala,Arthur Melo,Aaron Ramsey,Merih Demiral,Federico Bernardeschi,Gianluigi Buffon,Gianluca Frabotta,Manolo Portanova,Douglas Costa,Mattia De Sciglio,Carlo Pinsoglio,Nicolò Fagioli,Alessandro Di Pardo,Félix Correia,Radu Drăgușin,Giacomo Vrioni,Marley Aké,Riccardo Capellini,Cosimo Marco Da Graca,Davide De Marino,Giovanni Garofani,Franco Israel,Alejandro Marqués,Hans Nicolussi Caviglia,Daouda Peeters,Hamza Rafia,Filippo Ranocchia,Daniele Rugani
Pos.,"ZG,LT",AT,G,"LT,ZG",LT,"ZG,LT",LT,ZG,ZG,AT,ZG,"LT,AT",LT,ZG,AT,LT,LT,ZG,"LT,ZG",G,"ZG,LT",LT,"LT,AT",ZG,G,LT,"AT,ZG",LT,ZG,AT,AT,ZG,AT,ZG,G,G,AT,LT,LT,LT,LT,ZG
Idade,29.0,35.0,30.0,22.0,23.0,32.0,25.0,20.0,33.0,27.0,29.0,20.0,21.0,35.0,26.0,23.0,29.0,22.0,26.0,42.0,21.0,20.0,29.0,27.0,30.0,19.0,21.0,19.0,18.0,21.0,19.0,20.0,18.0,20.0,17.0,20.0,19.0,20.0,21.0,21.0,19.0,26.0
MP,34,33,30,30,33,30,34,27,26,32,26,35,34,17,20,22,22,15,27,8,15,2,2,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,32,31,30,28,27,26,25,25,23,23,20,19,18,16,14,13,13,10,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.916,2.802,2.677,2.21,2.324,2.175,2.313,2.22,2.028,2.014,1.858,1.923,1.702,1.386,1.132,1.157,1.089,940.0,972.0,720.0,689.0,70.0,42.0,24.0,23.0,21.0,14.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.4,31.1,29.7,24.6,25.8,24.2,25.7,24.7,22.5,22.4,20.6,21.4,18.9,15.4,12.6,12.9,12.1,10.4,10.8,8.0,7.7,0.8,0.5,0.3,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,29.0,0.0,8.0,0.0,2.0,4.0,1.0,2.0,11.0,2.0,4.0,5.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,2.0,1.0,8.0,4.0,10.0,2.0,1.0,0.0,9.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,31.0,1.0,16.0,4.0,12.0,6.0,2.0,2.0,20.0,3.0,7.0,7.0,1.0,7.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,23.0,0.0,8.0,0.0,1.0,4.0,1.0,2.0,10.0,2.0,4.0,5.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,6.0,3.0,0.0,3.0,8.0,9.0,7.0,4.0,4.0,3.0,2.0,7.0,5.0,4.0,0.0,3.0,2.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
