Jogador,Wojciech Szczęsny,Matthijs de Ligt,Juan Cuadrado,Adrien Rabiot,Álvaro Morata,Paulo Dybala,Manuel Locatelli,Leonardo Bonucci,Danilo,Alex Sandro,Federico Bernardeschi,Giorgio Chiellini,Weston McKennie,Luca Pellegrini,Mattia De Sciglio,Rodrigo Bentancur,Moise Kean,Dušan Vlahović,Arthur Melo,Federico Chiesa,Daniele Rugani,Denis Zakaria,Dejan Kulusevski,Mattia Perin,Fabio Miretti,Aaron Ramsey,Kaio Jorge,Marley Aké,Carlo Pinsoglio,Cristiano Ronaldo,Martin Palumbo,Matìas Soulé,Koni De Winter,Nicolò Fagioli,Samuel Iling-Junior,Franco Israel,Marco Raina,Filippo Ranocchia,Zsombor Senkó,Diego Stramaccioni,Emanuele Zuelli
Pos.,G,ZG,"ZG,LT",LT,AT,"AT,LT",LT,ZG,"ZG,LT",ZG,"LT,AT",ZG,LT,ZG,ZG,LT,AT,AT,LT,"LT,AT",ZG,LT,"AT,LT",G,LT,LT,"LT,AT","AT,LT",G,AT,AT,AT,ZG,LT,LT,G,G,LT,G,ZG,LT
Idade,31.0,21.0,33.0,26.0,28.0,27.0,23.0,34.0,30.0,30.0,27.0,36.0,22.0,22.0,28.0,24.0,21.0,21.0,24.0,23.0,27.0,24.0,21.0,28.0,17.0,30.0,19.0,20.0,31.0,36.0,19.0,18.0,19.0,20.0,17.0,21.0,19.0,20.0,18.0,20.0,19.0
MP,33,31,33,32,35,29,31,24,22,28,28,21,21,18,20,19,32,15,20,14,12,9,20,5,6,3,9,4,1,1,1,2,0,0,0,0,0,0,0,0,0
Inícios,33,29,28,28,26,26,23,22,22,17,16,16,15,15,13,13,12,12,11,11,9,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.97,2.674,2.487,2.285,2.302,2.061,2.16,2.005,1.893,1.78,1.475,1.354,1.369,1.107,1.168,1.155,1.098,1.076,962.0,863.0,879.0,597.0,772.0,405.0,321.0,99.0,121.0,77.0,45.0,31.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.0,29.7,27.6,25.4,25.6,22.9,24.0,22.3,21.0,19.8,16.4,15.0,15.2,12.3,13.0,12.8,12.2,12.0,10.7,9.6,9.8,6.6,8.6,4.5,3.6,1.1,1.3,0.9,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,3.0,4.0,0.0,9.0,10.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,3.0,2.0,4.0,5.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,4.0,7.0,2.0,13.0,15.0,6.0,5.0,3.0,1.0,4.0,0.0,3.0,1.0,3.0,1.0,7.0,8.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,3.0,4.0,0.0,8.0,9.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
