Jogador,Danilo,Filip Kostić,Adrien Rabiot,Gleison Bremer,Manuel Locatelli,Wojciech Szczęsny,Juan Cuadrado,Dušan Vlahović,Alex Sandro,Arkadiusz Milik,Nicolò Fagioli,Federico Gatti,Ángel Di María,Fabio Miretti,Weston McKennie,Mattia De Sciglio,Moise Kean,Mattia Perin,Leonardo Bonucci,Leandro Paredes,Federico Chiesa,Daniele Rugani,Matìas Soulé,Enzo Barrenechea,Tommaso Barbieri,Samuel Iling-Junior,Denis Zakaria,Paul Pogba,Nicolò Rovella,Mattia Compagnon,Cosimo Marco Da Graca,Giovanni Garofani,Carlo Pinsoglio,Alessandro Riccio,Simone Scaglia,Nikola Sekulov,Alessandro Sersanti
Pos.,ZG,"ZG,AT",LT,ZG,LT,G,"ZG,AT",AT,ZG,AT,LT,ZG,"AT,LT","LT,AT","LT,ZG",ZG,AT,G,ZG,LT,"ZG,LT",ZG,"LT,AT",LT,ZG,"ZG,AT",LT,"LT,AT",LT,LT,AT,G,G,ZG,G,LT,LT
Idade,31.0,29.0,27.0,25.0,24.0,32.0,34.0,22.0,31.0,28.0,21.0,24.0,34.0,18.0,23.0,29.0,22.0,29.0,35.0,28.0,24.0,28.0,19.0,21.0,19.0,18.0,25.0,29.0,20.0,20.0,20.0,19.0,32.0,20.0,18.0,20.0,20.0
MP,37,37,32,30,32,28,31,27,25,27,26,18,26,27,15,17,28,11,16,25,21,9,13,3,3,12,2,6,3,0,0,0,0,0,0,0,0
Inícios,35,33,31,30,29,28,24,22,21,17,17,16,15,14,13,11,11,10,9,8,6,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0
Min.,3.184,2.564,2.748,2.634,2.446,2.472,2.078,1.925,1.787,1.586,1.52,1.448,1.363,1.234,1.052,1.042,995.0,948.0,879.0,977.0,852.0,564.0,420.0,158.0,109.0,318.0,123.0,111.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.4,28.5,30.5,29.3,27.2,27.5,23.1,21.4,19.9,17.6,16.9,16.1,15.1,13.7,11.7,11.6,11.1,10.5,9.8,10.9,9.5,6.3,4.7,1.8,1.2,3.5,1.4,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,3.0,8.0,4.0,0.0,0.0,1.0,10.0,0.0,7.0,3.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,8.0,4.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,11.0,12.0,5.0,2.0,0.0,4.0,12.0,1.0,8.0,6.0,0.0,8.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,3.0,8.0,4.0,0.0,0.0,1.0,8.0,0.0,7.0,3.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,5.0,3.0,9.0,6.0,8.0,0.0,6.0,1.0,5.0,3.0,3.0,4.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.8,2.4,6.2,4.9,1.5,0.0,1.4,9.7,0.2,6.5,1.5,0.6,3.1,2.4,0.9,0.1,6.3,0.0,1.1,0.6,1.5,0.5,1.5,0.1,0.0,0.7,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.8,2.4,5.8,4.9,1.5,0.0,1.4,7.3,0.2,5.7,1.5,0.6,2.3,2.4,0.9,0.1,6.3,0.0,0.3,0.6,1.5,0.5,1.5,0.1,0.0,0.7,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,2.4,7.1,2.3,1.7,1.8,0.0,2.7,2.4,0.9,2.1,1.3,1.5,4.5,1.3,0.7,0.5,1.1,0.0,0.2,1.9,2.6,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,52.0,94.0,82.0,66.0,32.0,0.0,42.0,98.0,11.0,77.0,28.0,20.0,67.0,38.0,16.0,6.0,74.0,0.0,5.0,25.0,41.0,5.0,23.0,1.0,0.0,10.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,39.0,101.0,72.0,8.0,25.0,0.0,48.0,22.0,51.0,10.0,27.0,18.0,56.0,33.0,19.0,16.0,30.0,0.0,2.0,11.0,46.0,2.0,12.0,1.0,5.0,11.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,176.0,78.0,133.0,54.0,134.0,0.0,92.0,40.0,97.0,34.0,56.0,56.0,96.0,60.0,39.0,50.0,13.0,1.0,28.0,72.0,34.0,5.0,15.0,5.0,0.0,18.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,43.0,230.0,109.0,4.0,37.0,0.0,125.0,117.0,25.0,85.0,56.0,13.0,95.0,85.0,54.0,40.0,76.0,0.0,1.0,11.0,88.0,0.0,33.0,2.0,4.0,36.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,8.0,11.0,26.0,14.0,0.0,0.0,4.0,47.0,0.0,40.0,18.0,0.0,26.0,0.0,9.0,0.0,54.0,0.0,10.0,9.0,21.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,8.0,28.0,13.0,3.0,7.0,0.0,13.0,9.0,5.0,6.0,18.0,0.0,26.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,17.0,39.0,39.0,17.0,7.0,0.0,17.0,56.0,5.0,45.0,36.0,0.0,53.0,15.0,17.0,0.0,54.0,0.0,10.0,9.0,74.0,0.0,21.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,8.0,11.0,26.0,14.0,0.0,0.0,4.0,37.0,0.0,40.0,18.0,0.0,20.0,0.0,9.0,0.0,54.0,0.0,10.0,9.0,21.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
